user,age,occupation,gender,item,rating
168976,70,retired,F,beethovens+2nd+1993,1.0
168976,70,retired,F,chicken+run+2000,2.0
98890,89,executive/managerial,M,a+bugs+life+1998,3.0
98890,89,executive/managerial,M,the+naked+gun+33+the+final+insult+1994,2.0
98890,89,executive/managerial,M,big+1988,4.0
98890,89,executive/managerial,M,casino+1995,3.68
6022,86,retired,M,national+lampoons+christmas+vacation+1989,3.0
197215,62,self-employed,M,cast+away+2000,4.0
197215,62,self-employed,M,reversal+of+fortune+1990,4.0
197215,62,self-employed,M,the+last+king+of+scotland+2006,3.64
197215,62,self-employed,M,all+the+presidents+men+1976,3.64
158127,73,retired,F,bringing+up+baby+1938,5.0
158127,73,retired,F,theres+something+about+mary+1998,5.0
158127,73,retired,F,toy+story+1995,5.0
158127,73,retired,F,seven+samurai+1954,3.65
176783,78,executive/managerial,M,dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb+1964,3.0
176783,78,executive/managerial,M,the+wild+bunch+1969,3.0
40102,79,retired,F,a+little+princess+1995,4.0
40102,79,retired,F,secrets++lies+1996,4.0
40102,79,retired,F,the+french+connection+1971,4.0
201734,71,executive/managerial,F,the+straight+story+1999,3.64
201734,71,executive/managerial,F,the+limey+1999,5.0
201734,71,executive/managerial,F,the+red+dwarf+1998,2.0
201734,71,executive/managerial,F,the+kentucky+fried+movie+1977,3.0
52515,75,retired,F,slumdog+millionaire+2008,5.0
52515,75,retired,F,the+godfather+part+ii+1974,5.0
52515,75,retired,F,the+dreamers+2003,4.0
52515,75,retired,F,ira++abby+2006,4.0
118905,64,retired,F,field+of+dreams+1989,3.0
118905,64,retired,F,fatal+attraction+1987,3.0
118905,64,retired,F,mystic+river+2003,3.0
153923,83,retired,M,up+close++personal+1996,1.0
153923,83,retired,M,17+again+2009,4.0
153923,83,retired,M,13+going+on+30+2004,5.0
153923,83,retired,M,road+to+perdition+2002,3.0
120922,82,executive/managerial,M,my+fair+lady+1964,5.0
120922,82,executive/managerial,M,fried+green+tomatoes+1991,4.0
120922,82,executive/managerial,M,the+king+and+i+1956,5.0
204772,75,executive/managerial,F,the+talented+mr.+ripley+1999,2.0
4647,83,academic/educator,F,the+game+1997,4.0
4647,83,academic/educator,F,the+devils+advocate+1997,2.0
4647,83,academic/educator,F,boogie+nights+1997,4.0
181436,82,retired,F,the+silence+of+the+lambs+1991,5.0
181436,82,retired,F,metropolitan+1990,4.0
181436,82,retired,F,the+thin+red+line+1998,2.0
181436,82,retired,F,forrest+gump+1994,4.0
41842,81,executive/managerial,M,chain+reaction+1996,3.0
41842,81,executive/managerial,M,the+return+of+the+pink+panther+1975,3.0
41842,81,executive/managerial,M,out+of+africa+1985,4.0
41842,81,executive/managerial,M,enemy+of+the+state+1998,4.0
17449,66,retired,F,my+left+foot+the+story+of+christy+brown+1989,3.64
17449,66,retired,F,the+fighter+2010,3.0
17449,66,retired,F,black+swan+2010,2.0
23685,69,executive/managerial,M,the+perez+family+1995,1.0
23685,69,executive/managerial,M,light+of+day+1987,3.64
23685,69,executive/managerial,M,one+flew+over+the+cuckoos+nest+1975,4.0
23685,69,executive/managerial,M,the+shining+1980,5.0
25196,73,retired,F,funeral+in+berlin+1966,3.64
25196,73,retired,F,black+orpheus+1959,5.0
25196,73,retired,F,my+cousin+vinny+1992,4.0
25196,73,retired,F,unforgiven+1992,3.64
23745,81,retired,F,the+birds+1963,3.65
23745,81,retired,F,duck+soup+1933,3.65
74171,90,academic/educator,F,best+in+show+2000,3.0
74171,90,academic/educator,F,walk+the+line+2005,5.0
74171,90,academic/educator,F,monsters_+inc.+2001,3.65
74171,90,academic/educator,F,strictly+ballroom+1992,1.0
122938,81,retired,F,the+english+patient+1996,4.0
122938,81,retired,F,a+few+good+men+1992,4.0
122938,81,retired,F,casablanca+1942,5.0
122938,81,retired,F,like+water+for+chocolate+1992,4.0
95979,81,other or not specified,F,the+lion+king+1994,4.0
95979,81,other or not specified,F,the+bourne+identity+1988,4.0
95979,81,other or not specified,F,departures+2008,4.0
95979,81,other or not specified,F,billy+elliot+2000,5.0
34854,73,scientist,M,the+alamo+1960,3.65
34854,73,scientist,M,the+searchers+1956,5.0
34854,73,scientist,M,ben-hur+1959,3.65
155645,73,writer,M,bullets+over+broadway+1994,3.65
155645,73,writer,M,to+kill+a+mockingbird+1962,4.0
67795,66,academic/educator,M,the+fifth+element+1997,3.64
131384,67,retired,F,delicatessen+1991,3.0
131384,67,retired,F,the+return+of+martin+guerre+1982,4.0
131384,67,retired,F,the+unbearable+lightness+of+being+1988,3.64
131384,67,retired,F,passion+fish+1992,3.64
175035,61,academic/educator,F,sunshine+cleaning+2008,4.0
175035,61,academic/educator,F,chariots+of+fire+1981,4.0
175035,61,academic/educator,F,babe+pig+in+the+city+1998,3.0
175035,61,academic/educator,F,the+great+debaters+2007,3.0
133790,89,retired,F,the+crucible+1996,3.0
133790,89,retired,F,lone+star+1996,4.0
133790,89,retired,F,the+people+vs.+larry+flynt+1996,4.0
133790,89,retired,F,crash+1996,1.0
163181,67,retired,F,the+apartment+1960,3.64
163181,67,retired,F,the+mosquito+coast+1986,4.0
163181,67,retired,F,everyone+says+i+love+you+1996,3.0
163181,67,retired,F,goodfellas+1990,4.0
172853,90,academic/educator,F,grumpier+old+men+1995,2.0
172853,90,academic/educator,F,mrs.+doubtfire+1993,3.0
172853,90,academic/educator,F,secrets++lies+1996,3.0
172853,90,academic/educator,F,the+english+patient+1996,5.0
15780,67,retired,F,the+adventures+of+priscilla_+queen+of+the+desert+1994,5.0
15780,67,retired,F,life+is+beautiful+1997,5.0
15780,67,retired,F,velvet+goldmine+1998,5.0
15780,67,retired,F,chungking+express+1994,5.0
204423,62,retired,F,five+easy+pieces+1970,3.64
204423,62,retired,F,my+fair+lady+1964,5.0
137458,84,tradesman/craftsman,M,the+cable+guy+1996,3.0
137458,84,tradesman/craftsman,M,twelve+monkeys+1995,3.64
137458,84,tradesman/craftsman,M,down+periscope+1996,3.0
137458,84,tradesman/craftsman,M,father+of+the+bride+part+ii+1995,2.0
35851,66,retired,M,secrets++lies+1996,3.0
35851,66,retired,M,l.a.+story+1991,3.64
35851,66,retired,M,the+last+temptation+of+christ+1988,3.64
208505,65,academic/educator,F,interview+with+the+vampire+1994,5.0
208505,65,academic/educator,F,toy+story+1995,4.0
208505,65,academic/educator,F,mixed+nuts+1994,3.64
88084,77,other or not specified,M,butch+cassidy+and+the+sundance+kid+1969,3.64
88084,77,other or not specified,M,spellbound+1945,5.0
88084,77,other or not specified,M,amadeus+1984,5.0
88084,77,other or not specified,M,whats+eating+gilbert+grape+1993,3.64
137526,61,retired,M,the+outlaw+josey+wales+1976,5.0
137526,61,retired,M,saving+private+ryan+1998,5.0
89471,65,academic/educator,M,schindlers+list+1993,4.0
89471,65,academic/educator,M,three+colors+red+1994,5.0
89471,65,academic/educator,M,eyes+wide+shut+1999,4.0
11072,89,retired,F,the+producers+1967,5.0
11072,89,retired,F,jurassic+park+1993,3.0
206815,80,executive/managerial,F,the+big+chill+1983,4.0
40537,69,scientist,F,the+notebook+2004,5.0
40537,69,scientist,F,snow+falling+on+cedars+1999,3.64
40537,69,scientist,F,planes_+trains+and+automobiles+1987,3.0
52713,78,college/grad student,F,101+dalmatians+1996,3.64
52713,78,college/grad student,F,west+side+story+1961,5.0
52713,78,college/grad student,F,road+to+perdition+2002,4.0
52713,78,college/grad student,F,mulan+1998,5.0
93777,61,retired,F,the+silence+of+the+lambs+1991,5.0
93777,61,retired,F,the+wrong+trousers+1993,5.0
93777,61,retired,F,the+gods+must+be+crazy+1980,5.0
81243,71,academic/educator,F,much+ado+about+nothing+1993,3.64
81546,64,technician/engineer,M,clear+and+present+danger+1994,4.0
81546,64,technician/engineer,M,wyatt+earp+1994,4.0
190767,89,academic/educator,M,stand+by+me+1986,3.64
139181,63,retired,F,little+miss+sunshine+2006,3.64
139181,63,retired,F,juno+2007,4.0
139181,63,retired,F,the+blind+side+2009,3.64
139181,63,retired,F,field+of+dreams+1989,3.64
119431,78,academic/educator,F,mansfield+park+1999,4.0
119431,78,academic/educator,F,dangerous+minds+1995,3.64
57883,72,scientist,M,the+truman+show+1998,3.64
138858,85,other or not specified,F,malcolm+x+1992,4.0
138858,85,other or not specified,F,chariots+of+fire+1981,3.64
145960,73,executive/managerial,M,jackie+brown+1997,4.0
145960,73,executive/managerial,M,das+boot+1981,4.0
145960,73,executive/managerial,M,dogma+1999,4.0
145960,73,executive/managerial,M,withnail++i+1987,1.0
117866,62,academic/educator,F,sixteen+candles+1984,4.0
117866,62,academic/educator,F,being+john+malkovich+1999,5.0
117866,62,academic/educator,F,look+whos+talking+1989,3.64
117866,62,academic/educator,F,tora+tora+tora+1970,4.0
153234,61,retired,M,u-571+2000,1.0
153234,61,retired,M,seabiscuit+2003,5.0
153234,61,retired,M,remember+the+titans+2000,5.0
153234,61,retired,M,the+crucible+1996,3.0
85016,72,academic/educator,F,the+taking+of+pelham+one+two+three+1974,3.0
85016,72,academic/educator,F,flashdance+1983,3.0
85016,72,academic/educator,F,the+shawshank+redemption+1994,4.0
85016,72,academic/educator,F,the+client+1994,4.0
111993,74,executive/managerial,M,the+princess+bride+1987,5.0
111993,74,executive/managerial,M,casablanca+1942,5.0
111993,74,executive/managerial,M,double+indemnity+1944,4.0
111993,74,executive/managerial,M,pearl+harbor+2001,3.64
93025,64,retired,F,the+grifters+1990,4.0
162929,76,retired,F,toy+story+2+1999,3.64
162929,76,retired,F,bringing+out+the+dead+1999,2.0
162929,76,retired,F,fight+club+1999,3.0
162929,76,retired,F,all+about+my+mother+1999,3.64
173889,90,scientist,F,where+the+wild+things+are+2009,2.0
30209,87,other or not specified,F,childs+play+1988,3.0
30209,87,other or not specified,F,persona+1966,4.0
30209,87,other or not specified,F,the+basketball+diaries+1995,4.0
30209,87,other or not specified,F,turner++hooch+1989,3.0
30991,78,executive/managerial,M,cinema+paradiso+1988,5.0
30991,78,executive/managerial,M,the+adventures+of+priscilla_+queen+of+the+desert+1994,3.64
30991,78,executive/managerial,M,the+umbrellas+of+cherbourg+1964,3.64
30991,78,executive/managerial,M,the+return+of+martin+guerre+1982,3.0
187468,72,retired,F,mallrats+1995,3.64
187468,72,retired,F,harry+potter+and+the+philosophers+stone+2001,5.0
187468,72,retired,F,doctor+dolittle+1967,1.0
2686,82,retired,F,the+american+president+1995,5.0
99539,68,self-employed,F,serpico+1973,3.64
99539,68,self-employed,F,the+apartment+1960,3.64
99539,68,self-employed,F,a+few+good+men+1992,4.0
113014,71,executive/managerial,M,mr.+hollands+opus+1995,3.64
113014,71,executive/managerial,M,now+and+then+1995,3.64
113014,71,executive/managerial,M,dangerous+minds+1995,4.0
113014,71,executive/managerial,M,whats+eating+gilbert+grape+1993,3.0
17246,73,academic/educator,F,gods+and+monsters+1998,3.64
17246,73,academic/educator,F,the+garden+of+the+finzi-continis+1970,3.64
29191,89,academic/educator,F,sleeper+1973,3.0
29191,89,academic/educator,F,babettes+feast+1987,3.64
115927,87,retired,F,shall+we+dance+1996,3.64
115927,87,retired,F,harold+and+maude+1971,4.0
115927,87,retired,F,what+dreams+may+come+1998,4.0
115927,87,retired,F,superbad+2007,4.0
215040,80,retired,M,conan+the+barbarian+1982,1.0
215040,80,retired,M,from+russia+with+love+1963,3.64
215040,80,retired,M,excalibur+1981,1.0
215040,80,retired,M,the+indian+in+the+cupboard+1995,1.0
137541,80,retired,F,jungle+book+1942,4.0
96962,84,homemaker,M,maverick+1994,3.0
96962,84,homemaker,M,pinocchio+1940,4.0
96962,84,homemaker,M,batman+forever+1995,3.0
62814,70,retired,F,the+time+machine+1960,3.64
62814,70,retired,F,the+great+escape+1963,3.64
62814,70,retired,F,the+bridge+on+the+river+kwai+1957,5.0
61921,70,retired,F,the+jungle+book+1994,4.0
61921,70,retired,F,free+willy+1993,3.0
61921,70,retired,F,jurassic+park+1993,3.64
61921,70,retired,F,miracle+on+34th+street+1994,3.64
41334,84,executive/managerial,F,raiders+of+the+lost+ark+1981,3.64
41334,84,executive/managerial,F,forrest+gump+1994,5.0
41334,84,executive/managerial,F,its+a+wonderful+life+1946,3.64
41334,84,executive/managerial,F,rob+roy+1995,3.64
20400,68,academic/educator,F,the+full+monty+1997,5.0
3820,62,retired,F,this+boys+life+1993,4.0
3820,62,retired,F,sleepers+1996,3.64
3820,62,retired,F,liar+liar+1997,4.0
3820,62,retired,F,the+incredibles+2004,5.0
179567,78,academic/educator,M,blade+runner+1982,3.64
179567,78,academic/educator,M,the+shawshank+redemption+1994,5.0
153342,80,sales/marketing,M,catch-22+1970,3.64
3781,75,executive/managerial,M,ali+2001,3.64
70695,90,college/grad student,M,vertigo+1958,3.65
8519,64,retired,F,the+quiet+american+2002,5.0
8519,64,retired,F,ghost+dog+the+way+of+the+samurai+1999,3.65
8519,64,retired,F,dangerous+liaisons+1988,4.0
8519,64,retired,F,a+midsummer+nights+dream+1999,3.65
49956,66,retired,M,bull+durham+1988,3.64
49956,66,retired,M,300+2006,5.0
49956,66,retired,M,the+last+emperor+1987,3.0
49956,66,retired,M,night+of+the+living+dead+1968,2.0
185096,74,executive/managerial,F,fargo+1996,5.0
185096,74,executive/managerial,F,the+godfather+1972,5.0
185096,74,executive/managerial,F,a+month+by+the+lake+1995,3.64
185096,74,executive/managerial,F,enchanted+april+1991,3.64
113966,81,executive/managerial,F,guys+and+dolls+1955,3.0
113966,81,executive/managerial,F,lady+and+the+tramp+1955,4.0
113966,81,executive/managerial,F,sleeping+beauty+1959,3.64
113966,81,executive/managerial,F,peter+pan+1953,5.0
120408,87,academic/educator,F,shadowlands+1993,3.64
120408,87,academic/educator,F,moll+flanders+1996,3.64
120408,87,academic/educator,F,restoration+1995,4.0
120408,87,academic/educator,F,the+piano+1993,3.64
77450,69,executive/managerial,M,magnolia+1999,5.0
77450,69,executive/managerial,M,take+the+money+and+run+1969,4.0
77450,69,executive/managerial,M,the+way+we+were+1973,3.0
122346,70,retired,F,spice+world+1997,1.0
122346,70,retired,F,singin+in+the+rain+1952,5.0
122346,70,retired,F,stage+fright+1950,4.0
79620,61,academic/educator,F,the+truth+about+cats++dogs+1996,3.64
79620,61,academic/educator,F,up+close++personal+1996,3.64
79620,61,academic/educator,F,dead+man+walking+1995,4.0
79620,61,academic/educator,F,michael+1996,4.0
72095,76,academic/educator,F,fried+green+tomatoes+1991,3.64
72095,76,academic/educator,F,the+philadelphia+story+1940,3.64
72095,76,academic/educator,F,10+things+i+hate+about+you+1999,3.0
72095,76,academic/educator,F,alice+in+wonderland+1951,3.0
161372,82,retired,F,metropolis+1927,4.0
161372,82,retired,F,the+bridge+on+the+river+kwai+1957,5.0
161372,82,retired,F,north+by+northwest+1959,3.64
112196,73,executive/managerial,F,the+yearling+1946,4.0
72396,79,homemaker,F,aladdin+1992,5.0
72396,79,homemaker,F,backbeat+1994,3.64
72396,79,homemaker,F,the+sound+of+music+1965,5.0
72396,79,homemaker,F,hercules+1997,4.0
17168,73,retired,M,robin+hood+prince+of+thieves+1991,5.0
17168,73,retired,M,monsters_+inc.+2001,5.0
17168,73,retired,M,toy+story+1995,3.64
17168,73,retired,M,goldfinger+1964,4.0
68547,80,executive/managerial,M,amlie+2001,4.0
68547,80,executive/managerial,M,american+graffiti+1973,3.0
68547,80,executive/managerial,M,harold+and+maude+1971,3.64
47817,66,academic/educator,M,schindlers+list+1993,5.0
47817,66,academic/educator,M,chariots+of+fire+1981,5.0
47817,66,academic/educator,M,my+fair+lady+1964,3.64
47817,66,academic/educator,M,raiders+of+the+lost+ark+1981,3.64
160719,65,retired,F,beauty+and+the+beast+1991,3.0
195603,74,retired,F,the+graduate+1967,3.64
195603,74,retired,F,the+fly+1986,4.0
195603,74,retired,F,north+by+northwest+1959,3.0
195603,74,retired,F,the+godfather+part+ii+1974,3.0
196332,75,executive/managerial,M,american+graffiti+1973,1.0
196332,75,executive/managerial,M,me_+myself++irene+2000,2.0
196332,75,executive/managerial,M,boys+dont+cry+1999,2.0
116200,63,retired,F,analyze+this+1999,3.0
116200,63,retired,F,pretty+woman+1990,4.0
116200,63,retired,F,cant+hardly+wait+1998,3.0
109541,81,retired,F,witness+1985,3.64
109541,81,retired,F,little+voice+1998,3.0
109541,81,retired,F,12+angry+men+1957,4.0
109541,81,retired,F,as+good+as+it+gets+1997,3.64
182125,83,scientist,M,the+quick+and+the+dead+1995,2.0
182125,83,scientist,M,gettysburg+1993,3.64
113394,64,executive/managerial,M,omen+iii+the+final+conflict+1981,3.64
113394,64,executive/managerial,M,get+on+the+bus+1996,1.0
211066,75,academic/educator,F,a+nightmare+on+elm+street+1984,3.64
185343,76,retired,M,antichrist+2009,3.0
94691,77,doctor/health care,F,all+the+pretty+horses+2000,4.0
94691,77,doctor/health care,F,l.a.+confidential+1997,5.0
94691,77,doctor/health care,F,dude_+wheres+my+car+2000,1.0
94691,77,doctor/health care,F,how+the+grinch+stole+christmas+2000,1.0
162109,81,retired,M,the+lion+king+1994,3.0
162109,81,retired,M,sense+and+sensibility+1995,4.0
162109,81,retired,M,quiz+show+1994,4.0
162109,81,retired,M,death+and+the+maiden+1994,4.0
181349,74,executive/managerial,M,seven+years+in+tibet+1997,3.64
181349,74,executive/managerial,M,the+quick+and+the+dead+1995,3.64
181349,74,executive/managerial,M,das+boot+1981,3.64
181349,74,executive/managerial,M,dances+with+wolves+1990,3.0
92993,85,retired,M,empire+of+the+sun+1987,3.64
92993,85,retired,M,apollo+13+1995,4.0
92993,85,retired,M,as+good+as+it+gets+1997,3.0
172169,82,academic/educator,F,rushmore+1998,5.0
172169,82,academic/educator,F,men+in+black+1997,3.0
172169,82,academic/educator,F,a+streetcar+named+desire+1951,4.0
172169,82,academic/educator,F,head+on+1998,4.0
207204,64,lawyer,M,harry+potter+and+the+order+of+the+phoenix+2007,5.0
196247,90,retired,F,american+beauty+1999,4.0
196247,90,retired,F,the+silence+of+the+lambs+1991,5.0
196247,90,retired,F,monty+python+and+the+holy+grail+1975,3.64
196247,90,retired,F,junior+1994,3.64
150452,68,executive/managerial,M,the+mummy+returns+2001,1.0
24885,89,executive/managerial,M,the+madness+of+king+george+1994,4.0
162630,86,college/grad student,F,the+godfather+1972,3.64
162630,86,college/grad student,F,snow+white+and+the+seven+dwarfs+1937,5.0
162630,86,college/grad student,F,the+craft+1996,2.0
162630,86,college/grad student,F,elizabeth+1998,4.0
199817,69,executive/managerial,F,the+nightmare+before+christmas+1993,3.0
39121,76,academic/educator,F,being+john+malkovich+1999,3.64
73033,75,self-employed,F,ghost+1990,4.0
73033,75,self-employed,F,the+hunchback+of+notre+dame+1996,3.0
73033,75,self-employed,F,lady+and+the+tramp+1955,3.64
73033,75,self-employed,F,clueless+1995,5.0
44821,83,college/grad student,F,how+to+train+your+dragon+2010,3.64
44821,83,college/grad student,F,dumbo+1941,3.64
44821,83,college/grad student,F,memento+2000,4.0
133441,74,retired,F,slumdog+millionaire+2008,3.63
11385,80,retired,F,that+thing+you+do+1996,3.0
11385,80,retired,F,toy+story+1995,4.0
11385,80,retired,F,babe+1995,5.0
11385,80,retired,F,schindlers+list+1993,3.63
33194,81,other or not specified,M,shakespeare+in+love+1998,3.0
33194,81,other or not specified,M,election+1999,3.63
33194,81,other or not specified,M,the+shining+1980,3.0
33194,81,other or not specified,M,the+blair+witch+project+1999,3.63
39293,69,retired,F,dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb+1964,4.0
39293,69,retired,F,the+bridge+on+the+river+kwai+1957,3.64
39293,69,retired,F,m*a*s*h+1970,3.64
39293,69,retired,F,the+graduate+1967,5.0
127661,86,academic/educator,F,big+night+1996,5.0
127661,86,academic/educator,F,american+pie+1999,3.0
127661,86,academic/educator,F,life+is+beautiful+1997,4.0
127661,86,academic/educator,F,sling+blade+1996,4.0
132256,65,executive/managerial,M,the+game+1997,5.0
132256,65,executive/managerial,M,the+way+i+spent+the+end+of+the+world+2006,5.0
132256,65,executive/managerial,M,the+lord+of+the+rings+1978,3.0
132256,65,executive/managerial,M,kill+bill+vol.+1+2003,3.64
126318,66,academic/educator,F,little+big+league+1994,3.0
125378,61,executive/managerial,M,pretty+in+pink+1986,3.0
125378,61,executive/managerial,M,backdraft+1991,3.0
125378,61,executive/managerial,M,strictly+ballroom+1992,4.0
125378,61,executive/managerial,M,the+dark+crystal+1982,3.0
216055,80,retired,F,in+the+heat+of+the+night+1967,4.0
216055,80,retired,F,summer+of+sam+1999,5.0
29802,71,academic/educator,F,the+godfather+part+ii+1974,3.0
29802,71,academic/educator,F,patton+1970,3.64
29802,71,academic/educator,F,rain+man+1988,3.64
29802,71,academic/educator,F,42+up+1998,5.0
196884,68,retired,F,lawrence+of+arabia+1962,5.0
196884,68,retired,F,psycho+1960,5.0
196884,68,retired,F,a+night+at+the+opera+1935,4.0
196884,68,retired,F,safety+last+1923,3.64
15759,77,executive/managerial,M,the+graduate+1967,1.0
96825,81,academic/educator,M,ransom+1996,3.0
96825,81,academic/educator,M,crouching+tiger_+hidden+dragon+2000,3.0
96825,81,academic/educator,M,le+divorce+2003,4.0
