user,age,occupation,gender,item,rating
87758,25,retired,F,when+harry+met+sally...+1989,5.0
87758,25,retired,F,101+dalmatians+1996,3.78
87758,25,retired,F,the+mexican+2001,3.0
116825,30,college/grad student,F,star+trek+insurrection+1998,3.0
116825,30,college/grad student,F,star+trek+vi+the+undiscovered+country+1991,3.0
6587,27,self-employed,F,buffalo+66+1998,3.6
6587,27,self-employed,F,sixteen+candles+1984,5.0
6587,27,self-employed,F,when+harry+met+sally...+1989,4.0
6587,27,self-employed,F,cinema+paradiso+1988,5.0
168976,70,retired,F,beethovens+2nd+1993,1.0
168976,70,retired,F,chicken+run+2000,2.0
142401,26,retired,F,quills+2000,2.0
142401,26,retired,F,cleopatra+1963,2.0
142401,26,retired,F,shrek+2001,4.0
142401,26,retired,F,chicken+run+2000,5.0
193072,57,academic/educator,F,citizen+kane+1941,3.71
193072,57,academic/educator,F,bandit+queen+1994,5.0
158191,34,college/grad student,F,meet+the+parents+2000,3.73
158191,34,college/grad student,F,pirates+of+the+caribbean+dead+mans+chest+2006,5.0
158191,34,college/grad student,F,memento+2000,4.0
167034,22,sales/marketing,F,fear+and+loathing+in+las+vegas+1998,3.7
167034,22,sales/marketing,F,runaway+bride+1999,3.0
167034,22,sales/marketing,F,sky+captain+and+the+world+of+tomorrow+2004,4.0
167034,22,sales/marketing,F,enigma+2001,3.0
177452,39,executive/managerial,F,babe+1995,5.0
177452,39,executive/managerial,F,four+weddings+and+a+funeral+1994,5.0
192962,25,self-employed,F,super+size+me+2004,3.0
192962,25,self-employed,F,waynes+world+1992,4.0
192962,25,self-employed,F,where+the+heart+is+2000,3.0
192962,25,self-employed,F,mallrats+1995,3.0
120861,33,sales/marketing,F,the+empire+strikes+back+1980,3.0
120861,33,sales/marketing,F,the+last+supper+1995,2.0
120861,33,sales/marketing,F,rosencrantz++guildenstern+are+dead+1991,3.69
120861,33,sales/marketing,F,stand+by+me+1986,3.0
201719,32,college/grad student,F,eyes+wide+shut+1999,2.0
201719,32,college/grad student,F,schindlers+list+1993,4.0
201719,32,college/grad student,F,the+silence+of+the+lambs+1991,3.7
201719,32,college/grad student,F,the+rocky+horror+picture+show+1975,4.0
121247,40,academic/educator,F,pride+and+prejudice+1940,5.0
121247,40,academic/educator,F,a+midsummer+nights+dream+1999,5.0
121247,40,academic/educator,F,i+am+sam+2001,3.73
121247,40,academic/educator,F,october+sky+1999,4.0
66875,28,self-employed,F,so+i+married+an+axe+murderer+1993,4.0
66875,28,self-employed,F,ferris+buellers+day+off+1986,3.0
66875,28,self-employed,F,dave+1993,4.0
66875,28,self-employed,F,south+park+bigger_+longer++uncut+1999,4.0
21111,33,clerical/admin,F,blade+runner+1982,3.68
21111,33,clerical/admin,F,harry+potter+and+the+chamber+of+secrets+2002,1.0
21111,33,clerical/admin,F,children+of+heaven+1997,2.0
208409,32,other or not specified,F,like+water+for+chocolate+1992,3.66
208409,32,other or not specified,F,truly+madly+deeply+1990,3.66
208409,32,other or not specified,F,butch+cassidy+and+the+sundance+kid+1969,4.0
130748,25,college/grad student,F,airplane+1980,2.0
130748,25,college/grad student,F,twelve+monkeys+1995,5.0
130748,25,college/grad student,F,sixteen+candles+1984,1.0
130748,25,college/grad student,F,aladdin+1992,4.0
9324,30,executive/managerial,F,mother+1996,5.0
9324,30,executive/managerial,F,l.a.+confidential+1997,3.63
9324,30,executive/managerial,F,the+devils+advocate+1997,4.0
9324,30,executive/managerial,F,the+apostle+1997,4.0
48287,47,K-12 student,F,abbott+and+costello+meet+frankenstein+1948,3.64
48287,47,K-12 student,F,bride+of+the+monster+1955,3.64
48287,47,K-12 student,F,the+maltese+falcon+1941,4.0
48287,47,K-12 student,F,the+shaggy+dog+1959,3.64
15013,28,sales/marketing,F,the+untouchables+1987,4.0
15013,28,sales/marketing,F,eat+drink+man+woman+1994,4.0
15013,28,sales/marketing,F,better+off+dead...+1985,3.65
15013,28,sales/marketing,F,three+men+and+a+little+lady+1990,3.0
167970,30,academic/educator,F,the+godfather+1972,3.65
167970,30,academic/educator,F,saving+private+ryan+1998,4.0
167970,30,academic/educator,F,analyze+this+1999,3.0
167970,30,academic/educator,F,desperately+seeking+susan+1985,4.0
48513,25,executive/managerial,F,dangerous+liaisons+1988,4.0
48513,25,executive/managerial,F,inception+2010,3.65
48513,25,executive/managerial,F,the+neverending+story+1984,4.0
48513,25,executive/managerial,F,the+family+man+2000,4.0
158127,73,retired,F,bringing+up+baby+1938,5.0
158127,73,retired,F,theres+something+about+mary+1998,5.0
158127,73,retired,F,toy+story+1995,5.0
158127,73,retired,F,seven+samurai+1954,3.65
21040,31,college/grad student,F,batman+1989,3.66
21040,31,college/grad student,F,die+hard+with+a+vengeance+1995,3.66
21040,31,college/grad student,F,dave+1993,5.0
21040,31,college/grad student,F,beauty+and+the+beast+1991,3.66
83961,27,other or not specified,F,the+godfather+1972,3.66
83961,27,other or not specified,F,brief+encounter+1945,3.66
83961,27,other or not specified,F,spellbound+1945,3.66
30827,27,college/grad student,F,eraser+1996,3.0
30827,27,college/grad student,F,mission+impossible+1996,4.0
30827,27,college/grad student,F,father+of+the+bride+part+ii+1995,3.66
30827,27,college/grad student,F,the+nutty+professor+1996,3.0
206909,34,college/grad student,F,muriels+wedding+1994,5.0
206909,34,college/grad student,F,dangerous+minds+1995,3.66
107809,28,sales/marketing,F,la+vie+en+rose+2007,4.0
107809,28,sales/marketing,F,sideways+2004,4.0
107809,28,sales/marketing,F,Unknown,5.0
207334,22,homemaker,F,divine+secrets+of+the+ya-ya+sisterhood+2002,1.0
207334,22,homemaker,F,the+exorcist+1973,3.66
207334,22,homemaker,F,psycho+1998,4.0
160905,25,college/grad student,F,adult+world+2013,4.0
160905,25,college/grad student,F,the+beach+2000,3.66
95469,33,college/grad student,F,whats+eating+gilbert+grape+1993,2.0
95469,33,college/grad student,F,alive+1993,3.67
95469,33,college/grad student,F,flight+of+the+navigator+1986,2.0
95469,33,college/grad student,F,return+to+paradise+1998,2.0
96163,33,scientist,F,shrek+2001,4.0
96163,33,scientist,F,miss+congeniality+2000,3.67
96163,33,scientist,F,the+lion+king+1994,3.67
96163,33,scientist,F,amistad+1997,5.0
159329,26,college/grad student,F,tropic+thunder+2008,3.67
159329,26,college/grad student,F,the+dark+knight+2008,5.0
159329,26,college/grad student,F,less+than+zero+1987,3.67
159329,26,college/grad student,F,iron+man+2+2010,5.0
198916,12,K-12 student,F,the+girl+who+leapt+through+time+2006,5.0
198916,12,K-12 student,F,spirited+away+2001,5.0
198916,12,K-12 student,F,madagascar+2005,3.0
198916,12,K-12 student,F,antz+1998,3.67
137356,56,retired,F,stealing+beauty+1996,3.0
137356,56,retired,F,how+to+make+an+american+quilt+1995,4.0
137356,56,retired,F,waiting+to+exhale+1995,3.0
137356,56,retired,F,forrest+gump+1994,3.66
113778,34,college/grad student,F,sense+and+sensibility+1995,5.0
113778,34,college/grad student,F,leaving+las+vegas+1995,4.0
113778,34,college/grad student,F,like+water+for+chocolate+1992,4.0
113778,34,college/grad student,F,crumb+1994,3.0
19518,29,self-employed,F,lost+in+la+mancha+2002,3.0
19518,29,self-employed,F,winged+migration+2001,5.0
19518,29,self-employed,F,run+lola+run+1998,4.0
19518,29,self-employed,F,the+player+1992,3.65
125672,21,K-12 student,F,raiders+of+the+lost+ark+1981,4.0
125672,21,K-12 student,F,homeward+bound+the+incredible+journey+1993,5.0
125672,21,K-12 student,F,diamonds+are+forever+1971,4.0
125672,21,K-12 student,F,an+american+tail+fievel+goes+west+1991,3.66
144065,51,self-employed,F,jumpin+jack+flash+1986,3.65
43994,34,other or not specified,F,the+thomas+crown+affair+1999,5.0
43994,34,other or not specified,F,never+been+kissed+1999,3.65
43994,34,other or not specified,F,the+wizard+of+oz+1939,3.65
43994,34,other or not specified,F,desperately+seeking+susan+1985,3.0
145748,18,K-12 student,F,robin+hood+1973,3.65
145748,18,K-12 student,F,failure+to+launch+2006,3.65
73942,25,scientist,F,the+princess+diaries+2001,4.0
73942,25,scientist,F,g.i.+joe+the+rise+of+cobra+2009,3.0
73942,25,scientist,F,spice+world+1997,2.0
33537,28,college/grad student,F,feeling+minnesota+1996,3.65
33537,28,college/grad student,F,the+fan+1996,5.0
33537,28,college/grad student,F,primal+fear+1996,3.65
33537,28,college/grad student,F,big+bully+1996,3.0
51738,28,self-employed,F,circle+of+friends+1995,5.0
51738,28,self-employed,F,threesome+1994,5.0
51738,28,self-employed,F,reality+bites+1994,5.0
51738,28,self-employed,F,hairspray+1988,5.0
4371,28,clerical/admin,F,children+of+a+lesser+god+1986,3.66
4371,28,clerical/admin,F,top+gun+1986,4.0
4371,28,clerical/admin,F,desperately+seeking+susan+1985,3.0
4371,28,clerical/admin,F,madame+sousatzka+1988,2.0
