user,age,occupation,gender,item,rating
54161,27,academic/educator,M,taxi+driver+1976,4.0
54161,27,academic/educator,M,se7en+1995,4.0
54161,27,academic/educator,M,the+silence+of+the+lambs+1991,3.7
54161,27,academic/educator,M,breaking+the+waves+1996,3.7
184466,50,academic/educator,M,high+noon+1952,3.66
184466,50,academic/educator,M,parenthood+1989,5.0
184466,50,academic/educator,M,kalifornia+1993,3.66
184466,50,academic/educator,M,what+lies+beneath+2000,4.0
193072,57,academic/educator,F,citizen+kane+1941,3.71
193072,57,academic/educator,F,bandit+queen+1994,5.0
11912,29,academic/educator,M,raising+arizona+1987,3.73
11912,29,academic/educator,M,toy+story+1995,3.73
11912,29,academic/educator,M,as+good+as+it+gets+1997,5.0
11912,29,academic/educator,M,robin+hood+men+in+tights+1993,3.73
121247,40,academic/educator,F,pride+and+prejudice+1940,5.0
121247,40,academic/educator,F,a+midsummer+nights+dream+1999,5.0
121247,40,academic/educator,F,i+am+sam+2001,3.73
121247,40,academic/educator,F,october+sky+1999,4.0
162424,35,academic/educator,M,2001+a+space+odyssey+1968,5.0
162424,35,academic/educator,M,l.a.+confidential+1997,4.0
162424,35,academic/educator,M,the+african+queen+1951,4.0
162424,35,academic/educator,M,the+graduate+1967,3.69
28610,29,academic/educator,M,schindlers+list+1993,3.0
28610,29,academic/educator,M,the+right+stuff+1983,4.0
28610,29,academic/educator,M,patton+1970,5.0
160623,48,academic/educator,M,falling+down+1993,4.0
160623,48,academic/educator,M,murder_+my+sweet+1944,3.66
160623,48,academic/educator,M,my+best+fiend+1999,4.0
167970,30,academic/educator,F,the+godfather+1972,3.65
167970,30,academic/educator,F,saving+private+ryan+1998,4.0
167970,30,academic/educator,F,analyze+this+1999,3.0
167970,30,academic/educator,F,desperately+seeking+susan+1985,4.0
40615,30,academic/educator,M,sling+blade+1996,3.65
40615,30,academic/educator,M,jean+de+florette+1986,3.65
102840,28,academic/educator,M,the+godfather+1972,3.67
102840,28,academic/educator,M,the+pursuit+of+happyness+2006,4.0
102840,28,academic/educator,M,the+life+of+david+gale+2003,3.0
186113,54,academic/educator,M,mrs.+doubtfire+1993,3.67
186113,54,academic/educator,M,ed+wood+1994,3.0
186113,54,academic/educator,M,searching+for+bobby+fischer+1993,4.0
