user,age,occupation,gender,item,rating
95552,15,artist,M,a+shot+in+the+dark+1964,3.71
95552,15,artist,M,x2+2003,3.71
95552,15,artist,M,the+blind+side+2009,5.0
95552,15,artist,M,the+terminator+1984,3.71
130892,33,artist,M,police+academy+4+citizens+on+patrol+1987,2.0
130892,33,artist,M,daredevil+2003,3.0
130892,33,artist,M,theres+something+about+mary+1998,3.0
130892,33,artist,M,desperado+1995,4.0
72922,25,artist,M,conan+the+barbarian+1982,4.0
72922,25,artist,M,goldeneye+1995,3.0
120140,33,artist,M,rocky+1976,3.63
120140,33,artist,M,o+brother_+where+art+thou+2000,4.0
120140,33,artist,M,the+fighting+seabees+1944,3.0
120140,33,artist,M,the+last+emperor+1987,5.0
16701,18,artist,M,kiss+kiss+bang+bang+2005,3.0
16701,18,artist,M,lethal+weapon+2+1989,3.65
16701,18,artist,M,deep+blue+sea+1999,3.0
200721,32,artist,M,nightbreed+1990,3.66
200721,32,artist,M,what+lies+beneath+2000,3.66
200721,32,artist,M,the+terminator+1984,4.0
200721,32,artist,M,the+great+dictator+1940,4.0
162071,26,artist,M,the+legend+of+drunken+master+1994,3.67
162071,26,artist,M,fist+of+legend+1994,3.67
162071,26,artist,M,big+trouble+in+little+china+1986,5.0
162071,26,artist,M,shrek+2001,4.0
52996,29,artist,M,the+muppets+take+manhattan+1984,3.65
52996,29,artist,M,trading+places+1983,3.0
52996,29,artist,M,team+america+world+police+2004,3.65
52996,29,artist,M,the+legend+of+drunken+master+1994,3.65
21627,26,artist,M,50+first+dates+2004,3.0
10832,31,artist,F,the+green+mile+1999,4.0
10832,31,artist,F,frequency+2000,4.0
10832,31,artist,F,ratatouille+2007,3.0
10832,31,artist,F,inception+2010,2.0
130877,18,artist,M,the+big+sleep+1946,3.64
130877,18,artist,M,the+last+picture+show+1971,3.64
135322,41,artist,F,beauty+and+the+beast+1991,5.0
176132,29,artist,M,ace+ventura+pet+detective+1994,2.0
176132,29,artist,M,eraserhead+1977,3.0
176132,29,artist,M,the+frighteners+1996,3.0
176132,29,artist,M,a+clockwork+orange+1971,5.0
193728,34,artist,M,ace+ventura+pet+detective+1994,4.0
193728,34,artist,M,clerks+ii+2006,4.0
193728,34,artist,M,the+count+of+monte+cristo+2002,4.0
193728,34,artist,M,desperado+1995,4.0
132069,30,artist,M,the+mask+1994,3.64
132069,30,artist,M,singin+in+the+rain+1952,2.0
132069,30,artist,M,sixteen+candles+1984,3.64
81200,28,artist,M,the+golden+child+1986,4.0
81200,28,artist,M,jury+duty+1995,3.64
81200,28,artist,M,the+substitute+1996,3.0
81200,28,artist,M,the+goonies+1985,3.0
141633,27,artist,M,21+jump+street+2012,3.65
141633,27,artist,M,whats+eating+gilbert+grape+1993,4.0
141633,27,artist,M,raising+arizona+1987,4.0
141633,27,artist,M,michael+1996,3.65
164358,25,artist,M,the+unknown+soldier+1955,1.0
164358,25,artist,M,the+endurance+shackletons+legendary+antarctic+expedition+2000,4.0
164358,25,artist,M,brazil+1985,3.65
164358,25,artist,M,the+usual+suspects+1995,4.0
71264,49,artist,M,we+were+soldiers+2002,4.0
71264,49,artist,M,joe+dirt+2001,3.0
71264,49,artist,M,rush+hour+1998,3.0
71264,49,artist,M,dances+with+wolves+1990,4.0
119963,26,artist,M,get+smart+2008,3.64
68779,24,artist,M,freddy+vs.+jason+2003,5.0
187271,30,artist,M,alien+1992,3.0
187271,30,artist,M,night+of+the+living+dead+1990,2.0
120014,32,artist,M,burnt+offerings+1976,2.0
120014,32,artist,M,amos++andrew+1993,4.0
120014,32,artist,M,roman+holiday+1953,3.64
120014,32,artist,M,arsenic+and+old+lace+1944,3.64
