user,age,occupation,gender,item,rating
202605,27,clerical/admin,M,a+league+of+their+own+1992,3.23
202605,27,clerical/admin,M,a+river+runs+through+it+1992,3.0
202605,27,clerical/admin,M,rounders+1998,3.0
202605,27,clerical/admin,M,shakespeare+in+love+1998,4.0
37695,26,clerical/admin,M,the+corporation+2003,3.0
37695,26,clerical/admin,M,the+lost+boys+1987,2.0
37695,26,clerical/admin,M,son+in+law+1993,3.58
37695,26,clerical/admin,M,an+american+tail+fievel+goes+west+1991,1.0
82552,27,clerical/admin,M,glory+1989,4.0
82552,27,clerical/admin,M,imitation+of+life+1959,3.6
82552,27,clerical/admin,M,raiders+of+the+lost+ark+1981,5.0
82552,27,clerical/admin,M,frozen+river+2008,3.0
50073,30,clerical/admin,M,the+remains+of+the+day+1993,4.0
50073,30,clerical/admin,M,dances+with+wolves+1990,3.69
50073,30,clerical/admin,M,pale+rider+1985,2.0
50073,30,clerical/admin,M,the+ice+storm+1997,3.69
21111,33,clerical/admin,F,blade+runner+1982,3.68
21111,33,clerical/admin,F,harry+potter+and+the+chamber+of+secrets+2002,1.0
21111,33,clerical/admin,F,children+of+heaven+1997,2.0
200537,25,clerical/admin,M,mona+lisa+1986,4.0
200537,25,clerical/admin,M,cool+hand+luke+1967,3.65
200537,25,clerical/admin,M,the+truman+show+1998,4.0
200537,25,clerical/admin,M,ronin+1998,3.65
158767,28,clerical/admin,M,my+big+fat+greek+wedding+2002,3.65
158767,28,clerical/admin,M,white+men+cant+jump+1992,3.0
158767,28,clerical/admin,M,my+fair+lady+1964,4.0
158767,28,clerical/admin,M,factory+girl+2006,3.65
196060,25,clerical/admin,M,the+dead+zone+1983,2.0
196060,25,clerical/admin,M,the+shining+1980,3.66
196060,25,clerical/admin,M,carrie+1976,3.66
85922,40,clerical/admin,M,sweet+and+lowdown+1999,3.65
85922,40,clerical/admin,M,a+christmas+story+1983,4.0
85922,40,clerical/admin,M,office+space+1999,3.65
4371,28,clerical/admin,F,children+of+a+lesser+god+1986,3.66
4371,28,clerical/admin,F,top+gun+1986,4.0
4371,28,clerical/admin,F,desperately+seeking+susan+1985,3.0
4371,28,clerical/admin,F,madame+sousatzka+1988,2.0
110004,41,clerical/admin,M,legend+1985,3.65
110004,41,clerical/admin,M,i+love+you+to+death+1990,3.0
110004,41,clerical/admin,M,executive+decision+1996,3.0
110004,41,clerical/admin,M,elektra+2005,3.65
33182,25,clerical/admin,M,victorvictoria+1982,2.0
33182,25,clerical/admin,M,being+john+malkovich+1999,5.0
33182,25,clerical/admin,M,28+days+2000,2.0
33182,25,clerical/admin,M,the+prince+of+tides+1991,4.0
151463,28,clerical/admin,M,leon+the+professional+1994,5.0
151463,28,clerical/admin,M,bad+boys+1995,2.0
151463,28,clerical/admin,M,the+beach+2000,4.0
151463,28,clerical/admin,M,barton+fink+1991,4.0
73068,25,clerical/admin,M,rocky+1976,3.0
73068,25,clerical/admin,M,the+shadow+1994,3.0
73068,25,clerical/admin,M,the+blob+1958,3.63
73068,25,clerical/admin,M,sex_+lies_+and+videotape+1989,3.0
172569,44,clerical/admin,M,the+kid+stays+in+the+picture+2002,5.0
172569,44,clerical/admin,M,the+spanish+prisoner+1997,5.0
172569,44,clerical/admin,M,the+bank+dick+1940,4.0
172569,44,clerical/admin,M,jesus+son+1999,5.0
73248,26,clerical/admin,M,master+and+commander+the+far+side+of+the+world+2003,3.0
73248,26,clerical/admin,M,groundhog+day+1993,4.0
79624,25,clerical/admin,M,the+exorcist+1973,3.65
79624,25,clerical/admin,M,snake+eyes+1998,1.0
79624,25,clerical/admin,M,the+fighter+2010,3.65
79624,25,clerical/admin,M,pulp+fiction+1994,3.65
184016,33,clerical/admin,F,jaws+1975,3.64
184016,33,clerical/admin,F,the+english+patient+1996,4.0
184016,33,clerical/admin,F,city+slickers+1991,4.0
184016,33,clerical/admin,F,coneheads+1993,3.0
148923,37,clerical/admin,M,99+francs+2007,4.0
148923,37,clerical/admin,M,49+up+2005,3.64
148923,37,clerical/admin,M,the+blair+witch+project+1999,2.0
148923,37,clerical/admin,M,bus+174+2002,5.0
46785,25,clerical/admin,M,return+of+the+jedi+1983,3.0
7496,28,clerical/admin,M,insomnia+2002,3.63
7496,28,clerical/admin,M,akira+1988,3.0
7496,28,clerical/admin,M,to+kill+a+mockingbird+1962,5.0
7496,28,clerical/admin,M,twelve+oclock+high+1949,3.63
45982,34,clerical/admin,M,the+running+man+1987,2.0
45982,34,clerical/admin,M,tootsie+1982,4.0
45982,34,clerical/admin,M,almost+famous+2000,4.0
45982,34,clerical/admin,M,revenge+of+the+nerds+1984,4.0
197272,29,clerical/admin,M,sweet+home+alabama+2002,3.0
197272,29,clerical/admin,M,army+of+darkness+1992,4.0
197272,29,clerical/admin,M,toy+story+1995,3.0
176697,27,clerical/admin,M,west+side+story+1961,4.0
176697,27,clerical/admin,M,entrapment+1999,3.64
176697,27,clerical/admin,M,midnight+in+paris+2011,3.64
4563,34,clerical/admin,F,high+art+1998,5.0
93705,32,clerical/admin,M,the+three+musketeers+1973,3.64
93705,32,clerical/admin,M,visions+of+light+1992,4.0
93705,32,clerical/admin,M,monsters_+inc.+2001,3.64
93705,32,clerical/admin,M,first+position+2011,3.64
47427,34,clerical/admin,M,good+morning_+vietnam+1987,2.0
47427,34,clerical/admin,M,the+rocky+horror+picture+show+1975,4.0
47427,34,clerical/admin,M,desperate+living+1977,4.0
47427,34,clerical/admin,M,waiting+for+guffman+1996,4.0
30980,28,clerical/admin,M,the+pink+panther+strikes+again+1976,3.64
30980,28,clerical/admin,M,fast+times+at+ridgemont+high+1982,5.0
