user,age,occupation,gender,item,rating
87980,25,college/grad student,M,top+gun+1986,3.67
87980,25,college/grad student,M,bed+of+roses+1996,3.0
29247,25,college/grad student,M,the+10th+victim+1965,1.0
29247,25,college/grad student,M,red+dragon+2002,2.0
123552,18,college/grad student,M,goodfellas+1990,3.74
123552,18,college/grad student,M,gladiator+1992+1992,3.74
123552,18,college/grad student,M,fear+and+loathing+in+las+vegas+1998,3.74
123552,18,college/grad student,M,falling+down+1993,3.0
71937,31,college/grad student,M,get+shorty+1995,3.63
71937,31,college/grad student,M,twelve+monkeys+1995,2.0
116825,30,college/grad student,F,star+trek+insurrection+1998,3.0
116825,30,college/grad student,F,star+trek+vi+the+undiscovered+country+1991,3.0
119279,27,college/grad student,M,remember+the+titans+2000,3.67
119279,27,college/grad student,M,erin+brockovich+2000,3.0
32959,32,college/grad student,M,babe+1995,5.0
32959,32,college/grad student,M,pretty+woman+1990,3.67
32959,32,college/grad student,M,the+firm+1993,5.0
32959,32,college/grad student,M,outbreak+1995,4.0
158191,34,college/grad student,F,meet+the+parents+2000,3.73
158191,34,college/grad student,F,pirates+of+the+caribbean+dead+mans+chest+2006,5.0
158191,34,college/grad student,F,memento+2000,4.0
190296,26,college/grad student,M,shakespeare+in+love+1998,3.71
190296,26,college/grad student,M,one+flew+over+the+cuckoos+nest+1975,3.71
190296,26,college/grad student,M,braveheart+1995,4.0
190296,26,college/grad student,M,28+days+2000,3.0
14149,30,college/grad student,M,tommy+boy+1995,3.0
14149,30,college/grad student,M,groundhog+day+1993,3.0
14149,30,college/grad student,M,toy+story+1995,3.7
23547,25,college/grad student,M,american+history+x+1998,5.0
23547,25,college/grad student,M,star+wars+1977,3.71
23547,25,college/grad student,M,amlie+2001,5.0
23547,25,college/grad student,M,saving+private+ryan+1998,3.0
126558,32,college/grad student,M,the+game+1997,3.72
126558,32,college/grad student,M,batman+begins+2005,3.0
126558,32,college/grad student,M,titanic+1997,4.0
126558,32,college/grad student,M,mission+impossible+iii+2006,3.0
110665,20,college/grad student,M,crouching+tiger_+hidden+dragon+2000,1.0
110665,20,college/grad student,M,alien+1979,4.0
110665,20,college/grad student,M,the+matrix+1999,5.0
110665,20,college/grad student,M,american+pie+1999,3.69
174687,28,college/grad student,M,apollo+13+1995,5.0
201719,32,college/grad student,F,eyes+wide+shut+1999,2.0
201719,32,college/grad student,F,schindlers+list+1993,4.0
201719,32,college/grad student,F,the+silence+of+the+lambs+1991,3.7
201719,32,college/grad student,F,the+rocky+horror+picture+show+1975,4.0
177010,32,college/grad student,M,forrest+gump+1994,4.0
177010,32,college/grad student,M,mission+impossible+1996,3.0
177010,32,college/grad student,M,dave+1993,3.0
177010,32,college/grad student,M,the+fugitive+1993,4.0
125104,33,college/grad student,M,the+shawshank+redemption+1994,5.0
125104,33,college/grad student,M,return+of+the+jedi+1983,3.0
125104,33,college/grad student,M,twelve+monkeys+1995,5.0
125104,33,college/grad student,M,breakfast+at+tiffanys+1961,4.0
210723,27,college/grad student,M,courage+under+fire+1996,5.0
210723,27,college/grad student,M,dead+man+walking+1995,5.0
210723,27,college/grad student,M,the+long+kiss+goodnight+1996,3.72
210723,27,college/grad student,M,sleepers+1996,5.0
57457,32,college/grad student,M,twilight+2008,3.72
57457,32,college/grad student,M,monty+python+and+the+holy+grail+1975,3.72
57457,32,college/grad student,M,futurama+into+the+wild+green+yonder+2009,3.72
57457,32,college/grad student,M,babylon+a.d.+2008,1.0
18297,19,college/grad student,M,analyze+that+2002,2.0
18297,19,college/grad student,M,the+fast+and+the+furious+1955,3.72
18297,19,college/grad student,M,the+crow+1994,3.72
18297,19,college/grad student,M,twelve+monkeys+1995,3.0
192270,30,college/grad student,M,pulp+fiction+1994,2.0
192270,30,college/grad student,M,spirited+away+2001,3.0
192270,30,college/grad student,M,cinderella+1950,1.0
192270,30,college/grad student,M,antz+1998,3.68
94226,26,college/grad student,M,sixteen+candles+1984,3.68
94226,26,college/grad student,M,the+patriot+2000,3.68
94226,26,college/grad student,M,space+cowboys+2000,4.0
94226,26,college/grad student,M,the+kentucky+fried+movie+1977,3.68
169690,26,college/grad student,M,mr.+hollands+opus+1995,3.0
169690,26,college/grad student,M,the+juror+1996,1.0
169690,26,college/grad student,M,grumpier+old+men+1995,4.0
169690,26,college/grad student,M,sleepers+1996,5.0
108781,30,college/grad student,M,the+silence+of+the+lambs+1991,4.0
126956,28,college/grad student,M,donnie+darko+2001,3.0
126956,28,college/grad student,M,no+country+for+old+men+2007,5.0
126956,28,college/grad student,M,the+pink+panther+strikes+again+1976,4.0
126956,28,college/grad student,M,fantasia+2000+1999,3.69
135553,26,college/grad student,M,blade+runner+1982,3.69
135553,26,college/grad student,M,about+schmidt+2002,3.69
202696,28,college/grad student,M,return+of+the+jedi+1983,4.0
202696,28,college/grad student,M,the+rock+1996,3.68
202696,28,college/grad student,M,city+hall+1996,4.0
174055,30,college/grad student,M,addams+family+values+1993,1.0
174055,30,college/grad student,M,goldeneye+1995,4.0
174055,30,college/grad student,M,the+silence+of+the+lambs+1991,5.0
174055,30,college/grad student,M,the+net+1995,3.0
121919,28,college/grad student,M,the+rocky+horror+picture+show+1975,3.69
121919,28,college/grad student,M,harry+potter+and+the+philosophers+stone+2001,3.69
153310,31,college/grad student,M,four+weddings+and+a+funeral+1994,3.0
153310,31,college/grad student,M,beauty+and+the+beast+1991,3.0
153310,31,college/grad student,M,judge+dredd+1995,1.0
153310,31,college/grad student,M,pretty+woman+1990,3.0
80835,30,college/grad student,M,the+santa+clause+1994,4.0
80835,30,college/grad student,M,addams+family+values+1993,4.0
80835,30,college/grad student,M,beauty+and+the+beast+1991,3.0
116585,31,college/grad student,M,leaving+las+vegas+1995,5.0
116585,31,college/grad student,M,sabrina+1995,1.0
104386,32,college/grad student,M,phenomenon+1996,4.0
104386,32,college/grad student,M,fierce+creatures+1997,3.68
104386,32,college/grad student,M,mr.+hollands+opus+1995,4.0
104386,32,college/grad student,M,fargo+1996,3.0
215159,30,college/grad student,M,restoration+1995,3.68
215159,30,college/grad student,M,ransom+1996,3.0
215159,30,college/grad student,M,twister+1996,3.0
15426,32,college/grad student,M,wild+things+1998,5.0
15426,32,college/grad student,M,swept+from+the+sea+1998,3.0
15426,32,college/grad student,M,he+got+game+1998,3.0
15426,32,college/grad student,M,nil+by+mouth+1997,3.0
52438,28,college/grad student,M,better+off+dead...+1985,5.0
52438,28,college/grad student,M,the+program+1993,3.66
52438,28,college/grad student,M,star+wars+1977,5.0
52438,28,college/grad student,M,happy+gilmore+1996,5.0
12494,30,college/grad student,M,willy+wonka++the+chocolate+factory+1971,3.66
12494,30,college/grad student,M,the+river+wild+1994,3.0
12494,30,college/grad student,M,the+hunchback+of+notre+dame+1996,3.0
12494,30,college/grad student,M,a+time+to+kill+1996,4.0
81201,30,college/grad student,M,cruel+intentions+1999,2.0
130748,25,college/grad student,F,airplane+1980,2.0
130748,25,college/grad student,F,twelve+monkeys+1995,5.0
130748,25,college/grad student,F,sixteen+candles+1984,1.0
130748,25,college/grad student,F,aladdin+1992,4.0
89591,29,college/grad student,M,m*a*s*h+1970,3.64
72944,28,college/grad student,M,the+craft+1996,3.0
72944,28,college/grad student,M,the+godfather+1972,5.0
72944,28,college/grad student,M,twelve+monkeys+1995,3.0
72944,28,college/grad student,M,sleepers+1996,5.0
191136,29,college/grad student,M,back+to+the+future+part+ii+1989,3.0
191136,29,college/grad student,M,casper+1995,3.0
191136,29,college/grad student,M,so+i+married+an+axe+murderer+1993,3.63
191136,29,college/grad student,M,bowfinger+1999,3.63
71905,30,college/grad student,M,in+the+line+of+fire+1993,4.0
45704,30,college/grad student,M,dead+man+walking+1995,5.0
45704,30,college/grad student,M,rumble+in+the+bronx+1995,3.63
45704,30,college/grad student,M,ransom+1996,3.63
45704,30,college/grad student,M,the+postman+1994,3.63
114319,27,college/grad student,M,speed+1994,3.64
114319,27,college/grad student,M,apollo+13+1995,4.0
114319,27,college/grad student,M,mrs.+doubtfire+1993,3.64
114319,27,college/grad student,M,terminator+2+judgment+day+1991,4.0
214269,26,college/grad student,M,sudden+death+1995,3.0
214269,26,college/grad student,M,the+nutty+professor+1996,2.0
214269,26,college/grad student,M,broken+arrow+1996,3.64
214269,26,college/grad student,M,the+arrival+1996,4.0
215210,25,college/grad student,M,the+matrix+1999,3.64
215210,25,college/grad student,M,u-571+2000,3.0
215210,25,college/grad student,M,back+to+the+future+1985,5.0
215210,25,college/grad student,M,titanic+1997,4.0
110902,34,college/grad student,M,amadeus+1984,2.0
110902,34,college/grad student,M,die+hard+1988,3.65
23660,25,college/grad student,M,the+lord+of+the+rings+the+two+towers+2002,4.0
23660,25,college/grad student,M,the+doors+1991,5.0
23660,25,college/grad student,M,oceans+eleven+2001,3.65
23660,25,college/grad student,M,i+still+know+what+you+did+last+summer+1998,2.0
91032,29,college/grad student,M,primal+fear+1996,3.65
91032,29,college/grad student,M,twelve+monkeys+1995,4.0
91032,29,college/grad student,M,willy+wonka++the+chocolate+factory+1971,4.0
91032,29,college/grad student,M,sabrina+1995,4.0
173269,26,college/grad student,M,don+juan+demarco+1994,4.0
173269,26,college/grad student,M,the+lion+king+1994,3.64
173269,26,college/grad student,M,mrs.+doubtfire+1993,4.0
173269,26,college/grad student,M,aladdin+1992,5.0
70690,30,college/grad student,M,green+street+hooligans+2005,5.0
209572,30,college/grad student,M,x-men+2000,3.65
209572,30,college/grad student,M,the+godfather+part+ii+1974,5.0
209572,30,college/grad student,M,star+trek+first+contact+1996,3.65
209572,30,college/grad student,M,the+lord+of+the+rings+the+two+towers+2002,5.0
133178,32,college/grad student,M,the+ninth+gate+1999,2.0
133178,32,college/grad student,M,the+usual+suspects+1995,4.0
133178,32,college/grad student,M,the+illusionist+2006,5.0
133178,32,college/grad student,M,peter+pan+1953,3.65
21040,31,college/grad student,F,batman+1989,3.66
21040,31,college/grad student,F,die+hard+with+a+vengeance+1995,3.66
21040,31,college/grad student,F,dave+1993,5.0
21040,31,college/grad student,F,beauty+and+the+beast+1991,3.66
162173,28,college/grad student,M,snatch+2000,3.66
162173,28,college/grad student,M,oceans+eleven+2001,3.0
162173,28,college/grad student,M,batman+begins+2005,4.0
162173,28,college/grad student,M,the+talented+mr.+ripley+1999,3.66
169086,30,college/grad student,M,terminator+2+judgment+day+1991,3.66
169086,30,college/grad student,M,kids+1995,4.0
169086,30,college/grad student,M,hairspray+1988,4.0
169086,30,college/grad student,M,pink+flamingos+1972,4.0
30827,27,college/grad student,F,eraser+1996,3.0
30827,27,college/grad student,F,mission+impossible+1996,4.0
30827,27,college/grad student,F,father+of+the+bride+part+ii+1995,3.66
30827,27,college/grad student,F,the+nutty+professor+1996,3.0
206909,34,college/grad student,F,muriels+wedding+1994,5.0
206909,34,college/grad student,F,dangerous+minds+1995,3.66
138003,29,college/grad student,M,tomorrow+never+dies+1997,4.0
138003,29,college/grad student,M,out+of+sight+1998,3.0
138003,29,college/grad student,M,alive+1993,3.0
198270,32,college/grad student,M,four+weddings+and+a+funeral+1994,3.0
198270,32,college/grad student,M,broken+arrow+1996,3.66
198270,32,college/grad student,M,batman+1989,3.0
140872,29,college/grad student,M,king+kong+1933,3.65
140872,29,college/grad student,M,shrek+2001,4.0
183822,33,college/grad student,M,demolition+man+1993,3.65
183822,33,college/grad student,M,while+you+were+sleeping+1995,3.65
183822,33,college/grad student,M,made+in+america+1993,3.65
183822,33,college/grad student,M,the+paper+1994,3.65
65004,30,college/grad student,M,chocolat+2000,5.0
65004,30,college/grad student,M,donnie+darko+2001,3.65
67836,29,college/grad student,M,grumpier+old+men+1995,5.0
67836,29,college/grad student,M,phenomenon+1996,3.66
67836,29,college/grad student,M,barb+wire+1996,5.0
47047,32,college/grad student,M,citizen+kane+1941,5.0
47047,32,college/grad student,M,short+cuts+1993,5.0
47047,32,college/grad student,M,the+trouble+with+harry+1955,3.67
47047,32,college/grad student,M,network+1976,5.0
194447,24,college/grad student,M,drive+me+crazy+1999,1.0
194447,24,college/grad student,M,insomnia+1997,2.0
146484,26,college/grad student,M,gravity+2013,3.0
146484,26,college/grad student,M,finding+nemo+2003,4.0
160905,25,college/grad student,F,adult+world+2013,4.0
160905,25,college/grad student,F,the+beach+2000,3.66
90808,33,college/grad student,M,salt+2010,3.67
90808,33,college/grad student,M,captain+america+the+winter+soldier+2014,4.0
90808,33,college/grad student,M,one+flew+over+the+cuckoos+nest+1975,5.0
90808,33,college/grad student,M,dj+vu+2006,5.0
95469,33,college/grad student,F,whats+eating+gilbert+grape+1993,2.0
95469,33,college/grad student,F,alive+1993,3.67
95469,33,college/grad student,F,flight+of+the+navigator+1986,2.0
95469,33,college/grad student,F,return+to+paradise+1998,2.0
6142,32,college/grad student,M,apollo+13+1995,4.0
6142,32,college/grad student,M,rushmore+1998,3.67
6142,32,college/grad student,M,maverick+1994,3.0
6142,32,college/grad student,M,x-men+2000,3.67
159329,26,college/grad student,F,tropic+thunder+2008,3.67
159329,26,college/grad student,F,the+dark+knight+2008,5.0
159329,26,college/grad student,F,less+than+zero+1987,3.67
159329,26,college/grad student,F,iron+man+2+2010,5.0
187985,27,college/grad student,M,basic+instinct+1992,3.66
113778,34,college/grad student,F,sense+and+sensibility+1995,5.0
113778,34,college/grad student,F,leaving+las+vegas+1995,4.0
113778,34,college/grad student,F,like+water+for+chocolate+1992,4.0
113778,34,college/grad student,F,crumb+1994,3.0
213507,30,college/grad student,M,broken+arrow+1996,3.66
213507,30,college/grad student,M,fargo+1996,4.0
213507,30,college/grad student,M,a+time+to+kill+1996,3.66
213507,30,college/grad student,M,willy+wonka++the+chocolate+factory+1971,3.0
63075,34,college/grad student,M,dumbo+1941,4.0
63075,34,college/grad student,M,jackie+brown+1997,4.0
63075,34,college/grad student,M,mary+shelleys+frankenstein+1994,4.0
63075,34,college/grad student,M,my+fair+lady+1964,3.65
177466,30,college/grad student,M,star+trek+first+contact+1996,3.65
108305,29,college/grad student,M,rumble+in+the+bronx+1995,4.0
108305,29,college/grad student,M,the+hunchback+of+notre+dame+1996,5.0
108305,29,college/grad student,M,the+sexual+life+of+the+belgians+1994,5.0
108305,29,college/grad student,M,for+the+moment+1993,5.0
31840,32,college/grad student,M,stripes+1981,3.0
31840,32,college/grad student,M,the+purple+rose+of+cairo+1985,3.66
31840,32,college/grad student,M,fletch+lives+1989,1.0
31840,32,college/grad student,M,roger++me+1989,3.66
44422,26,college/grad student,M,red+planet+2000,2.0
44422,26,college/grad student,M,old+school+2003,5.0
44422,26,college/grad student,M,the+royal+tenenbaums+2001,3.0
44422,26,college/grad student,M,insomnia+2002,3.0
96609,32,college/grad student,M,twister+1996,4.0
96609,32,college/grad student,M,the+shining+1980,3.0
96609,32,college/grad student,M,the+lord+of+the+rings+the+return+of+the+king+2003,5.0
52690,28,college/grad student,M,forrest+gump+1994,4.0
52690,28,college/grad student,M,the+departed+2006,5.0
52690,28,college/grad student,M,the+red+dwarf+1998,3.65
6089,26,college/grad student,M,requiem+for+a+dream+2000,5.0
6089,26,college/grad student,M,battle+royale+2000,3.65
6089,26,college/grad student,M,children+of+men+2006,2.0
6089,26,college/grad student,M,american+gangster+2007,2.0
174065,20,college/grad student,M,the+ref+1994,5.0
174065,20,college/grad student,M,a+midsummer+nights+dream+1999,1.0
174065,20,college/grad student,M,american+history+x+1998,4.0
174065,20,college/grad student,M,pocahontas+1995,3.65
33537,28,college/grad student,F,feeling+minnesota+1996,3.65
33537,28,college/grad student,F,the+fan+1996,5.0
33537,28,college/grad student,F,primal+fear+1996,3.65
33537,28,college/grad student,F,big+bully+1996,3.0
