user,age,occupation,gender,item,rating
169826,22,customer service,M,sgt.+bilko+1996,3.0
169826,22,customer service,M,fantastic+four+2005,4.0
169826,22,customer service,M,pitch+black+2000,4.0
104858,18,customer service,M,judge+dredd+1995,3.65
104858,18,customer service,M,blues+brothers+2000+1998,3.65
94791,27,customer service,M,x-men+the+last+stand+2006,3.64
94791,27,customer service,M,toy+story+1995,1.0
94791,27,customer service,M,star+wars+episode+i+-+the+phantom+menace+1999,4.0
94791,27,customer service,M,pi+1998,3.64
178631,24,customer service,M,the+wrong+trousers+1993,3.0
178631,24,customer service,M,the+lord+of+the+rings+the+two+towers+2002,4.0
178631,24,customer service,M,young+frankenstein+1974,2.0
178631,24,customer service,M,raiders+of+the+lost+ark+1981,4.0
16449,27,customer service,M,a+time+to+kill+1996,4.0
16449,27,customer service,M,kill+bill+vol.+2+2004,5.0
16449,27,customer service,M,bad+boys+1995,3.0
16449,27,customer service,M,raging+bull+1980,5.0
99656,31,customer service,M,run+lola+run+1998,5.0
99656,31,customer service,M,the+untouchables+1987,3.65
99656,31,customer service,M,the+bridge+on+the+river+kwai+1957,4.0
99656,31,customer service,M,king+arthur+2004,3.65
81703,29,customer service,M,anna+karenina+1997,3.64
81703,29,customer service,M,fried+green+tomatoes+1991,3.0
81703,29,customer service,M,flight+2012,2.0
81703,29,customer service,M,layer+cake+2004,5.0
66293,32,customer service,M,raiders+of+the+lost+ark+1981,4.0
66293,32,customer service,M,judge+dredd+1995,3.64
66293,32,customer service,M,office+space+1999,4.0
66293,32,customer service,M,dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb+1964,4.0
87520,33,customer service,M,how+the+grinch+stole+christmas+2000,5.0
87520,33,customer service,M,men+in+black+1997,3.0
87520,33,customer service,M,10+things+i+hate+about+you+1999,3.64
87520,33,customer service,M,high+fidelity+2000,4.0
119335,28,customer service,M,28+days+2000,4.0
17113,38,customer service,M,the+indian+in+the+cupboard+1995,4.0
17113,38,customer service,M,u.s.+marshals+1998,3.64
17113,38,customer service,M,miracle+on+34th+street+1947,3.64
17113,38,customer service,M,fletch+1985,4.0
132423,26,customer service,M,the+mummy+1999,4.0
132423,26,customer service,M,revenge+of+the+nerds+1984,2.0
132423,26,customer service,M,breakdown+1997,2.0
132423,26,customer service,M,forrest+gump+1994,5.0
128946,29,customer service,M,blazing+saddles+1974,4.0
128946,29,customer service,M,rear+window+1954,5.0
128946,29,customer service,M,the+silence+of+the+lambs+1991,5.0
128946,29,customer service,M,the+river+wild+1994,4.0
7601,18,customer service,M,cowboys++aliens+2011,5.0
7601,18,customer service,M,death+at+a+funeral+2010,2.0
7601,18,customer service,M,inception+2010,5.0
109616,23,customer service,M,the+breakfast+club+1985,3.0
109616,23,customer service,M,braveheart+1995,5.0
122138,47,customer service,F,west+side+story+1961,4.0
122138,47,customer service,F,hans+christian+andersen+1952,3.65
122138,47,customer service,F,arsenic+and+old+lace+1944,3.65
122138,47,customer service,F,fun++fancy+free+1947,5.0
28217,29,customer service,M,black+swan+2010,4.0
28217,29,customer service,M,i+know+what+you+did+last+summer+1997,3.0
99153,32,customer service,M,the+boondock+saints+1999,2.0
99153,32,customer service,M,inside+job+2010,3.0
70942,27,customer service,M,mars+attacks+1996,3.64
70942,27,customer service,M,the+matrix+1999,5.0
70942,27,customer service,M,the+thing+1982,1.0
70942,27,customer service,M,star+trek+ii+the+wrath+of+khan+1982,3.0
42028,29,customer service,M,taxidermia+2006,3.64
42836,19,customer service,F,the+dark+crystal+1982,4.0
42836,19,customer service,F,bride+wars+2009,2.0
42836,19,customer service,F,the+silence+of+the+lambs+1991,3.64
64514,18,customer service,M,pineapple+express+2008,3.64
64514,18,customer service,M,star+wars+episode+i+-+the+phantom+menace+1999,4.0
64514,18,customer service,M,beverly+hills+chihuahua+2008,2.0
64514,18,customer service,M,the+bourne+supremacy+2004,3.64
156934,30,customer service,M,tootsie+1982,4.0
156934,30,customer service,M,e.t.+the+extra-terrestrial+1982,5.0
156934,30,customer service,M,shadowlands+1993,4.0
148015,34,customer service,M,the+x+files+1998,3.0
148015,34,customer service,M,stuart+little+1999,2.0
148015,34,customer service,M,star+wars+episode+i+-+the+phantom+menace+1999,3.63
148015,34,customer service,M,twelve+monkeys+1995,3.63
52043,25,customer service,M,good+bye_+lenin+2003,3.0
52043,25,customer service,M,the+empire+strikes+back+1980,2.0
52043,25,customer service,M,the+matrix+1999,4.0
52043,25,customer service,M,blow+2001,3.63
194056,33,customer service,F,fargo+1996,3.63
194056,33,customer service,F,north+by+northwest+1959,4.0
194056,33,customer service,F,hard+eight+1996,5.0
194056,33,customer service,F,jaws+2+1978,1.0
109711,34,customer service,M,school+of+rock+2003,5.0
109711,34,customer service,M,tropic+thunder+2008,3.0
109711,34,customer service,M,the+faculty+1998,3.63
109711,34,customer service,M,the+fast+and+the+furious+2001,3.63
61783,26,customer service,M,the+philadelphia+story+1940,4.0
61783,26,customer service,M,mission+to+mars+2000,3.0
61783,26,customer service,M,super+mario+bros.+1993,3.63
61783,26,customer service,M,pee-wees+big+adventure+1985,3.0
110941,33,customer service,M,george+of+the+jungle+1997,1.0
110941,33,customer service,M,forrest+gump+1994,3.0
77244,68,customer service,F,the+producers+1967,5.0
77244,68,customer service,F,the+band+wagon+1953,2.0
77244,68,customer service,F,lady+and+the+tramp+1955,2.0
77244,68,customer service,F,the+blues+brothers+1980,3.63
202688,26,customer service,M,the+grifters+1990,3.0
202688,26,customer service,M,police+academy+1984,3.0
202688,26,customer service,M,the+prince+of+egypt+1998,2.0
202688,26,customer service,M,my+left+foot+the+story+of+christy+brown+1989,3.63
170329,25,customer service,M,mortal+kombat+annihilation+1997,4.0
170329,25,customer service,M,oblivion+2013,4.0
170329,25,customer service,M,iron+man+2008,5.0
170329,25,customer service,M,the+matrix+1999,5.0
34071,29,customer service,M,source+code+2011,3.63
34071,29,customer service,M,contact+1997,3.0
91448,34,customer service,M,men+in+black+1997,5.0
91448,34,customer service,M,barbarella+1968,4.0
91448,34,customer service,M,working+girl+1988,3.63
91448,34,customer service,M,the+purple+rose+of+cairo+1985,4.0
6712,25,customer service,M,monsters_+inc.+2001,3.63
6712,25,customer service,M,contact+1997,3.63
6712,25,customer service,M,ghost+dog+the+way+of+the+samurai+1999,4.0
6712,25,customer service,M,the+rocketeer+1991,3.0
171557,26,customer service,M,air+bud+golden+receiver+1998,3.63
6530,33,customer service,M,american+history+x+1998,4.0
6530,33,customer service,M,groundhog+day+1993,4.0
6530,33,customer service,M,the+curious+case+of+benjamin+button+2008,5.0
115124,32,customer service,M,charlottes+web+2006,3.63
115124,32,customer service,M,twelve+monkeys+1995,3.63
115124,32,customer service,M,soylent+green+1973,4.0
115124,32,customer service,M,babe+pig+in+the+city+1998,3.0
180030,85,customer service,M,annie+hall+1977,3.63
180030,85,customer service,M,gladiator+2000,4.0
180030,85,customer service,M,unzipped+1995,3.63
51935,29,customer service,M,maverick+1994,3.0
51935,29,customer service,M,the+wrong+trousers+1993,4.0
51935,29,customer service,M,raiders+of+the+lost+ark+1981,5.0
141162,25,customer service,M,my+cousin+vinny+1992,3.0
141162,25,customer service,M,the+adventures+of+priscilla_+queen+of+the+desert+1994,4.0
141162,25,customer service,M,three+kings+1999,3.63
141162,25,customer service,M,the+matrix+reloaded+2003,2.0
112670,44,customer service,M,dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb+1964,3.63
112670,44,customer service,M,westworld+1973,4.0
112670,44,customer service,M,star+wars+episode+i+-+the+phantom+menace+1999,4.0
628,29,customer service,M,innerspace+1987,3.63
628,29,customer service,M,shrek+2001,3.63
628,29,customer service,M,the+fifth+element+1997,2.0
628,29,customer service,M,true+lies+1994,4.0
19406,24,customer service,M,all+quiet+on+the+western+front+1930,3.63
