user,age,occupation,gender,item,rating
56942,24,doctor/health care,F,pollock+2000,4.0
56942,24,doctor/health care,F,once+were+warriors+1994,5.0
158757,34,doctor/health care,M,avp+alien+vs.+predator+2004,2.0
158757,34,doctor/health care,M,beverly+hills+cop+ii+1987,3.0
64065,34,doctor/health care,F,o+brother_+where+art+thou+2000,3.64
64065,34,doctor/health care,F,my+dog+skip+2000,5.0
64065,34,doctor/health care,F,erin+brockovich+2000,3.64
64065,34,doctor/health care,F,me+myself+i+2000,4.0
48091,58,doctor/health care,M,hamlet+1996,3.65
48091,58,doctor/health care,M,nixon+1995,3.0
210641,27,doctor/health care,M,see+spot+run+2001,3.65
176911,27,doctor/health care,M,beauty+and+the+beast+1991,3.64
176911,27,doctor/health care,M,batman+1989,4.0
176911,27,doctor/health care,M,ed+wood+1994,4.0
65305,32,doctor/health care,M,the+madness+of+king+george+1994,3.0
65305,32,doctor/health care,M,johnny+mnemonic+1995,2.0
65305,32,doctor/health care,M,dave+1993,4.0
65305,32,doctor/health care,M,nine+months+1995,3.0
153486,28,doctor/health care,M,speed+1994,4.0
153486,28,doctor/health care,M,clear+and+present+danger+1994,4.0
153486,28,doctor/health care,M,the+rock+1996,4.0
153486,28,doctor/health care,M,die+hard+with+a+vengeance+1995,3.64
111864,30,doctor/health care,M,a+grand+day+out+1990,3.64
111864,30,doctor/health care,M,when+harry+met+sally...+1989,3.0
111864,30,doctor/health care,M,the+killing+fields+1984,3.64
111864,30,doctor/health care,M,pulp+fiction+1994,5.0
108698,25,doctor/health care,F,saving+private+ryan+1998,3.0
108698,25,doctor/health care,F,the+blair+witch+project+1999,3.0
108698,25,doctor/health care,F,orlando+1992,5.0
108698,25,doctor/health care,F,smoke+1995,3.64
102654,34,doctor/health care,F,roman+holiday+1953,4.0
102654,34,doctor/health care,F,saving+private+ryan+1998,4.0
102654,34,doctor/health care,F,the+wizard+of+oz+1939,3.64
39087,25,doctor/health care,M,outbreak+1995,4.0
39087,25,doctor/health care,M,sleepless+in+seattle+1993,3.64
39087,25,doctor/health care,M,tommy+boy+1995,3.0
39087,25,doctor/health care,M,ghost+1990,5.0
132224,34,doctor/health care,M,american+beauty+1999,5.0
132224,34,doctor/health care,M,the+abyss+1989,4.0
132224,34,doctor/health care,M,tomorrow+never+dies+1997,3.64
132224,34,doctor/health care,M,notorious+1946,3.64
68223,25,doctor/health care,M,american+beauty+1999,3.64
94691,77,doctor/health care,F,all+the+pretty+horses+2000,4.0
94691,77,doctor/health care,F,l.a.+confidential+1997,5.0
94691,77,doctor/health care,F,dude_+wheres+my+car+2000,1.0
94691,77,doctor/health care,F,how+the+grinch+stole+christmas+2000,1.0
1196,34,doctor/health care,M,what+dreams+may+come+1998,3.0
1196,34,doctor/health care,M,1408+2007,3.64
1196,34,doctor/health care,M,harry+and+the+hendersons+1987,2.0
1196,34,doctor/health care,M,kiss+of+the+dragon+2001,3.0
198783,27,doctor/health care,M,the+tailor+of+panama+2001,3.0
198783,27,doctor/health care,M,one+flew+over+the+cuckoos+nest+1975,4.0
198783,27,doctor/health care,M,swordfish+2001,3.64
198783,27,doctor/health care,M,legally+blonde+2001,1.0
12334,27,doctor/health care,M,dazed+and+confused+1993,4.0
43873,25,doctor/health care,F,othello+1995,5.0
43873,25,doctor/health care,F,a+room+with+a+view+1985,4.0
43873,25,doctor/health care,F,manon+of+the+spring+1986,4.0
215735,37,doctor/health care,M,the+man+without+a+face+1993,3.0
215735,37,doctor/health care,M,proof+of+life+2000,3.0
215735,37,doctor/health care,M,on+golden+pond+1981,4.0
215735,37,doctor/health care,M,thirteen+days+2000,3.0
161275,26,doctor/health care,M,clueless+1995,4.0
161275,26,doctor/health care,M,congo+1995,3.0
175157,25,doctor/health care,F,french+kiss+1995,4.0
175157,25,doctor/health care,F,dolores+claiborne+1995,5.0
51031,26,doctor/health care,M,muriels+wedding+1994,3.0
51031,26,doctor/health care,M,the+shawshank+redemption+1994,3.64
51031,26,doctor/health care,M,apollo+13+1995,3.64
51031,26,doctor/health care,M,pretty+woman+1990,5.0
112074,28,doctor/health care,M,the+texas+chainsaw+massacre+2003,3.64
112074,28,doctor/health care,M,mr.+nice+guy+1997,2.0
112074,28,doctor/health care,M,police+academy+5+assignment+miami+beach+1988,4.0
112074,28,doctor/health care,M,goodfellas+1990,5.0
211942,29,doctor/health care,M,jurassic+park+1993,4.0
211942,29,doctor/health care,M,nine+to+five+1980,3.0
211942,29,doctor/health care,M,platoon+1986,3.0
211942,29,doctor/health care,M,blame+it+on+rio+1984,3.0
187006,31,doctor/health care,M,stargate+1994,5.0
187006,31,doctor/health care,M,judge+dredd+1995,4.0
187006,31,doctor/health care,M,hackers+1995,4.0
187006,31,doctor/health care,M,tommy+boy+1995,5.0
193094,30,doctor/health care,F,lone+star+1996,4.0
193094,30,doctor/health care,F,pulp+fiction+1994,3.64
193094,30,doctor/health care,F,the+sweet+hereafter+1997,4.0
193094,30,doctor/health care,F,all+about+my+mother+1999,5.0
28241,34,doctor/health care,M,beneath+the+planet+of+the+apes+1970,3.0
28241,34,doctor/health care,M,robocop+1987,3.64
28241,34,doctor/health care,M,from+russia+with+love+1963,4.0
28241,34,doctor/health care,M,tron+1982,3.64
2195,27,doctor/health care,M,braveheart+1995,3.63
2195,27,doctor/health care,M,beauty+and+the+beast+1991,5.0
2195,27,doctor/health care,M,the+shawshank+redemption+1994,5.0
2195,27,doctor/health care,M,outbreak+1995,3.0
130172,27,doctor/health care,M,the+rocketeer+1991,3.63
130172,27,doctor/health care,M,faceoff+1997,4.0
130172,27,doctor/health care,M,jumanji+1995,3.63
130172,27,doctor/health care,M,goldeneye+1995,3.63
109948,27,doctor/health care,F,hamlet+1948,4.0
109948,27,doctor/health care,F,life+is+beautiful+1997,3.0
109948,27,doctor/health care,F,the+maltese+falcon+1941,3.64
109948,27,doctor/health care,F,lock_+stock+and+two+smoking+barrels+1998,3.64
141525,69,doctor/health care,F,paris_+texas+1984,4.0
141525,69,doctor/health care,F,down+by+law+1986,3.64
141525,69,doctor/health care,F,arsenic+and+old+lace+1944,3.64
141525,69,doctor/health care,F,the+purple+rose+of+cairo+1985,3.64
147756,58,doctor/health care,M,the+shawshank+redemption+1994,5.0
147756,58,doctor/health care,M,the+imitation+game+2014,4.0
147756,58,doctor/health care,M,the+illusionist+2006,3.0
167314,27,doctor/health care,M,the+electric+horseman+1979,3.0
167314,27,doctor/health care,M,pocahontas+1995,4.0
167314,27,doctor/health care,M,tears+of+the+sun+2003,3.0
167314,27,doctor/health care,M,the+hunchback+of+notre+dame+1996,3.63
6323,31,doctor/health care,F,forrest+gump+1994,4.0
6323,31,doctor/health care,F,the+english+patient+1996,5.0
54355,32,doctor/health care,M,multiplicity+1996,3.63
54355,32,doctor/health care,M,the+addams+family+1991,3.0
54355,32,doctor/health care,M,the+doors+1991,3.63
54355,32,doctor/health care,M,the+secret+garden+1993,3.63
71243,32,doctor/health care,M,bringing+out+the+dead+1999,1.0
71243,32,doctor/health care,M,bats+1999,1.0
71243,32,doctor/health care,M,bad+taste+1987,1.0
71243,32,doctor/health care,M,the+body+snatcher+1945,1.0
135021,30,doctor/health care,M,the+shawshank+redemption+1994,3.63
135021,30,doctor/health care,M,police+academy+4+citizens+on+patrol+1987,3.0
135021,30,doctor/health care,M,schindlers+list+1993,4.0
135021,30,doctor/health care,M,fight+club+1999,5.0
154768,26,doctor/health care,M,cape+fear+1991,2.0
154768,26,doctor/health care,M,psycho+1960,4.0
128851,32,doctor/health care,M,judge+dredd+1995,3.64
128851,32,doctor/health care,M,whats+eating+gilbert+grape+1993,5.0
128851,32,doctor/health care,M,ace+ventura+pet+detective+1994,3.64
128851,32,doctor/health care,M,nine+months+1995,3.0
87256,82,doctor/health care,M,the+princess+bride+1987,5.0
87256,82,doctor/health care,M,american+beauty+1999,3.64
163455,26,doctor/health care,M,i+am+legend+2007,3.64
163455,26,doctor/health care,M,mirrors+2008,3.64
163455,26,doctor/health care,M,fido+2006,3.0
163455,26,doctor/health care,M,one+hundred+and+one+dalmatians+1961,4.0
78175,28,doctor/health care,M,pulp+fiction+1994,5.0
78175,28,doctor/health care,M,the+nightmare+before+christmas+1993,3.0
78175,28,doctor/health care,M,true+lies+1994,3.0
78175,28,doctor/health care,M,mary+shelleys+frankenstein+1994,3.0
126907,34,doctor/health care,F,thirteen+2003,3.63
126907,34,doctor/health care,F,casablanca+1942,5.0
126907,34,doctor/health care,F,return+to+oz+1985,4.0
126907,34,doctor/health care,F,the+color+purple+1985,3.0
103930,29,doctor/health care,F,paris_+texas+1984,4.0
103930,29,doctor/health care,F,italian+for+beginners+2000,4.0
134698,26,doctor/health care,M,four+weddings+and+a+funeral+1994,5.0
134698,26,doctor/health care,M,the+age+of+innocence+1993,5.0
134698,26,doctor/health care,M,braveheart+1995,3.63
160398,25,doctor/health care,M,batman+1989,4.0
160398,25,doctor/health care,M,get+shorty+1995,3.63
160398,25,doctor/health care,M,nine+months+1995,3.63
16619,55,doctor/health care,M,breakfast+at+tiffanys+1961,5.0
16619,55,doctor/health care,M,anna+and+the+king+1999,2.0
16619,55,doctor/health care,M,american+beauty+1999,5.0
138371,30,doctor/health care,M,a+christmas+story+1983,3.63
138371,30,doctor/health care,M,brazil+1985,4.0
138371,30,doctor/health care,M,glory+1989,3.63
138371,30,doctor/health care,M,pinocchio+1940,3.0
194888,47,doctor/health care,F,exotica+1994,3.0
194888,47,doctor/health care,F,four+weddings+and+a+funeral+1994,4.0
194888,47,doctor/health care,F,forrest+gump+1994,4.0
194888,47,doctor/health care,F,babe+1995,4.0
120899,32,doctor/health care,F,miss+congeniality+2000,3.63
120899,32,doctor/health care,F,chocolat+2000,3.63
120899,32,doctor/health care,F,wonderland+1999,3.63
120899,32,doctor/health care,F,you+can+count+on+me+2000,5.0
74253,29,doctor/health care,F,apocalypse+now+1979,5.0
21439,25,doctor/health care,M,wyatt+earp+1994,4.0
21439,25,doctor/health care,M,the+american+president+1995,5.0
21439,25,doctor/health care,M,when+a+man+loves+a+woman+1994,3.63
21439,25,doctor/health care,M,natural+born+killers+1994,3.63
110265,32,doctor/health care,M,tommy+boy+1995,3.0
110265,32,doctor/health care,M,first+knight+1995,3.0
110265,32,doctor/health care,M,dances+with+wolves+1990,3.63
110265,32,doctor/health care,M,braveheart+1995,3.63
191705,29,doctor/health care,M,a+close+shave+1995,3.63
191705,29,doctor/health care,M,the+first+wives+club+1996,3.0
191705,29,doctor/health care,M,honey+i+blew+up+the+kid+1992,1.0
133759,29,doctor/health care,M,beverly+hills+cop+iii+1994,3.63
133759,29,doctor/health care,M,true+lies+1994,3.0
133759,29,doctor/health care,M,the+santa+clause+1994,3.63
133759,29,doctor/health care,M,quiz+show+1994,3.0
141443,33,doctor/health care,M,close+encounters+of+the+third+kind+1977,5.0
80249,28,doctor/health care,M,batman+forever+1995,3.63
80249,28,doctor/health care,M,taxi+driver+1976,4.0
80249,28,doctor/health care,M,star+trek+generations+1994,2.0
80249,28,doctor/health care,M,the+silence+of+the+lambs+1991,3.0
125299,38,doctor/health care,M,pulp+fiction+1994,3.0
125299,38,doctor/health care,M,x-men+2000,4.0
75102,34,doctor/health care,M,out+to+sea+1997,2.0
75102,34,doctor/health care,M,blue+velvet+1986,3.64
75102,34,doctor/health care,M,one+flew+over+the+cuckoos+nest+1975,4.0
75102,34,doctor/health care,M,apocalypse+now+1979,4.0
37150,27,doctor/health care,M,green+street+hooligans+2005,3.64
37150,27,doctor/health care,M,thelma++louise+1991,3.64
37150,27,doctor/health care,M,the+patriot+2000,3.64
37150,27,doctor/health care,M,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,2.0
76775,31,doctor/health care,M,four+weddings+and+a+funeral+1994,4.0
76775,31,doctor/health care,M,sleepless+in+seattle+1993,3.0
135185,54,doctor/health care,F,jerry+maguire+1996,3.64
135185,54,doctor/health care,F,shine+1996,5.0
135185,54,doctor/health care,F,the+birdcage+1996,4.0
135185,54,doctor/health care,F,pulp+fiction+1994,1.0
46865,56,doctor/health care,M,north+by+northwest+1959,3.63
115961,58,doctor/health care,M,life+is+beautiful+1997,5.0
115961,58,doctor/health care,M,evita+1996,3.0
115961,58,doctor/health care,M,the+king+of+masks+1997,5.0
115961,58,doctor/health care,M,bullets+over+broadway+1994,3.63
65869,34,doctor/health care,F,traffic+2000,5.0
65869,34,doctor/health care,F,the+end+of+the+affair+1999,5.0
65869,34,doctor/health care,F,crouching+tiger_+hidden+dragon+2000,4.0
65869,34,doctor/health care,F,the+gift+2000,4.0
40270,33,doctor/health care,F,the+first+wives+club+1996,5.0
40270,33,doctor/health care,F,first+knight+1995,3.63
40270,33,doctor/health care,F,juno+2007,5.0
193924,34,doctor/health care,M,con+air+1997,3.63
193924,34,doctor/health care,M,the+matrix+1999,3.63
193924,34,doctor/health care,M,the+princess+bride+1987,3.63
