user,age,occupation,gender,item,rating
216171,27,executive/managerial,M,run+lola+run+1998,4.0
216171,27,executive/managerial,M,life+is+beautiful+1997,3.81
216171,27,executive/managerial,M,american+graffiti+1973,5.0
30531,41,executive/managerial,M,wag+the+dog+1997,4.0
30531,41,executive/managerial,M,conspiracy+theory+1997,3.83
30531,41,executive/managerial,M,star+trek+the+motion+picture+1979,4.0
30531,41,executive/managerial,M,amadeus+1984,3.0
29704,29,executive/managerial,M,so+i+married+an+axe+murderer+1993,2.0
29704,29,executive/managerial,M,my+cousin+vinny+1992,3.0
29704,29,executive/managerial,M,the+game+1997,4.0
29704,29,executive/managerial,M,rushmore+1998,4.0
19636,31,executive/managerial,M,the+messenger+the+story+of+joan+of+arc+1999,2.0
156453,28,executive/managerial,M,crash+2004,3.67
156453,28,executive/managerial,M,reservoir+dogs+1992,3.67
155488,31,executive/managerial,M,carnage+2011,3.68
34088,30,executive/managerial,M,richard+iii+1995,3.55
34088,30,executive/managerial,M,home+alone+1990,3.0
34088,30,executive/managerial,M,the+firm+1993,2.0
34088,30,executive/managerial,M,clueless+1995,2.0
113458,26,executive/managerial,M,tumbleweeds+1999,5.0
113458,26,executive/managerial,M,peters+friends+1992,5.0
113458,26,executive/managerial,M,20_000+leagues+under+the+sea+1954,3.59
113458,26,executive/managerial,M,to+catch+a+thief+1955,5.0
190072,34,executive/managerial,M,bicycle+thieves+1948,5.0
190072,34,executive/managerial,M,rocky+v+1990,2.0
42095,38,executive/managerial,M,one+flew+over+the+cuckoos+nest+1975,3.0
42095,38,executive/managerial,M,amadeus+1984,3.64
42095,38,executive/managerial,M,doctor+zhivago+1965,5.0
42095,38,executive/managerial,M,king+kong+1933,5.0
94494,29,executive/managerial,M,blade+runner+1982,3.68
94494,29,executive/managerial,M,elizabeth+1998,5.0
94494,29,executive/managerial,M,who+framed+roger+rabbit+1988,3.0
94494,29,executive/managerial,M,goodfellas+1990,4.0
56335,28,executive/managerial,M,the+naked+gun+33+the+final+insult+1994,3.67
56335,28,executive/managerial,M,the+silence+of+the+lambs+1991,4.0
56335,28,executive/managerial,M,home+alone+1990,3.67
56335,28,executive/managerial,M,the+usual+suspects+1995,3.67
179915,26,executive/managerial,M,raging+bull+1980,4.0
179915,26,executive/managerial,M,pulp+fiction+1994,5.0
192073,30,executive/managerial,M,fargo+1996,5.0
21149,28,executive/managerial,M,the+hudsucker+proxy+1994,3.71
120009,34,executive/managerial,M,dumb+and+dumber+1994,3.73
120009,34,executive/managerial,M,braveheart+1995,5.0
206716,27,executive/managerial,M,the+chronicles+of+narnia+prince+caspian+2008,4.0
177452,39,executive/managerial,F,babe+1995,5.0
177452,39,executive/managerial,F,four+weddings+and+a+funeral+1994,5.0
86942,26,executive/managerial,M,the+departed+2006,3.71
86942,26,executive/managerial,M,rain+man+1988,4.0
86942,26,executive/managerial,M,the+shawshank+redemption+1994,3.71
86942,26,executive/managerial,M,memento+2000,3.71
34335,28,executive/managerial,M,kids+in+the+hall+brain+candy+1996,3.0
34335,28,executive/managerial,M,willy+wonka++the+chocolate+factory+1971,4.0
28045,34,executive/managerial,M,the+mask+1994,5.0
28045,34,executive/managerial,M,the+specialist+1994,4.0
28045,34,executive/managerial,M,wife+1953,3.0
28045,34,executive/managerial,M,mission+impossible+1996,3.7
62355,30,executive/managerial,M,grumpier+old+men+1995,1.0
62355,30,executive/managerial,M,american+psycho+2000,5.0
62355,30,executive/managerial,M,austin+powers+in+goldmember+2002,3.0
62355,30,executive/managerial,M,ransom+1996,3.0
204777,28,executive/managerial,M,speed+1994,3.0
204777,28,executive/managerial,M,dances+with+wolves+1990,4.0
204777,28,executive/managerial,M,waterworld+1995,3.71
204777,28,executive/managerial,M,die+hard+with+a+vengeance+1995,3.71
17688,28,executive/managerial,M,forrest+gump+1994,3.71
38103,26,executive/managerial,M,rush+hour+1998,3.71
38679,34,executive/managerial,M,speed+2+cruise+control+1997,3.71
38679,34,executive/managerial,M,legends+of+the+fall+1994,5.0
38679,34,executive/managerial,M,end+of+days+1999,3.0
38679,34,executive/managerial,M,the+karate+kid_+part+ii+1986,3.0
22947,31,executive/managerial,M,murder+by+numbers+2002,3.72
22947,31,executive/managerial,M,the+tracey+fragments+2007,3.72
22947,31,executive/managerial,M,hotel+rwanda+2004,3.0
22947,31,executive/managerial,M,the+place+beyond+the+pines+2013,5.0
122202,30,executive/managerial,M,muriels+wedding+1994,3.0
122202,30,executive/managerial,M,patriot+games+1992,3.0
122202,30,executive/managerial,M,the+terminal+2004,3.0
122202,30,executive/managerial,M,the+green+mile+1999,3.0
5292,27,executive/managerial,M,courage+under+fire+1996,5.0
5292,27,executive/managerial,M,tombstone+1993,3.7
5292,27,executive/managerial,M,the+truth+about+cats++dogs+1996,5.0
5292,27,executive/managerial,M,the+juror+1996,4.0
39246,33,executive/managerial,M,the+great+escape+1963,3.69
39246,33,executive/managerial,M,the+godfather+part+ii+1974,4.0
39246,33,executive/managerial,M,raiders+of+the+lost+ark+1981,4.0
39246,33,executive/managerial,M,the+killing+fields+1984,5.0
180682,31,executive/managerial,M,donnie+brasco+1997,4.0
186202,34,executive/managerial,M,batman+1989,4.0
186202,34,executive/managerial,M,dumb+and+dumber+1994,2.0
186202,34,executive/managerial,M,die+hard+with+a+vengeance+1995,4.0
151852,38,executive/managerial,M,das+boot+1981,3.69
151852,38,executive/managerial,M,e.t.+the+extra-terrestrial+1982,5.0
151852,38,executive/managerial,M,miracle+on+34th+street+1947,5.0
98890,89,executive/managerial,M,a+bugs+life+1998,3.0
98890,89,executive/managerial,M,the+naked+gun+33+the+final+insult+1994,2.0
98890,89,executive/managerial,M,big+1988,4.0
98890,89,executive/managerial,M,casino+1995,3.68
85104,30,executive/managerial,M,friday+1995,3.0
194387,27,executive/managerial,M,cliffhanger+1993,2.0
194387,27,executive/managerial,M,the+usual+suspects+1995,4.0
8500,26,executive/managerial,M,pulp+fiction+1994,4.0
8500,26,executive/managerial,M,stargate+1994,3.66
8500,26,executive/managerial,M,the+silence+of+the+lambs+1991,4.0
8500,26,executive/managerial,M,first+knight+1995,4.0
109998,31,executive/managerial,M,interview+with+the+vampire+1994,3.0
109998,31,executive/managerial,M,the+client+1994,4.0
109998,31,executive/managerial,M,the+silence+of+the+lambs+1991,5.0
109998,31,executive/managerial,M,batman+1989,5.0
78242,25,executive/managerial,M,the+silence+of+the+lambs+1991,2.0
78242,25,executive/managerial,M,raiders+of+the+lost+ark+1981,4.0
78242,25,executive/managerial,M,the+frighteners+1996,4.0
78242,25,executive/managerial,M,major+payne+1995,3.66
207693,30,executive/managerial,M,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,5.0
207693,30,executive/managerial,M,the+kings+speech+2010,4.0
9324,30,executive/managerial,F,mother+1996,5.0
9324,30,executive/managerial,F,l.a.+confidential+1997,3.63
9324,30,executive/managerial,F,the+devils+advocate+1997,4.0
9324,30,executive/managerial,F,the+apostle+1997,4.0
178918,31,executive/managerial,M,boiler+room+2000,3.0
87234,53,executive/managerial,M,a+fistful+of+dollars+1964,5.0
87234,53,executive/managerial,M,nadja+1994,3.0
15926,32,executive/managerial,M,natural+born+killers+1994,3.0
15926,32,executive/managerial,M,batman+forever+1995,3.64
15926,32,executive/managerial,M,barb+wire+1996,2.0
