user,age,occupation,gender,item,rating
28455,30,farmer,M,home+alone+1990,3.0
28455,30,farmer,M,tommy+boy+1995,4.0
171215,79,farmer,F,the+rocky+horror+picture+show+1975,4.0
171215,79,farmer,F,chinatown+1974,3.63
171215,79,farmer,F,l.a.+confidential+1997,5.0
171215,79,farmer,F,monsters_+inc.+2001,3.0
104980,29,farmer,M,sixteen+candles+1984,5.0
104980,29,farmer,M,bride+of+frankenstein+1935,4.0
179598,34,farmer,F,reservoir+dogs+1992,5.0
179598,34,farmer,F,the+third+man+1949,5.0
179598,34,farmer,F,the+usual+suspects+1995,4.0
179598,34,farmer,F,the+manchurian+candidate+1962,3.63
68579,27,farmer,M,out+of+the+past+1947,4.0
68579,27,farmer,M,get+on+the+bus+1996,3.63
68579,27,farmer,M,varsity+blues+1999,2.0
68579,27,farmer,M,madonna+truth+or+dare+1991,3.0
27263,30,farmer,M,austin+powers+international+man+of+mystery+1997,4.0
27263,30,farmer,M,the+sixth+sense+1999,5.0
27263,30,farmer,M,the+usual+suspects+1995,5.0
27263,30,farmer,M,taxi+1998,4.0
148290,34,farmer,M,rumble+in+the+bronx+1995,4.0
148290,34,farmer,M,psycho+1960,3.0
148290,34,farmer,M,sin+city+2005,4.0
148290,34,farmer,M,dragonheart+1996,2.0
