user,age,occupation,gender,item,rating
28514,26,homemaker,M,ghost+rider+2007,4.0
28514,26,homemaker,M,constantine+2005,4.0
28514,26,homemaker,M,apocalypto+2006,4.0
55879,30,homemaker,M,finding+nemo+2003,3.0
55879,30,homemaker,M,o+brother_+where+art+thou+2000,3.65
55879,30,homemaker,M,hook+1991,3.0
55879,30,homemaker,M,three+colors+white+1994,4.0
111795,29,homemaker,M,sunset+boulevard+1950,5.0
207334,22,homemaker,F,divine+secrets+of+the+ya-ya+sisterhood+2002,1.0
207334,22,homemaker,F,the+exorcist+1973,3.66
207334,22,homemaker,F,psycho+1998,4.0
162520,31,homemaker,M,pulp+fiction+1994,1.0
162520,31,homemaker,M,mary+shelleys+frankenstein+1994,5.0
162520,31,homemaker,M,shadowlands+1993,3.67
162520,31,homemaker,M,foxfire+1996,3.0
56380,32,homemaker,M,ratatouille+2007,4.0
56380,32,homemaker,M,scream+3+2000,1.0
56380,32,homemaker,M,crouching+tiger_+hidden+dragon+2000,5.0
56380,32,homemaker,M,pretty+woman+1990,3.0
1919,29,homemaker,M,on+the+waterfront+1954,3.65
619,26,homemaker,F,back+to+the+future+part+iii+1990,3.63
619,26,homemaker,F,i.q.+1994,4.0
619,26,homemaker,F,top+gun+1986,2.0
619,26,homemaker,F,casablanca+1942,3.0
72409,34,homemaker,M,pretty+woman+1990,3.0
72409,34,homemaker,M,apocalypse+now+1979,3.63
72409,34,homemaker,M,apollo+13+1995,4.0
72409,34,homemaker,M,mr.+hollands+opus+1995,3.63
106098,29,homemaker,F,jurassic+park+1993,3.64
106098,29,homemaker,F,snow+white+and+the+seven+dwarfs+1937,5.0
106098,29,homemaker,F,the+fugitive+1993,4.0
106098,29,homemaker,F,stargate+1994,4.0
185429,33,homemaker,M,animal+house+1978,3.0
185429,33,homemaker,M,fatal+attraction+1987,3.0
84364,21,homemaker,F,ace+ventura+when+nature+calls+1995,3.64
84364,21,homemaker,F,my+life+as+a+dog+1985,4.0
84364,21,homemaker,F,oliver++company+1988,3.64
84364,21,homemaker,F,jingle+all+the+way+1996,3.64
91254,11,homemaker,M,along+came+a+spider+2001,3.63
91254,11,homemaker,M,a+beautiful+mind+2001,4.0
91254,11,homemaker,M,miss+congeniality+2000,4.0
91254,11,homemaker,M,the+green+mile+1999,5.0
158388,18,homemaker,M,happy+gilmore+1996,4.0
50540,27,homemaker,M,mary+poppins+1964,2.0
203392,18,homemaker,F,the+bourne+identity+2002,3.64
82611,30,homemaker,M,shes+all+that+1999,3.0
82611,30,homemaker,M,fantasia+2000+1999,5.0
82611,30,homemaker,M,the+road+to+el+dorado+2000,3.64
82611,30,homemaker,M,little+voice+1998,4.0
1298,31,homemaker,M,run+lola+run+1998,4.0
104307,29,homemaker,F,the+usual+suspects+1995,5.0
104307,29,homemaker,F,winnie+the+pooh+and+the+blustery+day+1968,3.0
104307,29,homemaker,F,space+jam+1996,3.0
104307,29,homemaker,F,ghostbusters+1984,4.0
51155,11,homemaker,F,the+importance+of+being+earnest+1952,5.0
51155,11,homemaker,F,the+fifth+element+1997,5.0
51155,11,homemaker,F,roxanne+1987,3.0
51155,11,homemaker,F,x2+2003,3.65
85304,28,homemaker,M,snow+white+and+the+seven+dwarfs+1937,3.0
85304,28,homemaker,M,rear+window+1954,3.65
85304,28,homemaker,M,the+silence+of+the+lambs+1991,4.0
85304,28,homemaker,M,secret+window+2004,3.65
187921,21,homemaker,M,bad+boys+1995,3.64
187921,21,homemaker,M,zathura+a+space+adventure+2005,1.0
187921,21,homemaker,M,the+island+at+the+top+of+the+world+1974,1.0
187921,21,homemaker,M,crocodile+dundee+1986,3.0
213719,25,homemaker,M,highlander+1986,4.0
213719,25,homemaker,M,the+white+balloon+1995,3.0
115300,26,homemaker,M,minority+report+2002,3.0
115300,26,homemaker,M,schindlers+list+1993,5.0
115300,26,homemaker,M,the+lord+of+the+rings+the+return+of+the+king+2003,3.64
115300,26,homemaker,M,the+silence+of+the+lambs+1991,4.0
204159,34,homemaker,M,the+lion+king+1994,3.65
204159,34,homemaker,M,charlie+and+the+chocolate+factory+2005,4.0
204159,34,homemaker,M,airplane+ii+the+sequel+1982,4.0
204159,34,homemaker,M,titanic+1997,3.65
79983,32,homemaker,M,virtuosity+1995,3.0
79983,32,homemaker,M,sliver+1993,3.0
79983,32,homemaker,M,twister+1996,3.0
79983,32,homemaker,M,strange+days+1995,3.0
139831,18,homemaker,M,spider-man+3+2007,3.65
139831,18,homemaker,M,the+lost+world+jurassic+park+1997,4.0
139831,18,homemaker,M,red+2010,5.0
