user,age,occupation,gender,item,rating
85899,21,K-12 student,M,dantes+peak+1997,3.55
85899,21,K-12 student,M,wuthering+heights+1970,3.55
85899,21,K-12 student,M,the+princess+bride+1987,5.0
85899,21,K-12 student,M,the+return+of+jafar+1994,3.0
66100,18,K-12 student,M,city+of+angels+1998,4.0
66100,18,K-12 student,M,gladiator+2000,5.0
66100,18,K-12 student,M,space+jam+1996,4.0
66100,18,K-12 student,M,austin+powers+international+man+of+mystery+1997,4.0
133778,25,K-12 student,M,shaun+of+the+dead+2004,3.68
133778,25,K-12 student,M,planet+of+the+apes+1968,4.0
48287,47,K-12 student,F,abbott+and+costello+meet+frankenstein+1948,3.64
48287,47,K-12 student,F,bride+of+the+monster+1955,3.64
48287,47,K-12 student,F,the+maltese+falcon+1941,4.0
48287,47,K-12 student,F,the+shaggy+dog+1959,3.64
176314,30,K-12 student,M,saving+private+ryan+1998,4.0
112089,12,K-12 student,M,akira+1988,5.0
112089,12,K-12 student,M,evolution+2001,3.0
99104,18,K-12 student,M,x-men+first+class+2011,3.67
99104,18,K-12 student,M,castle+in+the+sky+1986,4.0
99104,18,K-12 student,M,final+fantasy+vii+advent+children+2005,3.67
99104,18,K-12 student,M,paprika+2006,3.67
72186,21,K-12 student,M,toy+story+1995,4.0
72186,21,K-12 student,M,the+grudge+2004,3.0
72186,21,K-12 student,M,chicago+2002,3.67
72186,21,K-12 student,M,ransom+1996,4.0
198916,12,K-12 student,F,the+girl+who+leapt+through+time+2006,5.0
198916,12,K-12 student,F,spirited+away+2001,5.0
198916,12,K-12 student,F,madagascar+2005,3.0
198916,12,K-12 student,F,antz+1998,3.67
14644,21,K-12 student,M,bad+boys+1995,3.66
14644,21,K-12 student,M,national+treasure+2004,3.66
14644,21,K-12 student,M,a+knights+tale+2001,3.66
14644,21,K-12 student,M,shanghai+noon+2000,4.0
209587,28,K-12 student,M,liar+liar+1997,4.0
209587,28,K-12 student,M,kill+bill+vol.+1+2003,3.66
209587,28,K-12 student,M,the+bourne+supremacy+2004,5.0
209587,28,K-12 student,M,memento+2000,3.66
121430,8,K-12 student,M,the+terminator+1984,4.0
121430,8,K-12 student,M,akira+1988,4.0
121430,8,K-12 student,M,fatal+attraction+1987,4.0
121430,8,K-12 student,M,alien+1979,5.0
125672,21,K-12 student,F,raiders+of+the+lost+ark+1981,4.0
125672,21,K-12 student,F,homeward+bound+the+incredible+journey+1993,5.0
125672,21,K-12 student,F,diamonds+are+forever+1971,4.0
125672,21,K-12 student,F,an+american+tail+fievel+goes+west+1991,3.66
190127,20,K-12 student,M,brokeback+mountain+2005,4.0
190127,20,K-12 student,M,mrs.+doubtfire+1993,3.0
145748,18,K-12 student,F,robin+hood+1973,3.65
145748,18,K-12 student,F,failure+to+launch+2006,3.65
188419,9,K-12 student,M,pulp+fiction+1994,3.66
188419,9,K-12 student,M,jurassic+park+1993,5.0
164876,32,K-12 student,F,radio+days+1987,3.65
164876,32,K-12 student,F,back+to+the+future+1985,4.0
200744,32,K-12 student,M,final+fantasy+the+spirits+within+2001,3.64
200744,32,K-12 student,M,gladiator+2000,3.64
200744,32,K-12 student,M,the+mask+1994,2.0
200744,32,K-12 student,M,robin+hood+men+in+tights+1993,1.0
94723,24,K-12 student,F,jerry+maguire+1996,3.0
94723,24,K-12 student,F,the+crying+game+1992,4.0
94723,24,K-12 student,F,life+is+beautiful+1997,3.64
94723,24,K-12 student,F,the+net+1995,3.64
86458,26,K-12 student,M,one+flew+over+the+cuckoos+nest+1975,5.0
12261,31,K-12 student,M,spirited+away+2001,3.64
12261,31,K-12 student,M,the+cell+2000,4.0
125728,24,K-12 student,M,jurassic+park+1993,4.0
125728,24,K-12 student,M,city+of+god+2002,5.0
49389,27,K-12 student,M,boogie+nights+1997,4.0
49389,27,K-12 student,M,daredevil+2003,3.64
49389,27,K-12 student,M,unforgiven+1992,3.0
49389,27,K-12 student,M,the+empire+strikes+back+1980,4.0
16409,25,K-12 student,M,the+terminator+1984,4.0
16409,25,K-12 student,M,casino+royale+2006,3.64
166869,21,K-12 student,F,harry+potter+and+the+chamber+of+secrets+2002,3.64
112253,21,K-12 student,M,land+of+the+dead+2005,3.65
112253,21,K-12 student,M,toy+story+1995,4.0
112253,21,K-12 student,M,harry+potter+and+the+deathly+hallows+part+2+2011,4.0
112253,21,K-12 student,M,alvin+and+the+chipmunks+the+squeakquel+2009,2.0
134091,8,K-12 student,F,sleepless+in+seattle+1993,5.0
134091,8,K-12 student,F,speak+2004,5.0
134091,8,K-12 student,F,whisper+of+the+heart+1995,3.64
134091,8,K-12 student,F,parenthood+1989,1.0
201569,26,K-12 student,M,the+black+cauldron+1985,3.64
201569,26,K-12 student,M,the+butterfly+effect+2004,3.64
201569,26,K-12 student,M,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,5.0
201569,26,K-12 student,M,aladdin+1992,5.0
165257,34,K-12 student,M,the+mask+of+zorro+1998,4.0
165257,34,K-12 student,M,the+lost+world+jurassic+park+1997,4.0
165257,34,K-12 student,M,braveheart+1995,4.0
165257,34,K-12 student,M,mars+attacks+1996,3.0
