user,age,occupation,gender,item,rating
113608,24,lawyer,M,land+of+the+dead+2005,3.0
13199,25,lawyer,M,apocalypse+now+1979,5.0
13199,25,lawyer,M,se7en+1995,5.0
13199,25,lawyer,M,star+wars+1977,3.64
204836,26,lawyer,M,broken+arrow+1996,3.0
204836,26,lawyer,M,the+lord+of+the+rings+the+return+of+the+king+2003,5.0
204836,26,lawyer,M,kill+bill+vol.+1+2003,4.0
204836,26,lawyer,M,iron+man+2+2010,4.0
113471,12,lawyer,M,porkys+3+revenge+1985,3.65
113471,12,lawyer,M,jury+duty+1995,3.0
113471,12,lawyer,M,beverly+hills+cop+ii+1987,3.0
22829,32,lawyer,M,big+mommas+house+2000,3.64
22829,32,lawyer,M,armageddon+1998,5.0
22829,32,lawyer,M,the+italian+job+2003,3.64
22829,32,lawyer,M,a+few+good+men+1992,4.0
40696,33,lawyer,F,broadcast+news+1987,5.0
40696,33,lawyer,F,mystic+river+2003,4.0
40696,33,lawyer,F,in+america+2003,5.0
40696,33,lawyer,F,devils+playground+2002,3.64
122382,33,lawyer,M,crocodile+dundee+ii+1988,3.0
122382,33,lawyer,M,little+shop+of+horrors+1986,2.0
122382,33,lawyer,M,the+deer+hunter+1978,5.0
122382,33,lawyer,M,class+1983,3.64
116641,27,lawyer,M,the+silence+of+the+lambs+1991,4.0
116641,27,lawyer,M,28+weeks+later+2007,3.64
116641,27,lawyer,M,american+gangster+2007,4.0
116641,27,lawyer,M,2001+a+space+odyssey+1968,5.0
96343,29,lawyer,M,who+framed+roger+rabbit+1988,3.64
96343,29,lawyer,M,the+killer+1989,5.0
96343,29,lawyer,M,the+grifters+1990,3.0
96343,29,lawyer,M,tarzan+1999,3.0
144385,29,lawyer,M,city+of+god+2002,4.0
144385,29,lawyer,M,shaft+2000,3.64
144385,29,lawyer,M,moonraker+1979,3.0
144385,29,lawyer,M,millers+crossing+1990,4.0
27376,32,lawyer,M,lethal+weapon+4+1998,5.0
27376,32,lawyer,M,dr.+no+1962,5.0
27376,32,lawyer,M,get+shorty+1995,5.0
27376,32,lawyer,M,blown+away+1994,5.0
116399,29,lawyer,M,the+skin+i+live+in+2011,4.0
116399,29,lawyer,M,braveheart+1995,5.0
116399,29,lawyer,M,the+town+2010,4.0
113069,33,lawyer,M,all+dogs+go+to+heaven+2+1996,3.64
113069,33,lawyer,M,harry+potter+and+the+deathly+hallows+part+1+2010,4.0
113069,33,lawyer,M,the+twilight+saga+new+moon+2009,2.0
113069,33,lawyer,M,harry+potter+and+the+goblet+of+fire+2005,4.0
125395,33,lawyer,M,the+silence+of+the+lambs+1991,4.0
125395,33,lawyer,M,the+empire+strikes+back+1980,4.0
125395,33,lawyer,M,indiana+jones+and+the+last+crusade+1989,4.0
125395,33,lawyer,M,primer+2004,4.0
4515,33,lawyer,M,interstellar+2014,5.0
4515,33,lawyer,M,saving+private+ryan+1998,3.64
4515,33,lawyer,M,forrest+gump+1994,5.0
4515,33,lawyer,M,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,5.0
190904,31,lawyer,M,american+history+x+1998,5.0
190904,31,lawyer,M,16+blocks+2006,4.0
207204,64,lawyer,M,harry+potter+and+the+order+of+the+phoenix+2007,5.0
163758,26,lawyer,M,broken+arrow+1996,3.64
163758,26,lawyer,M,con+air+1997,3.64
163758,26,lawyer,M,ransom+1996,3.0
163758,26,lawyer,M,metro+1997,2.0
126898,33,lawyer,M,finding+nemo+2003,1.0
126898,33,lawyer,M,much+ado+about+nothing+1993,3.63
126898,33,lawyer,M,psycho+1960,4.0
126898,33,lawyer,M,north+by+northwest+1959,4.0
13918,44,lawyer,M,citizen+kane+1941,3.64
13918,44,lawyer,M,apocalypse+now+1979,4.0
13918,44,lawyer,M,ghostbusters+1984,3.64
93468,59,lawyer,F,gosford+park+2001,3.64
93468,59,lawyer,F,blade+ii+2002,4.0
93468,59,lawyer,F,the+secret+of+nimh+1982,5.0
93468,59,lawyer,F,anastasia+1997,4.0
200394,33,lawyer,M,the+godfather+1972,3.64
64499,34,lawyer,M,rise+of+the+planet+of+the+apes+2011,3.64
64499,34,lawyer,M,v+for+vendetta+2006,5.0
64499,34,lawyer,M,minority+report+2002,5.0
64499,34,lawyer,M,rollerball+2002,4.0
207287,27,lawyer,M,primal+fear+1996,4.0
207287,27,lawyer,M,inception+2010,3.64
207287,27,lawyer,M,brooklyns+finest+2009,5.0
95395,39,lawyer,M,the+beach+2000,4.0
95395,39,lawyer,M,serenity+2005,3.64
95395,39,lawyer,M,escape+from+new+york+1981,3.0
95395,39,lawyer,M,moon+2009,4.0
104294,18,lawyer,M,the+bourne+identity+2002,3.64
104294,18,lawyer,M,se7en+1995,4.0
104294,18,lawyer,M,lovers+of+the+arctic+circle+1998,4.0
104294,18,lawyer,M,eternal+sunshine+of+the+spotless+mind+2004,5.0
190434,33,lawyer,M,shall+we+dance+1996,3.0
190434,33,lawyer,M,the+lives+of+others+2006,4.0
190434,33,lawyer,M,deliverance+1972,1.0
190434,33,lawyer,M,honey+i+blew+up+the+kid+1992,1.0
90506,27,lawyer,M,trainspotting+1996,5.0
90506,27,lawyer,M,the+lion+king+1994,3.0
146648,33,lawyer,M,bean+1997,3.64
146648,33,lawyer,M,the+nutty+professor+1996,3.64
139775,31,lawyer,M,akira+1988,3.64
139775,31,lawyer,M,the+empire+strikes+back+1980,4.0
139775,31,lawyer,M,forrest+gump+1994,5.0
139775,31,lawyer,M,enemy+at+the+gates+2001,3.64
120536,37,lawyer,M,the+graduate+1967,5.0
120536,37,lawyer,M,the+empire+strikes+back+1980,5.0
47949,29,lawyer,M,dick+tracy+1990,4.0
47949,29,lawyer,M,l.a.+confidential+1997,5.0
47949,29,lawyer,M,lethal+weapon+1987,4.0
47949,29,lawyer,M,lock_+stock+and+two+smoking+barrels+1998,4.0
79024,29,lawyer,M,district+9+2009,5.0
79024,29,lawyer,M,black+swan+2010,3.0
79024,29,lawyer,M,predator+1987,3.63
79024,29,lawyer,M,the+abyss+1989,4.0
67785,59,lawyer,M,the+caine+mutiny+1954,4.0
67785,59,lawyer,M,paths+of+glory+1957,3.64
67785,59,lawyer,M,seven+samurai+1954,4.0
67785,59,lawyer,M,the+maltese+falcon+1941,3.0
34848,25,lawyer,F,norma+rae+1979,3.0
34848,25,lawyer,F,the+grifters+1990,4.0
34848,25,lawyer,F,guys+and+dolls+1955,3.0
34848,25,lawyer,F,mystic+pizza+1988,4.0
565,39,lawyer,M,the+treasure+of+the+sierra+madre+1948,3.63
565,39,lawyer,M,fargo+1996,4.0
565,39,lawyer,M,election+1999,3.0
565,39,lawyer,M,bull+durham+1988,3.0
187070,80,lawyer,M,monty+python+and+the+holy+grail+1975,4.0
187070,80,lawyer,M,band+of+outsiders+1964,3.63
187070,80,lawyer,M,through+a+glass+darkly+1961,3.63
187070,80,lawyer,M,the+passion+of+joan+of+arc+1928,5.0
136942,29,lawyer,M,the+untouchables+1987,5.0
127208,34,lawyer,M,downfall+2004,4.0
127208,34,lawyer,M,coherence+2013,4.0
127208,34,lawyer,M,inception+2010,3.63
173018,44,lawyer,M,victorvictoria+1982,3.63
