user,age,occupation,gender,item,rating
113143,36,other or not specified,M,mary+poppins+1964,5.0
113143,36,other or not specified,M,shakespeare+in+love+1998,5.0
113143,36,other or not specified,M,romancing+the+stone+1984,4.0
113143,36,other or not specified,M,bringing+up+baby+1938,3.78
189057,34,other or not specified,M,princess+mononoke+1997,3.72
189057,34,other or not specified,M,the+adventures+of+baron+munchausen+1988,2.0
189057,34,other or not specified,M,serpico+1973,3.72
189057,34,other or not specified,M,evil+dead+ii+1987,4.0
69602,32,other or not specified,M,kingpin+1996,3.0
69602,32,other or not specified,M,tin+cup+1996,3.0
69602,32,other or not specified,M,42+up+1998,5.0
69602,32,other or not specified,M,robin+hood+men+in+tights+1993,3.0
208409,32,other or not specified,F,like+water+for+chocolate+1992,3.66
208409,32,other or not specified,F,truly+madly+deeply+1990,3.66
208409,32,other or not specified,F,butch+cassidy+and+the+sundance+kid+1969,4.0
25961,27,other or not specified,M,johnny+mnemonic+1995,3.65
25961,27,other or not specified,M,the+maltese+falcon+1941,5.0
25961,27,other or not specified,M,lethal+weapon+2+1989,2.0
25961,27,other or not specified,M,the+three+musketeers+1993,2.0
83961,27,other or not specified,F,the+godfather+1972,3.66
83961,27,other or not specified,F,brief+encounter+1945,3.66
83961,27,other or not specified,F,spellbound+1945,3.66
156795,25,other or not specified,M,pleasantville+1998,4.0
156795,25,other or not specified,M,father+of+the+bride+part+ii+1995,1.0
204736,33,other or not specified,M,8+mile+2002,3.0
204736,33,other or not specified,M,310+to+yuma+2007,5.0
204736,33,other or not specified,M,310+to+yuma+1957,4.0
76471,21,other or not specified,M,x-men+days+of+future+past+2014,3.67
76471,21,other or not specified,M,raiders+of+the+lost+ark+1981,4.0
76471,21,other or not specified,M,return+of+the+jedi+1983,3.67
76471,21,other or not specified,M,the+lego+movie+2014,4.0
43994,34,other or not specified,F,the+thomas+crown+affair+1999,5.0
43994,34,other or not specified,F,never+been+kissed+1999,3.65
43994,34,other or not specified,F,the+wizard+of+oz+1939,3.65
43994,34,other or not specified,F,desperately+seeking+susan+1985,3.0
93428,26,other or not specified,M,pulp+fiction+1994,3.65
93428,26,other or not specified,M,the+lion+king+1994,3.0
33214,34,other or not specified,M,erin+brockovich+2000,3.66
33214,34,other or not specified,M,national+lampoons+european+vacation+1985,3.0
33214,34,other or not specified,M,what+planet+are+you+from+2000,3.0
33214,34,other or not specified,M,back+to+the+future+1985,3.0
1596,29,other or not specified,M,the+three+musketeers+1993,2.0
1596,29,other or not specified,M,life+of+brian+1979,3.65
127039,29,other or not specified,M,a+civil+action+1998,5.0
127039,29,other or not specified,M,lake+placid+1999,4.0
156644,26,other or not specified,M,the+shining+1980,2.0
156644,26,other or not specified,M,top+gun+1986,4.0
156644,26,other or not specified,M,back+to+the+future+part+ii+1989,4.0
156644,26,other or not specified,M,tombstone+1993,3.65
213226,18,other or not specified,M,that+thing+you+do+1996,3.66
213226,18,other or not specified,M,the+defiant+ones+1958,4.0
213226,18,other or not specified,M,miracle+on+34th+street+1994,3.0
213226,18,other or not specified,M,aguirre+the+wrath+of+god+1972,3.66
174314,30,other or not specified,M,casino+royale+2006,4.0
174314,30,other or not specified,M,the+count+of+monte+cristo+2002,4.0
174314,30,other or not specified,M,zombieland+2009,5.0
174314,30,other or not specified,M,sin+city+2005,1.0
98315,30,other or not specified,M,seven+samurai+1954,3.65
118192,31,other or not specified,M,searching+for+bobby+fischer+1993,1.0
118192,31,other or not specified,M,the+remains+of+the+day+1993,1.0
118192,31,other or not specified,M,so+i+married+an+axe+murderer+1993,4.0
118192,31,other or not specified,M,first+knight+1995,4.0
88633,30,other or not specified,M,clear+and+present+danger+1994,4.0
88633,30,other or not specified,M,othello+1995,4.0
88633,30,other or not specified,M,natural+born+killers+1994,2.0
133775,28,other or not specified,M,runaway+bride+1999,2.0
35119,25,other or not specified,M,the+sixth+sense+1999,3.63
35119,25,other or not specified,M,muppets+from+space+1999,4.0
173642,26,other or not specified,F,taxi+driver+1976,5.0
25387,31,other or not specified,M,jaws+2+1978,2.0
25387,31,other or not specified,M,grave+of+the+fireflies+1988,4.0
25387,31,other or not specified,M,alien+1979,4.0
25387,31,other or not specified,M,nurse+betty+2000,3.63
164989,27,other or not specified,M,lethal+weapon+4+1998,3.63
38328,32,other or not specified,F,jurassic+park+1993,3.0
38328,32,other or not specified,F,junior+1994,3.0
38328,32,other or not specified,F,batman+1989,3.0
38328,32,other or not specified,F,the+net+1995,3.0
136457,32,other or not specified,F,casablanca+1942,3.63
136457,32,other or not specified,F,armageddon+1998,3.0
136457,32,other or not specified,F,punch-drunk+love+2002,5.0
136457,32,other or not specified,F,edward+scissorhands+1990,3.63
202211,42,other or not specified,M,superman+1978,2.0
202211,42,other or not specified,M,i+heart+huckabees+2004,3.63
202211,42,other or not specified,M,office+space+1999,3.0
202211,42,other or not specified,M,bridget+joness+diary+2001,3.63
151346,33,other or not specified,M,three+colors+red+1994,5.0
