user,age,occupation,gender,item,rating
178129,41,programmer,M,this+is+spinal+tap+1984,4.0
178129,41,programmer,M,monty+python+and+the+holy+grail+1975,3.75
178129,41,programmer,M,it+happened+one+night+1934,3.75
159116,30,programmer,M,one+hundred+and+one+dalmatians+1961,3.61
159116,30,programmer,M,heaven+can+wait+1978,3.61
159116,30,programmer,M,back+to+the+future+1985,4.0
159116,30,programmer,M,the+empire+strikes+back+1980,2.0
91703,30,programmer,M,the+whole+nine+yards+2000,4.0
85607,26,programmer,M,the+dark+knight+2008,5.0
131424,29,programmer,M,virtuosity+1995,3.64
131424,29,programmer,M,body+snatchers+1993,3.64
131424,29,programmer,M,the+indian+in+the+cupboard+1995,5.0
49591,31,programmer,M,american+pie+1999,3.64
49591,31,programmer,M,twister+1996,4.0
49591,31,programmer,M,armageddon+1998,4.0
49591,31,programmer,M,dumb+and+dumber+1994,2.0
124715,33,programmer,M,return+of+the+jedi+1983,3.65
124715,33,programmer,M,mars+attacks+1996,4.0
124715,33,programmer,M,gattaca+1997,4.0
124715,33,programmer,M,star+trek+iii+the+search+for+spock+1984,3.0
48575,30,programmer,M,star+trek+first+contact+1996,3.64
48575,30,programmer,M,batman+forever+1995,3.0
48575,30,programmer,M,contact+1997,3.0
48575,30,programmer,M,in+the+line+of+fire+1993,3.64
17788,24,programmer,M,twister+1996,5.0
17788,24,programmer,M,a+time+to+kill+1996,5.0
17788,24,programmer,M,executive+decision+1996,4.0
58301,28,programmer,M,lost+in+space+1998,3.0
58301,28,programmer,M,jurassic+park+1993,1.0
58301,28,programmer,M,the+incredibles+2004,2.0
58301,28,programmer,M,saving+private+ryan+1998,3.65
93646,30,programmer,M,uhf+1989,5.0
93646,30,programmer,M,kung+pow+enter+the+fist+2002,5.0
93646,30,programmer,M,live+free+or+die+hard+2007,3.0
131276,34,programmer,M,harry+potter+and+the+prisoner+of+azkaban+2004,4.0
131276,34,programmer,M,harry+potter+and+the+philosophers+stone+2001,3.0
131276,34,programmer,M,willy+wonka++the+chocolate+factory+1971,3.64
131276,34,programmer,M,rain+man+1988,4.0
197701,31,programmer,M,dances+with+wolves+1990,2.0
197701,31,programmer,M,double+jeopardy+1999,3.64
197701,31,programmer,M,the+shawshank+redemption+1994,5.0
197701,31,programmer,M,toy+story+1995,5.0
26964,28,programmer,M,butch+cassidy+and+the+sundance+kid+1969,3.64
26964,28,programmer,M,apocalypse+now+1979,3.64
26964,28,programmer,M,american+history+x+1998,4.0
183728,29,programmer,M,blade+runner+1982,3.65
183728,29,programmer,M,twelve+monkeys+1995,4.0
183728,29,programmer,M,addicted+to+love+1997,3.0
183728,29,programmer,M,dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb+1964,5.0
14689,32,programmer,M,black+sheep+1996,3.0
14689,32,programmer,M,the+english+patient+1996,5.0
14689,32,programmer,M,the+river+wild+1994,3.0
14689,32,programmer,M,the+crow+city+of+angels+1996,2.0
69490,28,programmer,F,before+sunset+2004,5.0
69490,28,programmer,F,mostly+martha+2001,4.0
69490,28,programmer,F,spellbound+2002,3.64
69490,28,programmer,F,billy+elliot+2000,3.0
64037,30,programmer,M,delicatessen+1991,3.64
64037,30,programmer,M,back+to+the+future+1985,5.0
18360,30,programmer,M,romancing+the+stone+1984,2.0
18360,30,programmer,M,star+wars+episode+iii+-+revenge+of+the+sith+2005,4.0
18360,30,programmer,M,requiem+for+a+dream+2000,4.0
18360,30,programmer,M,wild+wild+west+1999,3.0
66502,26,programmer,M,the+terminator+1984,4.0
66502,26,programmer,M,dances+with+wolves+1990,3.64
66502,26,programmer,M,batman+1989,4.0
66502,26,programmer,M,forrest+gump+1994,5.0
128226,27,programmer,M,star+trek+the+motion+picture+1979,3.64
128226,27,programmer,M,the+jerk+1979,4.0
128226,27,programmer,M,star+trek+2009,3.64
128226,27,programmer,M,the+man+with+the+golden+gun+1974,3.64
165993,37,programmer,M,mars+attacks+1996,1.0
100917,32,programmer,M,star+wars+episode+iii+-+revenge+of+the+sith+2005,2.0
100917,32,programmer,M,forrest+gump+1994,3.0
100917,32,programmer,M,terminator+2+judgment+day+1991,3.64
100917,32,programmer,M,to+wong+foo_+thanks+for+everything+julie+newmar+1995,3.0
191853,30,programmer,M,the+thirteenth+floor+1999,4.0
191853,30,programmer,M,the+two+jakes+1990,3.64
191853,30,programmer,M,johnny+mnemonic+1995,4.0
191853,30,programmer,M,deep+blue+sea+1999,3.64
61857,30,programmer,M,millers+crossing+1990,4.0
61857,30,programmer,M,young+frankenstein+1974,4.0
61857,30,programmer,M,die+hard+1988,3.64
61857,30,programmer,M,indiana+jones+and+the+last+crusade+1989,3.64
157741,29,programmer,M,forrest+gump+1994,5.0
157741,29,programmer,M,newsies+1992,5.0
157741,29,programmer,M,deconstructing+harry+1997,1.0
157741,29,programmer,M,clear+and+present+danger+1994,4.0
110983,29,programmer,M,lawnmower+man+2+beyond+cyberspace+1996,2.0
110983,29,programmer,M,godzilla+1985+1984,5.0
110983,29,programmer,M,congo+1995,3.0
110983,29,programmer,M,2010+1984,5.0
85679,28,programmer,M,screamers+1995,5.0
155186,21,programmer,M,spawn+1997,4.0
155186,21,programmer,M,licence+to+kill+1989,4.0
155186,21,programmer,M,terminator+3+rise+of+the+machines+2003,3.64
155186,21,programmer,M,dantes+peak+1997,3.64
111486,28,programmer,M,my+neighbor+totoro+1988,3.64
111486,28,programmer,M,x-men+2000,3.64
34943,34,programmer,M,the+boondock+saints+1999,5.0
57157,21,programmer,M,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,5.0
57157,21,programmer,M,constantine+2005,4.0
57157,21,programmer,M,city+slickers+ii+the+legend+of+curlys+gold+1994,3.0
111227,30,programmer,M,star+trek+vi+the+undiscovered+country+1991,3.64
111227,30,programmer,M,a+clockwork+orange+1971,5.0
111227,30,programmer,M,the+faculty+1998,3.0
28981,32,programmer,M,2001+a+space+odyssey+1968,5.0
28981,32,programmer,M,judge+dredd+1995,2.0
28981,32,programmer,M,return+of+the+jedi+1983,3.0
28981,32,programmer,M,stargate+1994,2.0
188574,26,programmer,M,the+manchurian+candidate+1962,5.0
188574,26,programmer,M,star+trek+iv+the+voyage+home+1986,3.64
188574,26,programmer,M,the+fisher+king+1991,5.0
114979,25,programmer,M,the+lord+of+the+rings+the+two+towers+2002,3.64
114979,25,programmer,M,prime+suspect+1991,3.64
114979,25,programmer,M,the+godfather+1972,4.0
114979,25,programmer,M,the+man+who+wouldnt+die+1994,4.0
42759,26,programmer,M,the+sixth+sense+1999,5.0
42759,26,programmer,M,scrooged+1988,5.0
42759,26,programmer,M,blade+runner+1982,5.0
42759,26,programmer,M,beverly+hills+cop+1984,3.64
36087,29,programmer,M,star+wars+the+clone+wars+2008,2.0
36087,29,programmer,M,the+flintstones+1994,3.64
107100,32,programmer,M,armageddon+1998,5.0
107100,32,programmer,M,alien+1992,2.0
134880,26,programmer,M,bad+boys+1995,4.0
134880,26,programmer,M,dragonheart+1996,3.0
134880,26,programmer,M,the+fugitive+1993,3.64
134880,26,programmer,M,tombstone+1993,3.64
70278,25,programmer,M,joes+apartment+1996,5.0
70278,25,programmer,M,independence+day+1996,4.0
70278,25,programmer,M,heat+1995,5.0
99120,20,programmer,M,deep+blue+sea+1999,3.64
99120,20,programmer,M,the+blair+witch+project+1999,5.0
103542,25,programmer,M,star+wars+episode+i+-+the+phantom+menace+1999,3.64
103542,25,programmer,M,batman+mask+of+the+phantasm+1993,4.0
103542,25,programmer,M,star+trek+first+contact+1996,4.0
70906,33,programmer,M,oceans+eleven+2001,4.0
70906,33,programmer,M,hoop+dreams+1994,3.64
70906,33,programmer,M,star+wars+1977,4.0
70906,33,programmer,M,star+trek+iii+the+search+for+spock+1984,3.64
189139,28,programmer,M,the+shawshank+redemption+1994,5.0
189139,28,programmer,M,beetlejuice+1988,3.0
189139,28,programmer,M,toy+story+2+1999,4.0
189139,28,programmer,M,city+slickers+ii+the+legend+of+curlys+gold+1994,3.64
182054,32,programmer,M,the+family+man+2000,2.0
182054,32,programmer,M,the+fifth+element+1997,5.0
182054,32,programmer,M,the+empire+strikes+back+1980,5.0
182054,32,programmer,M,crouching+tiger_+hidden+dragon+2000,2.0
72326,29,programmer,M,spirited+away+2001,5.0
182001,30,programmer,M,20_000+leagues+under+the+sea+1954,3.64
182001,30,programmer,M,the+dark+crystal+1982,4.0
182001,30,programmer,M,schindlers+list+1993,3.64
8635,33,programmer,M,the+mirror+has+two+faces+1996,5.0
8635,33,programmer,M,batman+forever+1995,3.64
8635,33,programmer,M,speed+1994,3.0
8635,33,programmer,M,goldeneye+1995,3.64
76223,28,programmer,M,deep+impact+1998,3.64
76223,28,programmer,M,lawnmower+man+2+beyond+cyberspace+1996,3.64
163130,30,programmer,M,uhf+1989,5.0
163130,30,programmer,M,the+bone+collector+1999,3.64
163130,30,programmer,M,stargate+the+ark+of+truth+2008,4.0
104879,28,programmer,M,star+wars+1977,3.0
149814,30,programmer,M,office+space+1999,5.0
51566,34,programmer,M,my+neighbor+totoro+1988,5.0
38943,31,programmer,M,the+man+with+the+golden+gun+1974,3.0
38943,31,programmer,M,the+kings+speech+2010,3.0
38943,31,programmer,M,bean+1997,3.64
38943,31,programmer,M,mujhse+shaadi+karogi+2004,3.64
87426,32,programmer,M,virtuosity+1995,3.0
87426,32,programmer,M,sphere+1998,4.0
87426,32,programmer,M,logans+run+1976,3.0
87426,32,programmer,M,superman+1978,3.0
181019,27,programmer,M,twelve+monkeys+1995,4.0
181019,27,programmer,M,star+wars+episode+iii+-+revenge+of+the+sith+2005,5.0
181019,27,programmer,M,star+trek+into+darkness+2013,5.0
181019,27,programmer,M,back+to+the+future+1985,4.0
207275,26,programmer,M,this+is+spinal+tap+1984,3.0
64943,31,programmer,M,the+arrival+1996,5.0
64943,31,programmer,M,independence+day+1996,3.64
64943,31,programmer,M,dragonheart+1996,4.0
64943,31,programmer,M,james+and+the+giant+peach+1996,4.0
214201,31,programmer,M,detroit+rock+city+1999,3.0
214201,31,programmer,M,deuce+bigalow+male+gigolo+1999,5.0
214201,31,programmer,M,minority+report+2002,5.0
214201,31,programmer,M,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,5.0
92322,38,programmer,M,honey_+i+shrunk+the+kids+1989,3.64
92322,38,programmer,M,star+trek+insurrection+1998,3.0
92322,38,programmer,M,back+to+the+future+part+iii+1990,3.0
92322,38,programmer,M,blade+runner+1982,3.64
70174,30,programmer,M,police+academy+4+citizens+on+patrol+1987,3.64
70174,30,programmer,M,metropolis+2001,3.64
70174,30,programmer,M,pretty+woman+1990,4.0
211114,21,programmer,F,wedding+crashers+2005,3.64
211114,21,programmer,F,inception+2010,5.0
211114,21,programmer,F,scott+pilgrim+vs.+the+world+2010,5.0
139952,33,programmer,M,fargo+1996,3.64
21733,23,programmer,M,up+in+smoke+1978,3.0
21733,23,programmer,M,vegas+vacation+1997,3.64
121933,31,programmer,M,back+to+the+future+part+ii+1989,2.0
170171,20,programmer,M,absolute+power+1997,3.0
170171,20,programmer,M,independence+day+1996,2.0
170171,20,programmer,M,return+of+the+jedi+1983,3.64
170171,20,programmer,M,fierce+creatures+1997,3.0
91295,33,programmer,M,the+last+samurai+2003,3.64
91295,33,programmer,M,desperado+1995,4.0
91295,33,programmer,M,das+boot+1981,5.0
91295,33,programmer,M,the+empire+strikes+back+1980,5.0
189107,34,programmer,M,jurassic+park+1993,4.0
189107,34,programmer,M,silent+running+1972,3.64
189107,34,programmer,M,robocop+1987,3.0
189107,34,programmer,M,thir13en+ghosts+2001,3.64
56093,33,programmer,M,speed+1994,5.0
78365,27,programmer,F,as+good+as+it+gets+1997,4.0
167547,34,programmer,M,predator+1987,3.63
167547,34,programmer,M,armageddon+1998,3.63
167547,34,programmer,M,district+9+2009,5.0
167547,34,programmer,M,enemy+mine+1985,5.0
50921,30,programmer,M,chicago+2002,4.0
50921,30,programmer,M,hannibal+2001,3.63
50921,30,programmer,M,the+adventures+of+robin+hood+1938,3.0
50921,30,programmer,M,the+hunchback+of+notre+dame+1996,3.63
76998,31,programmer,M,braveheart+1995,4.0
76998,31,programmer,M,batman+begins+2005,4.0
201325,25,programmer,M,terminator+2+judgment+day+1991,2.0
201325,25,programmer,M,ace+ventura+when+nature+calls+1995,3.64
190355,34,programmer,M,the+dark+knight+2008,5.0
190355,34,programmer,M,inspector+gadget+1999,2.0
190355,34,programmer,M,the+legend+of+drunken+master+1994,5.0
190355,34,programmer,M,me+myself+i+2000,3.0
8463,25,programmer,M,planet+of+the+apes+1968,4.0
8463,25,programmer,M,liar+liar+1997,3.64
8463,25,programmer,M,star+wars+episode+iii+-+revenge+of+the+sith+2005,3.64
8463,25,programmer,M,eraser+1996,3.64
65007,31,programmer,M,2001+a+space+odyssey+1968,4.0
65007,31,programmer,M,star+trek+iv+the+voyage+home+1986,1.0
65007,31,programmer,M,forbidden+planet+1956,1.0
65007,31,programmer,M,the+fifth+element+1997,1.0
143064,32,programmer,M,kids+in+the+hall+brain+candy+1996,3.0
143064,32,programmer,M,star+trek+first+contact+1996,3.0
143064,32,programmer,M,stealing+beauty+1996,5.0
134415,30,programmer,M,the+secret+of+nimh+1982,3.63
134415,30,programmer,M,honey_+i+shrunk+the+kids+1989,3.63
103172,26,programmer,M,the+time+machine+1960,5.0
103172,26,programmer,M,born+in+east+l.a.+1987,5.0
200780,25,programmer,M,rushmore+1998,4.0
200780,25,programmer,M,the+color+purple+1985,3.63
200780,25,programmer,M,return+of+the+jedi+1983,3.63
205934,33,programmer,M,aliens+1986,3.63
205934,33,programmer,M,a+beautiful+mind+2001,3.63
205934,33,programmer,M,honey_+i+shrunk+the+kids+1989,3.63
205934,33,programmer,M,romancing+the+stone+1984,3.0
165595,33,programmer,M,star+wars+1977,3.63
165595,33,programmer,M,the+empire+strikes+back+1980,5.0
165595,33,programmer,M,blade+runner+1982,3.63
165595,33,programmer,M,total+recall+1990,3.63
147607,31,programmer,M,clue+1985,3.63
147607,31,programmer,M,dick+tracy+1990,3.0
13722,28,programmer,M,the+nutty+professor+1996,3.63
13722,28,programmer,M,spawn+1997,4.0
13722,28,programmer,M,virus+1999,4.0
13722,28,programmer,M,a+clockwork+orange+1971,2.0
88725,33,programmer,M,reservoir+dogs+1992,5.0
88725,33,programmer,M,a+beautiful+mind+2001,4.0
88725,33,programmer,M,mission+impossible+ii+2000,4.0
88725,33,programmer,M,nine+months+1995,3.0
15776,46,programmer,M,the+matrix+1999,5.0
15776,46,programmer,M,the+truman+show+1998,5.0
83662,31,programmer,M,bandits+2001,3.63
83662,31,programmer,M,borat+cultural+learnings+of+america+for+make+benefit+glorious+nation+of+kazakhstan+2006,3.0
83662,31,programmer,M,spirited+away+2001,3.63
83662,31,programmer,M,the+ghost+and+the+darkness+1996,3.0
67944,37,programmer,M,twelve+monkeys+1995,3.0
165961,34,programmer,M,some+folks+call+it+a+sling+blade+1994,5.0
165961,34,programmer,M,a+few+good+men+1992,3.0
165961,34,programmer,M,das+boot+1981,3.63
91554,30,programmer,M,the+clan+of+the+cave+bear+1986,3.63
91554,30,programmer,M,pi+1998,4.0
91554,30,programmer,M,moonraker+1979,3.0
91554,30,programmer,M,superman+ii+1980,4.0
93885,25,programmer,M,interview+with+the+vampire+1994,4.0
93885,25,programmer,M,the+mask+1994,4.0
93885,25,programmer,M,batman+1989,5.0
93885,25,programmer,M,dances+with+wolves+1990,3.63
65123,33,programmer,M,charlies+angels+2000,3.0
65123,33,programmer,M,honey_+i+shrunk+the+kids+1989,1.0
65123,33,programmer,M,space+jam+1996,3.0
65123,33,programmer,M,minority+report+2002,5.0
108540,29,programmer,M,mystery+science+theater+3000+the+movie+1996,5.0
108540,29,programmer,M,monty+python+and+the+holy+grail+1975,4.0
108540,29,programmer,M,beauty+and+the+beast+1991,3.0
108540,29,programmer,M,star+wars+1977,4.0
167602,77,programmer,M,the+third+man+1949,5.0
167602,77,programmer,M,the+bedroom+window+1987,3.64
151392,31,programmer,M,predator+1987,3.63
151392,31,programmer,M,sneakers+1992,4.0
151392,31,programmer,M,alien+resurrection+1997,4.0
151392,31,programmer,M,the+godfather+1972,5.0
195414,28,programmer,M,the+lion+king+1994,3.63
195414,28,programmer,M,coneheads+1993,3.0
195414,28,programmer,M,the+santa+clause+1994,3.0
195414,28,programmer,M,dumb+and+dumber+1994,4.0
144734,30,programmer,M,goldeneye+1995,5.0
144734,30,programmer,M,hot+shots+part+deux+1993,3.63
144734,30,programmer,M,get+shorty+1995,2.0
144734,30,programmer,M,clockers+1995,2.0
28169,23,programmer,M,mrs.+doubtfire+1993,5.0
28169,23,programmer,M,star+wars+episode+ii+-+attack+of+the+clones+2002,4.0
28169,23,programmer,M,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,5.0
28169,23,programmer,M,the+nutty+professor+1996,2.0
117330,27,programmer,M,the+omen+1976,3.63
117330,27,programmer,M,u.s.+marshals+1998,3.63
117330,27,programmer,M,spawn+1997,2.0
