user,age,occupation,gender,item,rating
87758,25,retired,F,when+harry+met+sally...+1989,5.0
87758,25,retired,F,101+dalmatians+1996,3.78
87758,25,retired,F,the+mexican+2001,3.0
168976,70,retired,F,beethovens+2nd+1993,1.0
168976,70,retired,F,chicken+run+2000,2.0
142401,26,retired,F,quills+2000,2.0
142401,26,retired,F,cleopatra+1963,2.0
142401,26,retired,F,shrek+2001,4.0
142401,26,retired,F,chicken+run+2000,5.0
6022,86,retired,M,national+lampoons+christmas+vacation+1989,3.0
158127,73,retired,F,bringing+up+baby+1938,5.0
158127,73,retired,F,theres+something+about+mary+1998,5.0
158127,73,retired,F,toy+story+1995,5.0
158127,73,retired,F,seven+samurai+1954,3.65
137356,56,retired,F,stealing+beauty+1996,3.0
137356,56,retired,F,how+to+make+an+american+quilt+1995,4.0
137356,56,retired,F,waiting+to+exhale+1995,3.0
137356,56,retired,F,forrest+gump+1994,3.66
159251,56,retired,M,like+water+for+chocolate+1992,1.0
113827,34,retired,M,ronin+1998,3.0
40102,79,retired,F,a+little+princess+1995,4.0
40102,79,retired,F,secrets++lies+1996,4.0
40102,79,retired,F,the+french+connection+1971,4.0
147731,51,retired,F,cold+comfort+farm+1995,4.0
147731,51,retired,F,the+grifters+1990,3.63
147731,51,retired,F,the+absent-minded+professor+1961,3.63
147731,51,retired,F,fargo+1996,5.0
52515,75,retired,F,slumdog+millionaire+2008,5.0
52515,75,retired,F,the+godfather+part+ii+1974,5.0
52515,75,retired,F,the+dreamers+2003,4.0
52515,75,retired,F,ira++abby+2006,4.0
118905,64,retired,F,field+of+dreams+1989,3.0
118905,64,retired,F,fatal+attraction+1987,3.0
118905,64,retired,F,mystic+river+2003,3.0
153923,83,retired,M,up+close++personal+1996,1.0
153923,83,retired,M,17+again+2009,4.0
153923,83,retired,M,13+going+on+30+2004,5.0
153923,83,retired,M,road+to+perdition+2002,3.0
17803,25,retired,M,speed+1994,3.64
17803,25,retired,M,star+trek+the+motion+picture+1979,3.0
17803,25,retired,M,star+trek+iii+the+search+for+spock+1984,4.0
17803,25,retired,M,batman+1989,5.0
119577,25,retired,F,the+switch+2010,3.0
164752,34,retired,F,no+reservations+2007,4.0
19024,31,retired,F,l.a.+confidential+1997,4.0
19024,31,retired,F,the+odd+couple+1968,4.0
19024,31,retired,F,the+shawshank+redemption+1994,4.0
19024,31,retired,F,buena+vista+social+club+1999,5.0
181436,82,retired,F,the+silence+of+the+lambs+1991,5.0
181436,82,retired,F,metropolitan+1990,4.0
181436,82,retired,F,the+thin+red+line+1998,2.0
181436,82,retired,F,forrest+gump+1994,4.0
146024,34,retired,F,das+boot+1981,3.64
146024,34,retired,F,being+john+malkovich+1999,5.0
146024,34,retired,F,pulp+fiction+1994,5.0
146024,34,retired,F,batman+mask+of+the+phantasm+1993,3.64
17449,66,retired,F,my+left+foot+the+story+of+christy+brown+1989,3.64
17449,66,retired,F,the+fighter+2010,3.0
17449,66,retired,F,black+swan+2010,2.0
90064,46,retired,F,stand+by+me+1986,3.64
90064,46,retired,F,my+life+as+a+dog+1985,4.0
90064,46,retired,F,the+curious+case+of+benjamin+button+2008,3.0
90064,46,retired,F,20_000+leagues+under+the+sea+1954,3.0
25196,73,retired,F,funeral+in+berlin+1966,3.64
25196,73,retired,F,black+orpheus+1959,5.0
25196,73,retired,F,my+cousin+vinny+1992,4.0
25196,73,retired,F,unforgiven+1992,3.64
23745,81,retired,F,the+birds+1963,3.65
23745,81,retired,F,duck+soup+1933,3.65
154329,30,retired,M,what+lies+beneath+2000,4.0
154329,30,retired,M,the+blues+brothers+1980,3.64
154329,30,retired,M,deuce+bigalow+male+gigolo+1999,3.64
154329,30,retired,M,fight+club+1999,3.64
171629,33,retired,M,vertigo+1958,5.0
171629,33,retired,M,blade+runner+1982,3.65
171629,33,retired,M,walle+2008,4.0
171629,33,retired,M,a+christmas+story+1983,4.0
122938,81,retired,F,the+english+patient+1996,4.0
122938,81,retired,F,a+few+good+men+1992,4.0
122938,81,retired,F,casablanca+1942,5.0
122938,81,retired,F,like+water+for+chocolate+1992,4.0
197728,31,retired,F,rise+of+the+guardians+2012,5.0
174473,20,retired,F,flirting+with+disaster+1996,3.0
174473,20,retired,F,the+silence+of+the+lambs+1991,5.0
174473,20,retired,F,the+shawshank+redemption+1994,3.64
174473,20,retired,F,meet+joe+black+1998,4.0
63386,58,retired,F,arsenic+and+old+lace+1944,3.64
63386,58,retired,F,sleeping+beauty+1959,4.0
63386,58,retired,F,titan+a.e.+2000,4.0
63386,58,retired,F,the+princess+bride+1987,5.0
26483,57,retired,F,the+trip+to+bountiful+1985,3.64
26483,57,retired,F,the+last+picture+show+1971,3.0
26483,57,retired,F,rain+man+1988,4.0
26483,57,retired,F,the+killing+fields+1984,4.0
131384,67,retired,F,delicatessen+1991,3.0
131384,67,retired,F,the+return+of+martin+guerre+1982,4.0
131384,67,retired,F,the+unbearable+lightness+of+being+1988,3.64
131384,67,retired,F,passion+fish+1992,3.64
86576,58,retired,M,the+thing+1982,4.0
86576,58,retired,M,an+american+werewolf+in+london+1981,3.0
86576,58,retired,M,boys+dont+cry+1999,3.0
86576,58,retired,M,harold+and+maude+1971,3.64
182077,57,retired,F,i+still+know+what+you+did+last+summer+1998,3.0
182077,57,retired,F,the+sixth+sense+1999,5.0
182077,57,retired,F,shrek+2001,3.64
182077,57,retired,F,ferris+buellers+day+off+1986,3.64
185610,32,retired,M,pulp+fiction+1994,4.0
133790,89,retired,F,the+crucible+1996,3.0
133790,89,retired,F,lone+star+1996,4.0
133790,89,retired,F,the+people+vs.+larry+flynt+1996,4.0
133790,89,retired,F,crash+1996,1.0
100830,30,retired,M,johns+1996,3.64
211236,33,retired,M,the+maltese+falcon+1941,3.64
211236,33,retired,M,little+women+1994,3.64
211236,33,retired,M,the+x+files+1998,3.64
163181,67,retired,F,the+apartment+1960,3.64
163181,67,retired,F,the+mosquito+coast+1986,4.0
163181,67,retired,F,everyone+says+i+love+you+1996,3.0
163181,67,retired,F,goodfellas+1990,4.0
109205,30,retired,M,anatomy+of+a+murder+1959,3.64
109205,30,retired,M,six+degrees+of+separation+1993,3.64
109205,30,retired,M,x-men+2000,5.0
109205,30,retired,M,the+art+of+war+2000,3.64
151446,56,retired,F,bad+lieutenant+1992,1.0
151446,56,retired,F,paulie+1998,5.0
15780,67,retired,F,the+adventures+of+priscilla_+queen+of+the+desert+1994,5.0
15780,67,retired,F,life+is+beautiful+1997,5.0
15780,67,retired,F,velvet+goldmine+1998,5.0
15780,67,retired,F,chungking+express+1994,5.0
204423,62,retired,F,five+easy+pieces+1970,3.64
204423,62,retired,F,my+fair+lady+1964,5.0
35851,66,retired,M,secrets++lies+1996,3.0
35851,66,retired,M,l.a.+story+1991,3.64
35851,66,retired,M,the+last+temptation+of+christ+1988,3.64
20124,32,retired,F,ghost+1990,3.64
20124,32,retired,F,like+water+for+chocolate+1992,5.0
20124,32,retired,F,pretty+woman+1990,3.0
20124,32,retired,F,schindlers+list+1993,4.0
137526,61,retired,M,the+outlaw+josey+wales+1976,5.0
137526,61,retired,M,saving+private+ryan+1998,5.0
11072,89,retired,F,the+producers+1967,5.0
11072,89,retired,F,jurassic+park+1993,3.0
84345,30,retired,F,sleepless+in+seattle+1993,3.64
84345,30,retired,F,the+silence+of+the+lambs+1991,4.0
84345,30,retired,F,babe+1995,4.0
84345,30,retired,F,ghost+1990,4.0
2953,30,retired,M,the+african+queen+1951,5.0
2953,30,retired,M,fantasia+1940,3.64
2953,30,retired,M,the+thomas+crown+affair+1999,5.0
2953,30,retired,M,junior+1994,3.64
111069,27,retired,F,black+sheep+1996,3.0
175902,28,retired,M,tommy+boy+1995,3.63
175902,28,retired,M,beyond+the+mat+1999,3.0
175902,28,retired,M,antz+1998,3.0
175902,28,retired,M,howard+the+duck+1986,3.63
93777,61,retired,F,the+silence+of+the+lambs+1991,5.0
93777,61,retired,F,the+wrong+trousers+1993,5.0
93777,61,retired,F,the+gods+must+be+crazy+1980,5.0
139181,63,retired,F,little+miss+sunshine+2006,3.64
139181,63,retired,F,juno+2007,4.0
139181,63,retired,F,the+blind+side+2009,3.64
139181,63,retired,F,field+of+dreams+1989,3.64
215655,29,retired,F,the+gods+must+be+crazy+1980,3.0
215655,29,retired,F,manhattan+1979,3.64
215655,29,retired,F,slumdog+millionaire+2008,3.64
215655,29,retired,F,dumbo+1941,1.0
153234,61,retired,M,u-571+2000,1.0
153234,61,retired,M,seabiscuit+2003,5.0
153234,61,retired,M,remember+the+titans+2000,5.0
153234,61,retired,M,the+crucible+1996,3.0
108312,34,retired,M,cinema+paradiso+1988,4.0
108312,34,retired,M,the+day+the+earth+stood+still+1951,3.64
108312,34,retired,M,the+player+1992,3.64
2682,34,retired,F,now+and+then+1995,3.64
