user,age,occupation,gender,item,rating
19159,32,sales/marketing,M,space+jam+1996,2.0
19159,32,sales/marketing,M,almost+famous+2000,3.59
19159,32,sales/marketing,M,life+of+brian+1979,3.0
19159,32,sales/marketing,M,the+meaning+of+life+1983,3.0
29044,26,sales/marketing,M,the+graduate+1967,5.0
29044,26,sales/marketing,M,being+john+malkovich+1999,4.0
91103,33,sales/marketing,M,red+rock+west+1993,3.0
94436,30,sales/marketing,M,barry+lyndon+1975,5.0
94436,30,sales/marketing,M,amazon+women+on+the+moon+1987,2.0
94436,30,sales/marketing,M,crocodile+dundee+1986,3.0
151262,29,sales/marketing,M,casablanca+1942,4.0
151262,29,sales/marketing,M,forrest+gump+1994,3.68
151262,29,sales/marketing,M,star+trek+first+contact+1996,5.0
151262,29,sales/marketing,M,the+name+of+the+rose+1986,3.0
103718,18,sales/marketing,M,memento+2000,5.0
103718,18,sales/marketing,M,the+usual+suspects+1995,5.0
103718,18,sales/marketing,M,notes+on+a+scandal+2006,4.0
103718,18,sales/marketing,M,air+force+one+1997,3.0
167034,22,sales/marketing,F,fear+and+loathing+in+las+vegas+1998,3.7
167034,22,sales/marketing,F,runaway+bride+1999,3.0
167034,22,sales/marketing,F,sky+captain+and+the+world+of+tomorrow+2004,4.0
167034,22,sales/marketing,F,enigma+2001,3.0
120861,33,sales/marketing,F,the+empire+strikes+back+1980,3.0
120861,33,sales/marketing,F,the+last+supper+1995,2.0
120861,33,sales/marketing,F,rosencrantz++guildenstern+are+dead+1991,3.69
120861,33,sales/marketing,F,stand+by+me+1986,3.0
190636,29,sales/marketing,M,legends+of+the+fall+1994,3.0
190636,29,sales/marketing,M,the+royal+tenenbaums+2001,5.0
190636,29,sales/marketing,M,ace+ventura+when+nature+calls+1995,3.71
190636,29,sales/marketing,M,oceans+eleven+2001,4.0
49200,28,sales/marketing,M,twelve+monkeys+1995,4.0
49200,28,sales/marketing,M,sleeper+1973,4.0
49200,28,sales/marketing,M,how+to+make+an+american+quilt+1995,3.0
49200,28,sales/marketing,M,alien+1979,5.0
160253,33,sales/marketing,M,titanic+1997,1.0
160253,33,sales/marketing,M,superman+1978,3.69
160253,33,sales/marketing,M,big+fish+2003,1.0
160253,33,sales/marketing,M,mac+and+me+1988,3.69
56167,39,sales/marketing,M,the+illusionist+2006,3.0
56167,39,sales/marketing,M,charlie+and+the+chocolate+factory+2005,3.0
193906,28,sales/marketing,M,a+perfect+murder+1998,3.68
193906,28,sales/marketing,M,payback+1999,5.0
193906,28,sales/marketing,M,sid++nancy+1986,4.0
193906,28,sales/marketing,M,escape+from+l.a.+1996,4.0
188959,27,sales/marketing,M,mr.++mrs.+smith+2005,5.0
188959,27,sales/marketing,M,white+men+cant+jump+1992,4.0
188959,27,sales/marketing,M,taking+lives+2004,3.69
79229,25,sales/marketing,M,the+bourne+supremacy+2004,4.0
79229,25,sales/marketing,M,return+of+the+jedi+1983,3.0
79229,25,sales/marketing,M,taxi+driver+1976,3.68
90113,9,sales/marketing,M,deep+impact+1998,3.0
141933,34,sales/marketing,M,americas+sweethearts+2001,3.0
25459,17,sales/marketing,M,bulworth+1998,4.0
25459,17,sales/marketing,M,judge+dredd+1995,4.0
25459,17,sales/marketing,M,theres+something+about+mary+1998,3.0
25459,17,sales/marketing,M,billy+madison+1995,4.0
107819,23,sales/marketing,M,star+wars+episode+iii+-+revenge+of+the+sith+2005,3.0
107819,23,sales/marketing,M,the+brothers+grimm+2005,3.64
107819,23,sales/marketing,M,predator+1987,3.64
109014,31,sales/marketing,M,terminator+2+judgment+day+1991,4.0
109014,31,sales/marketing,M,the+6th+day+2000,3.0
109014,31,sales/marketing,M,l.a.+story+1991,3.0
109014,31,sales/marketing,M,trainspotting+1996,5.0
78809,22,sales/marketing,M,operation+petticoat+1959,5.0
78809,22,sales/marketing,M,good+will+hunting+1997,5.0
78809,22,sales/marketing,M,atlantis+the+lost+empire+2001,5.0
78809,22,sales/marketing,M,behind+enemy+lines+2001,2.0
180433,26,sales/marketing,M,liar+liar+1997,3.65
180433,26,sales/marketing,M,a.i.+artificial+intelligence+2001,3.65
180433,26,sales/marketing,M,as+good+as+it+gets+1997,4.0
180433,26,sales/marketing,M,lost+in+translation+2003,3.0
133266,29,sales/marketing,M,loverboy+1989,3.64
133266,29,sales/marketing,M,dave+1993,4.0
133266,29,sales/marketing,M,parenthood+1989,5.0
133266,29,sales/marketing,M,the+faculty+1998,3.64
41305,27,sales/marketing,M,sleepless+in+seattle+1993,5.0
41305,27,sales/marketing,M,the+way+back+2010,4.0
41305,27,sales/marketing,M,last+vegas+2013,3.64
41305,27,sales/marketing,M,the+other+woman+2014,3.64
15013,28,sales/marketing,F,the+untouchables+1987,4.0
15013,28,sales/marketing,F,eat+drink+man+woman+1994,4.0
15013,28,sales/marketing,F,better+off+dead...+1985,3.65
15013,28,sales/marketing,F,three+men+and+a+little+lady+1990,3.0
98608,25,sales/marketing,M,outbreak+1995,3.0
211133,29,sales/marketing,M,monsters_+inc.+2001,4.0
211133,29,sales/marketing,M,holes+2003,3.65
211133,29,sales/marketing,M,fargo+1996,5.0
211133,29,sales/marketing,M,jurassic+park+1993,3.0
166801,30,sales/marketing,M,live+and+let+die+1973,3.0
166801,30,sales/marketing,M,fahrenheit+451+1966,3.0
166801,30,sales/marketing,M,gladiator+1992+1992,3.65
166801,30,sales/marketing,M,misery+1990,2.0
36681,29,sales/marketing,M,coming+to+america+1988,3.0
36681,29,sales/marketing,M,throw+momma+from+the+train+1987,3.0
36681,29,sales/marketing,M,harold++kumar+go+to+white+castle+2004,4.0
78274,27,sales/marketing,M,children+of+men+2006,3.65
78274,27,sales/marketing,M,the+curious+case+of+benjamin+button+2008,3.0
78274,27,sales/marketing,M,the+hurricane+1999,3.0
78274,27,sales/marketing,M,life+of+brian+1979,5.0
194486,34,sales/marketing,M,wing+commander+1999,3.0
194486,34,sales/marketing,M,the+toxic+avenger+1984,4.0
102686,26,sales/marketing,M,finding+nemo+2003,5.0
102686,26,sales/marketing,M,wargames+1983,3.66
102686,26,sales/marketing,M,a+christmas+story+1983,4.0
107809,28,sales/marketing,F,la+vie+en+rose+2007,4.0
107809,28,sales/marketing,F,sideways+2004,4.0
107809,28,sales/marketing,F,Unknown,5.0
44469,23,sales/marketing,M,north+face+2008,5.0
44469,23,sales/marketing,M,gladiator+2000,5.0
44469,23,sales/marketing,M,avatar+2009,5.0
193592,30,sales/marketing,M,mask+1985,3.0
193592,30,sales/marketing,M,misery+1990,4.0
193592,30,sales/marketing,M,steel+magnolias+1989,4.0
193592,30,sales/marketing,M,the+nutty+professor+1996,3.0
28023,34,sales/marketing,M,ransom+1996,3.66
28023,34,sales/marketing,M,matchstick+men+2003,5.0
28023,34,sales/marketing,M,under+siege+2+dark+territory+1995,3.66
28023,34,sales/marketing,M,little+voice+1998,3.0
176729,33,sales/marketing,M,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,3.66
176729,33,sales/marketing,M,serenity+2005,3.66
176729,33,sales/marketing,M,my+neighbor+totoro+1988,4.0
118790,34,sales/marketing,M,the+craft+1996,3.67
118790,34,sales/marketing,M,courage+under+fire+1996,4.0
118790,34,sales/marketing,M,ransom+1996,4.0
118790,34,sales/marketing,M,a+time+to+kill+1996,4.0
122174,19,sales/marketing,M,sling+blade+1996,4.0
122174,19,sales/marketing,M,spider+2002,5.0
