user,age,occupation,gender,item,rating
199885,29,scientist,M,the+war+of+the+worlds+1953,3.0
199885,29,scientist,M,forrest+gump+1994,4.0
25167,34,scientist,M,harry+potter+and+the+deathly+hallows+part+2+2011,3.8
25167,34,scientist,M,eternal+sunshine+of+the+spotless+mind+2004,5.0
48012,26,scientist,M,french+twist+1995,3.68
48012,26,scientist,M,hackers+1995,3.0
48012,26,scientist,M,bogus+1996,3.68
23573,34,scientist,M,four+weddings+and+a+funeral+1994,4.0
23573,34,scientist,M,outbreak+1995,3.0
23573,34,scientist,M,executive+decision+1996,3.0
23573,34,scientist,M,broken+arrow+1996,4.0
12934,27,scientist,M,raiders+of+the+lost+ark+1981,5.0
12934,27,scientist,M,jurassic+park+1993,3.65
156719,30,scientist,M,apollo+13+1995,5.0
156719,30,scientist,M,batman+1989,3.0
156719,30,scientist,M,leon+the+professional+1994,2.0
156719,30,scientist,M,legends+of+the+fall+1994,4.0
94055,26,scientist,M,wyatt+earp+1994,3.71
94055,26,scientist,M,hot+shots+part+deux+1993,2.0
126105,25,scientist,M,amlie+2001,5.0
126105,25,scientist,M,frozen+river+2008,4.0
165070,34,scientist,M,the+aviator+2004,5.0
165070,34,scientist,M,batman+gotham+knight+2008,5.0
165070,34,scientist,M,the+proposal+2009,4.0
165070,34,scientist,M,meet+the+fockers+2004,4.0
45751,34,scientist,M,say+anything...+1989,3.71
45751,34,scientist,M,the+usual+suspects+1995,5.0
45751,34,scientist,M,powder+1995,3.71
45751,34,scientist,M,interview+with+the+vampire+1994,3.71
20268,33,scientist,M,theres+something+about+mary+1998,5.0
20268,33,scientist,M,fear+and+loathing+in+las+vegas+1998,5.0
20268,33,scientist,M,war+photographer+2001,3.72
20268,33,scientist,M,mommie+dearest+1981,4.0
114674,26,scientist,M,big+daddy+1999,3.0
114674,26,scientist,M,a+midsummer+nights+dream+1999,4.0
114674,26,scientist,M,arachnophobia+1990,3.72
114674,26,scientist,M,condorman+1981,1.0
73329,27,scientist,M,epic+movie+2007,3.68
34501,25,scientist,M,forgetting+sarah+marshall+2008,3.68
34501,25,scientist,M,supergirl+1984,2.0
34501,25,scientist,M,superman+returns+2006,4.0
135290,25,scientist,M,any+given+sunday+1999,3.67
135290,25,scientist,M,from+hell+2001,3.67
135290,25,scientist,M,the+lord+of+the+rings+the+return+of+the+king+2003,3.67
135290,25,scientist,M,the+dark+knight+2008,5.0
95616,33,scientist,M,the+matrix+1999,4.0
95616,33,scientist,M,halloween+1978,5.0
95616,33,scientist,M,robocop+2+1990,4.0
