user,age,occupation,gender,item,rating
95097,29,self-employed,M,sympathy+for+lady+vengeance+2005,3.64
95097,29,self-employed,M,a+beautiful+mind+2001,3.64
95097,29,self-employed,M,double+jeopardy+1999,2.0
95097,29,self-employed,M,austin+powers+in+goldmember+2002,2.0
29086,27,self-employed,M,saving+private+ryan+1998,3.0
29086,27,self-employed,M,the+truman+show+1998,3.65
29086,27,self-employed,M,dreams+1990,4.0
29086,27,self-employed,M,interstellar+2014,3.0
6587,27,self-employed,F,buffalo+66+1998,3.6
6587,27,self-employed,F,sixteen+candles+1984,5.0
6587,27,self-employed,F,when+harry+met+sally...+1989,4.0
6587,27,self-employed,F,cinema+paradiso+1988,5.0
192962,25,self-employed,F,super+size+me+2004,3.0
192962,25,self-employed,F,waynes+world+1992,4.0
192962,25,self-employed,F,where+the+heart+is+2000,3.0
192962,25,self-employed,F,mallrats+1995,3.0
185329,25,self-employed,M,conspiracy+theory+1997,3.0
143403,30,self-employed,M,the+mask+1994,3.0
143403,30,self-employed,M,mortal+kombat+1995,3.0
143403,30,self-employed,M,four+weddings+and+a+funeral+1994,3.71
143403,30,self-employed,M,desperado+1995,3.71
151704,21,self-employed,M,batman+1989,5.0
151704,21,self-employed,M,elektra+2005,5.0
151704,21,self-employed,M,history+of+the+world+part+i+1981,3.68
151704,21,self-employed,M,the+omen+1976,1.0
66875,28,self-employed,F,so+i+married+an+axe+murderer+1993,4.0
66875,28,self-employed,F,ferris+buellers+day+off+1986,3.0
66875,28,self-employed,F,dave+1993,4.0
66875,28,self-employed,F,south+park+bigger_+longer++uncut+1999,4.0
29467,29,self-employed,M,dancer+in+the+dark+2000,5.0
29467,29,self-employed,M,star+wars+episode+ii+-+attack+of+the+clones+2002,3.69
29467,29,self-employed,M,the+bourne+identity+2002,5.0
29467,29,self-employed,M,boogie+nights+1997,3.69
7079,34,self-employed,M,aliens+1986,3.68
7079,34,self-employed,M,spider-man+2002,3.68
125314,27,self-employed,M,the+lion+king+1994,5.0
125314,27,self-employed,M,die+hard+with+a+vengeance+1995,3.64
125314,27,self-employed,M,the+net+1995,4.0
197215,62,self-employed,M,cast+away+2000,4.0
197215,62,self-employed,M,reversal+of+fortune+1990,4.0
197215,62,self-employed,M,the+last+king+of+scotland+2006,3.64
197215,62,self-employed,M,all+the+presidents+men+1976,3.64
117041,30,self-employed,M,the+replacements+2000,3.64
117041,30,self-employed,M,bring+it+on+2000,2.0
117731,30,self-employed,M,twelve+monkeys+1995,5.0
117731,30,self-employed,M,mallrats+1995,5.0
117731,30,self-employed,M,heavyweights+1995,3.0
117731,30,self-employed,M,the+net+1995,3.65
145871,27,self-employed,M,mystery+science+theater+3000+the+movie+1996,3.65
118925,28,self-employed,M,l.a.+story+1991,3.0
118925,28,self-employed,M,mission+impossible+1996,1.0
118925,28,self-employed,M,like+water+for+chocolate+1992,3.65
131497,32,self-employed,M,who+framed+roger+rabbit+1988,3.65
131497,32,self-employed,M,mozart+and+the+whale+2005,3.65
12165,54,self-employed,M,casablanca+1942,3.66
175623,24,self-employed,M,life+of+brian+1979,2.0
175623,24,self-employed,M,under+siege+1992,1.0
175623,24,self-employed,M,the+empire+strikes+back+1980,2.0
175623,24,self-employed,M,indiana+jones+and+the+temple+of+doom+1984,1.0
19518,29,self-employed,F,lost+in+la+mancha+2002,3.0
19518,29,self-employed,F,winged+migration+2001,5.0
19518,29,self-employed,F,run+lola+run+1998,4.0
19518,29,self-employed,F,the+player+1992,3.65
173581,32,self-employed,M,the+negotiator+1998,1.0
173581,32,self-employed,M,the+silence+of+the+lambs+1991,2.0
173581,32,self-employed,M,jackie+brown+1997,3.0
173581,32,self-employed,M,waking+ned+1998,4.0
144065,51,self-employed,F,jumpin+jack+flash+1986,3.65
66111,30,self-employed,M,mystic+river+2003,4.0
66111,30,self-employed,M,4+months_+3+weeks+and+2+days+2007,3.0
66111,30,self-employed,M,easy+rider+1969,3.65
66111,30,self-employed,M,roger++me+1989,3.65
44812,29,self-employed,M,executive+decision+1996,3.0
44812,29,self-employed,M,the+river+wild+1994,3.65
44812,29,self-employed,M,mr.+hollands+opus+1995,3.0
78058,27,self-employed,M,calendar+girls+2003,1.0
78058,27,self-employed,M,star+trek+2009,4.0
109243,34,self-employed,M,twelve+monkeys+1995,3.66
109243,34,self-employed,M,star+trek+first+contact+1996,3.66
109243,34,self-employed,M,edtv+1999,4.0
109243,34,self-employed,M,patriot+games+1992,5.0
51738,28,self-employed,F,circle+of+friends+1995,5.0
51738,28,self-employed,F,threesome+1994,5.0
51738,28,self-employed,F,reality+bites+1994,5.0
51738,28,self-employed,F,hairspray+1988,5.0
44970,30,self-employed,F,the+karate+kid_+part+iii+1989,3.65
44970,30,self-employed,F,one+good+cop+1991,3.0
44970,30,self-employed,F,earth+girls+are+easy+1988,1.0
44970,30,self-employed,F,beetlejuice+1988,3.0
84656,40,self-employed,M,dances+with+wolves+1990,5.0
84656,40,self-employed,M,willy+wonka++the+chocolate+factory+1971,4.0
84656,40,self-employed,M,excalibur+1981,3.65
84656,40,self-employed,M,a+fistful+of+dollars+1964,3.65
194533,22,self-employed,F,basic+instinct+1992,2.0
194533,22,self-employed,F,the+fly+1986,3.0
194533,22,self-employed,F,charlies+angels+2000,3.0
194533,22,self-employed,F,uncle+buck+1989,3.65
167526,30,self-employed,F,the+blues+brothers+1980,5.0
167526,30,self-employed,F,aliens+1986,3.65
167526,30,self-employed,F,das+boot+1981,4.0
167526,30,self-employed,F,the+thin+red+line+1998,3.65
183705,27,self-employed,M,the+goonies+1985,4.0
183705,27,self-employed,M,what+dreams+may+come+1998,4.0
183705,27,self-employed,M,stand+and+deliver+1988,3.65
183705,27,self-employed,M,selena+1997,3.65
187607,27,self-employed,M,say+anything...+1989,1.0
187607,27,self-employed,M,the+adventures+of+priscilla_+queen+of+the+desert+1994,3.65
187607,27,self-employed,M,wag+the+dog+1997,3.65
187607,27,self-employed,M,risky+business+1983,3.65
58369,32,self-employed,M,grease+1978,3.63
58369,32,self-employed,M,eraser+1996,3.63
58369,32,self-employed,M,the+shining+1980,4.0
186355,32,self-employed,M,zombieland+2009,3.63
186355,32,self-employed,M,indiana+jones+and+the+kingdom+of+the+crystal+skull+2008,3.0
186355,32,self-employed,M,10+things+i+hate+about+you+1999,4.0
186355,32,self-employed,M,the+hangover+part+ii+2011,3.63
174241,19,self-employed,M,braveheart+1995,5.0
174241,19,self-employed,M,finding+nemo+2003,4.0
174241,19,self-employed,M,the+last+samurai+2003,5.0
174241,19,self-employed,M,blood+diamond+2006,4.0
65553,30,self-employed,F,the+notebook+2004,4.0
65553,30,self-employed,F,american+beauty+1999,4.0
213059,21,self-employed,M,terminator+3+rise+of+the+machines+2003,3.0
213059,21,self-employed,M,escape+from+new+york+1981,3.64
213059,21,self-employed,M,the+cable+guy+1996,3.0
213059,21,self-employed,M,waynes+world+1992,3.64
137878,26,self-employed,M,beauty+and+the+beast+1991,3.64
137878,26,self-employed,M,interview+with+the+vampire+1994,1.0
137878,26,self-employed,M,the+brady+bunch+movie+1995,3.0
176465,30,self-employed,M,blood+diamond+2006,3.0
176465,30,self-employed,M,the+matrix+1999,3.0
178086,29,self-employed,M,tombstone+1993,3.63
208273,34,self-employed,M,my+best+friends+wedding+1997,3.64
208273,34,self-employed,M,soul+food+1997,3.0
208273,34,self-employed,M,schindlers+list+1993,5.0
208273,34,self-employed,M,the+usual+suspects+1995,5.0
162633,32,self-employed,M,scotland_+pa.+2001,5.0
162633,32,self-employed,M,men+in+black+1997,4.0
162633,32,self-employed,M,radioland+murders+1994,3.64
162633,32,self-employed,M,outrageous+fortune+1987,2.0
50001,27,self-employed,M,who+framed+roger+rabbit+1988,3.0
50001,27,self-employed,M,cocoon+1985,2.0
50001,27,self-employed,M,the+royal+tenenbaums+2001,3.0
50001,27,self-employed,M,gullivers+travels+1939,1.0
32558,27,self-employed,M,edward+scissorhands+1990,3.64
32558,27,self-employed,M,big+fish+2003,3.0
32558,27,self-employed,M,the+matrix+1999,3.64
32558,27,self-employed,M,the+matrix+revolutions+2003,3.0
167440,31,self-employed,M,rushmore+1998,3.65
59707,34,self-employed,F,apocalypse+now+1979,5.0
59707,34,self-employed,F,alien+1979,3.65
59707,34,self-employed,F,roman+holiday+1953,4.0
45965,37,self-employed,M,my+best+friends+wedding+1997,4.0
45965,37,self-employed,M,toy+story+1995,5.0
45965,37,self-employed,M,fiddler+on+the+roof+1971,4.0
45965,37,self-employed,M,batteries+not+included+1987,3.65
14440,27,self-employed,F,hallam+foe+2007,2.0
14440,27,self-employed,F,undertow+2004,3.0
14440,27,self-employed,F,get+real+1998,3.0
14440,27,self-employed,F,barneys+version+2010,5.0
182503,32,self-employed,M,back+to+the+future+1985,3.64
182503,32,self-employed,M,fantasia+1940,3.64
182503,32,self-employed,M,the+firm+1993,3.64
182503,32,self-employed,M,four+weddings+and+a+funeral+1994,2.0
71176,32,self-employed,M,cliffhanger+1993,3.64
71176,32,self-employed,M,beverly+hills+cop+iii+1994,4.0
22115,21,self-employed,M,a+bugs+life+1998,5.0
22115,21,self-employed,M,the+lion+king+1994,4.0
22115,21,self-employed,M,robin+hood+men+in+tights+1993,3.64
81105,28,self-employed,M,nell+1994,3.0
81105,28,self-employed,M,disclosure+1994,3.0
120322,29,self-employed,M,psycho+beach+party+2000,3.64
201174,33,self-employed,M,schindlers+list+1993,3.64
201174,33,self-employed,M,james+and+the+giant+peach+1996,3.64
139500,31,self-employed,M,boogie+nights+1997,3.63
139500,31,self-employed,M,oceans+twelve+2004,3.63
139500,31,self-employed,M,the+pianist+2002,4.0
139500,31,self-employed,M,kill+bill+vol.+2+2004,4.0
197473,28,self-employed,F,excalibur+1981,5.0
197473,28,self-employed,F,three+to+tango+1999,3.0
197473,28,self-employed,F,the+spanish+prisoner+1997,5.0
197473,28,self-employed,F,runaway+bride+1999,3.63
199128,33,self-employed,M,about+schmidt+2002,5.0
105493,25,self-employed,F,the+maltese+falcon+1941,3.64
105493,25,self-employed,F,the+burbs+1989,3.64
105493,25,self-employed,F,body+heat+1981,4.0
105493,25,self-employed,F,wag+the+dog+1997,5.0
150502,29,self-employed,M,the+7th+voyage+of+sinbad+1958,3.0
150502,29,self-employed,M,the+day+the+earth+stood+still+2008,3.64
150502,29,self-employed,M,dreamcatcher+2003,3.0
150502,29,self-employed,M,air+force+one+1997,2.0
32539,35,self-employed,M,the+godfather+part+ii+1974,5.0
32539,35,self-employed,M,casablanca+1942,5.0
32539,35,self-employed,M,rear+window+1954,5.0
32539,35,self-employed,M,wild+things+1998,3.64
113042,28,self-employed,M,before+sunrise+1995,2.0
113042,28,self-employed,M,raging+bull+1980,3.0
113042,28,self-employed,M,youve+got+mail+1998,3.0
113042,28,self-employed,M,when+harry+met+sally...+1989,3.64
150054,26,self-employed,M,invasion+of+the+body+snatchers+1978,5.0
