user,age,occupation,gender,item,rating
167130,30,technician/engineer,M,shakespeare+in+love+1998,3.8
167130,30,technician/engineer,M,night+of+the+living+dead+1968,3.8
167130,30,technician/engineer,M,mad+max+1979,3.0
167130,30,technician/engineer,M,it+came+from+outer+space+1953,2.0
102201,33,technician/engineer,M,suspiria+1977,3.66
102201,33,technician/engineer,M,jaws+1975,4.0
102201,33,technician/engineer,M,titanic+1997,1.0
102201,33,technician/engineer,M,finding+forrester+2000,3.0
134919,37,technician/engineer,M,black+hawk+down+2001,4.0
184947,32,technician/engineer,M,pulp+fiction+1994,5.0
184947,32,technician/engineer,M,interview+with+the+vampire+1994,4.0
178950,25,technician/engineer,M,star+trek+ii+the+wrath+of+khan+1982,3.0
167576,32,technician/engineer,M,pulp+fiction+1994,4.0
167576,32,technician/engineer,M,beetlejuice+1988,3.0
167576,32,technician/engineer,M,battle+royale+2000,5.0
167576,32,technician/engineer,M,sgt.+bilko+1996,3.0
129769,28,technician/engineer,M,time+bandits+1981,3.64
52079,27,technician/engineer,M,lethal+weapon+2+1989,4.0
52079,27,technician/engineer,M,lethal+weapon+4+1998,3.64
37743,33,technician/engineer,M,blade+runner+1982,3.65
170444,32,technician/engineer,M,battle+royale+2000,3.65
170444,32,technician/engineer,M,evil+dead+ii+1987,3.65
170444,32,technician/engineer,M,training+day+2001,4.0
170444,32,technician/engineer,M,ferris+buellers+day+off+1986,4.0
191132,33,technician/engineer,M,x-men+2000,4.0
191132,33,technician/engineer,M,independence+day+1996,4.0
191132,33,technician/engineer,M,the+little+mermaid+1989,4.0
191132,33,technician/engineer,M,liar+liar+1997,4.0
86617,26,technician/engineer,M,chinatown+1974,5.0
86617,26,technician/engineer,M,young+frankenstein+1974,5.0
86617,26,technician/engineer,M,down+by+law+1986,3.64
86617,26,technician/engineer,M,raiders+of+the+lost+ark+1981,3.64
104603,27,technician/engineer,M,101+dalmatians+1996,3.0
104603,27,technician/engineer,M,braveheart+1995,3.0
104603,27,technician/engineer,M,jurassic+park+1993,5.0
104603,27,technician/engineer,M,the+long+kiss+goodnight+1996,3.65
154032,28,technician/engineer,M,minority+report+2002,3.0
154032,28,technician/engineer,M,air+bud+golden+receiver+1998,1.0
154032,28,technician/engineer,M,rambo+first+blood+part+ii+1985,1.0
154032,28,technician/engineer,M,jurassic+park+iii+2001,2.0
167759,28,technician/engineer,M,the+usual+suspects+1995,4.0
167759,28,technician/engineer,M,the+mask+1994,3.0
167759,28,technician/engineer,M,twelve+monkeys+1995,3.64
167759,28,technician/engineer,M,legends+of+the+fall+1994,3.0
142064,34,technician/engineer,M,back+to+the+future+1985,3.64
142064,34,technician/engineer,M,a+clockwork+orange+1971,3.64
142064,34,technician/engineer,M,galaxy+quest+1999,3.0
142064,34,technician/engineer,M,u-571+2000,3.0
145490,25,technician/engineer,M,ghostbusters+1984,2.0
145490,25,technician/engineer,M,gladiator+2000,5.0
145490,25,technician/engineer,M,romy+and+micheles+high+school+reunion+1997,3.64
145490,25,technician/engineer,M,never+been+kissed+1999,3.0
125410,34,technician/engineer,M,alien+1979,4.0
125410,34,technician/engineer,M,the+game+1997,3.64
125410,34,technician/engineer,M,soylent+green+1973,5.0
125410,34,technician/engineer,M,shaft+2000,3.64
40675,29,technician/engineer,M,braveheart+1995,4.0
40675,29,technician/engineer,M,mission+to+mars+2000,4.0
40675,29,technician/engineer,M,clockstoppers+2002,4.0
40675,29,technician/engineer,M,ballistic+ecks+vs.+sever+2002,2.0
141266,33,technician/engineer,M,billy+madison+1995,3.63
117660,25,technician/engineer,M,the+hobbit+an+unexpected+journey+2012,3.63
117660,25,technician/engineer,M,man+on+fire+2004,4.0
117660,25,technician/engineer,M,the+hunger+games+catching+fire+2013,5.0
126459,33,technician/engineer,M,how+to+train+your+dragon+2010,4.0
126459,33,technician/engineer,M,the+bourne+identity+2002,4.0
81546,64,technician/engineer,M,clear+and+present+danger+1994,4.0
81546,64,technician/engineer,M,wyatt+earp+1994,4.0
58033,29,technician/engineer,M,batman+1989,3.0
58033,29,technician/engineer,M,species+1995,4.0
58033,29,technician/engineer,M,twelve+monkeys+1995,3.64
58033,29,technician/engineer,M,the+usual+suspects+1995,5.0
4294,24,technician/engineer,M,do+the+right+thing+1989,3.0
4294,24,technician/engineer,M,benny++joon+1993,3.0
131552,26,technician/engineer,M,get+shorty+1995,4.0
131552,26,technician/engineer,M,batman+1989,3.0
131552,26,technician/engineer,M,schindlers+list+1993,5.0
131552,26,technician/engineer,M,braveheart+1995,3.64
166403,34,technician/engineer,M,mission+impossible+1996,3.0
166403,34,technician/engineer,M,fargo+1996,4.0
166403,34,technician/engineer,M,the+cable+guy+1996,3.0
166403,34,technician/engineer,M,the+fifth+element+1997,3.64
30177,33,technician/engineer,M,while+you+were+sleeping+1995,3.64
30177,33,technician/engineer,M,blade+runner+1982,5.0
30177,33,technician/engineer,M,babe+1995,3.0
41465,22,technician/engineer,M,2001+a+space+odyssey+1968,3.0
41465,22,technician/engineer,M,terminator+2+judgment+day+1991,3.64
182630,27,technician/engineer,M,hedwig+and+the+angry+inch+2001,5.0
19123,43,technician/engineer,M,legends+of+the+fall+1994,3.0
19123,43,technician/engineer,M,deep+blue+sea+1999,3.64
19123,43,technician/engineer,M,payback+1999,1.0
19123,43,technician/engineer,M,die+hard+with+a+vengeance+1995,2.0
36996,31,technician/engineer,M,the+empire+strikes+back+1980,3.64
36996,31,technician/engineer,M,star+trek+ii+the+wrath+of+khan+1982,4.0
36996,31,technician/engineer,M,star+wars+1977,5.0
36996,31,technician/engineer,M,total+recall+1990,4.0
9989,20,technician/engineer,M,the+matrix+1999,5.0
9989,20,technician/engineer,M,inception+2010,3.64
9989,20,technician/engineer,M,halloween+1978,3.64
10277,29,technician/engineer,M,the+matrix+1999,5.0
10277,29,technician/engineer,M,taxi+driver+1976,3.64
10277,29,technician/engineer,M,predator+1987,3.64
56013,18,technician/engineer,M,invasion+of+the+body+snatchers+1956,4.0
56013,18,technician/engineer,M,aladdin+1992,3.0
56013,18,technician/engineer,M,toy+story+2+1999,5.0
56013,18,technician/engineer,M,night+of+the+living+dead+1968,3.64
174657,31,technician/engineer,M,mission+impossible+ii+2000,2.0
112506,34,technician/engineer,M,rihie+rih+1994,3.64
139184,26,technician/engineer,M,jurassic+park+1993,4.0
139184,26,technician/engineer,M,johnny+mnemonic+1995,3.0
139184,26,technician/engineer,M,schindlers+list+1993,4.0
139184,26,technician/engineer,M,2001+a+space+odyssey+1968,3.64
101202,25,technician/engineer,M,dorian+gray+2009,3.64
101202,25,technician/engineer,M,planet+51+2009,1.0
101202,25,technician/engineer,M,resident+evil+extinction+2007,5.0
101202,25,technician/engineer,M,saw+v+2008,3.64
137156,28,technician/engineer,M,alien+1979,4.0
137156,28,technician/engineer,M,the+ghost+and+the+darkness+1996,4.0
137156,28,technician/engineer,M,thelma++louise+1991,4.0
137156,28,technician/engineer,M,strange+days+1995,4.0
178693,29,technician/engineer,M,a+league+of+their+own+1992,3.0
178693,29,technician/engineer,M,cocoon+1985,3.64
178693,29,technician/engineer,M,my+best+friends+wedding+1997,4.0
178693,29,technician/engineer,M,tin+cup+1996,5.0
45972,27,technician/engineer,M,star+wars+episode+iii+-+revenge+of+the+sith+2005,3.64
45972,27,technician/engineer,M,return+of+the+jedi+1983,3.64
160673,19,technician/engineer,M,to+wong+foo_+thanks+for+everything+julie+newmar+1995,3.0
160673,19,technician/engineer,M,28+days+later+2002,5.0
160673,19,technician/engineer,M,equilibrium+2002,4.0
160673,19,technician/engineer,M,the+matrix+reloaded+2003,2.0
85431,30,technician/engineer,M,spy+game+2001,5.0
85431,30,technician/engineer,M,traffic+2000,5.0
85431,30,technician/engineer,M,what+lies+beneath+2000,4.0
85431,30,technician/engineer,M,2001+a+space+odyssey+1968,4.0
210671,33,technician/engineer,M,spirited+away+2001,5.0
210671,33,technician/engineer,M,the+man+who+wasnt+there+2001,5.0
210671,33,technician/engineer,M,pi+1998,5.0
210671,33,technician/engineer,M,mulholland+drive+2001,5.0
32755,32,technician/engineer,M,beauty+and+the+beast+1991,3.64
32755,32,technician/engineer,M,beverly+hills+cop+iii+1994,3.0
32755,32,technician/engineer,M,speed+1994,4.0
32755,32,technician/engineer,M,the+firm+1993,3.0
51390,34,technician/engineer,M,schindlers+list+1993,4.0
51390,34,technician/engineer,M,outbreak+1995,3.0
51390,34,technician/engineer,M,sleepless+in+seattle+1993,5.0
51390,34,technician/engineer,M,ghost+1990,5.0
205128,31,technician/engineer,M,terminator+2+judgment+day+1991,4.0
205128,31,technician/engineer,M,the+empire+strikes+back+1980,5.0
29296,32,technician/engineer,M,50+first+dates+2004,5.0
29296,32,technician/engineer,M,closer+2004,3.0
29296,32,technician/engineer,M,terminator+2+judgment+day+1991,5.0
206724,30,technician/engineer,M,wanted+2008,3.0
27952,26,technician/engineer,M,the+santa+clause+1994,3.0
27952,26,technician/engineer,M,the+firm+1993,3.0
117394,27,technician/engineer,M,gladiator+2000,4.0
38855,31,technician/engineer,M,waterworld+1995,1.0
153627,30,technician/engineer,M,the+mask+of+zorro+1998,4.0
153627,30,technician/engineer,M,star+trek+ii+the+wrath+of+khan+1982,3.64
153627,30,technician/engineer,M,the+mummy+1999,3.0
214597,31,technician/engineer,M,crocodile+dundee+in+los+angeles+2001,3.0
214597,31,technician/engineer,M,gone+with+the+wind+1939,3.64
214597,31,technician/engineer,M,armageddon+1998,4.0
214597,31,technician/engineer,M,honey_+i+shrunk+the+kids+1989,4.0
192495,30,technician/engineer,M,outbreak+1995,3.0
192495,30,technician/engineer,M,while+you+were+sleeping+1995,3.0
192495,30,technician/engineer,M,tombstone+1993,3.64
192495,30,technician/engineer,M,aladdin+1992,3.64
379,27,technician/engineer,M,hero+2002,3.0
379,27,technician/engineer,M,run+silent_+run+deep+1958,4.0
379,27,technician/engineer,M,the+last+samurai+2003,4.0
379,27,technician/engineer,M,judge+dredd+1995,1.0
173936,25,technician/engineer,M,coneheads+1993,3.0
173936,25,technician/engineer,M,braveheart+1995,5.0
111812,33,technician/engineer,M,the+killing+fields+1984,3.64
111812,33,technician/engineer,M,aliens+1986,3.0
111812,33,technician/engineer,M,the+english+patient+1996,5.0
111812,33,technician/engineer,M,the+deer+hunter+1978,4.0
150487,29,technician/engineer,M,home+alone+1990,1.0
150487,29,technician/engineer,M,stargate+1994,4.0
150487,29,technician/engineer,M,pulp+fiction+1994,3.64
151929,26,technician/engineer,M,twelve+monkeys+1995,3.0
151929,26,technician/engineer,M,the+net+1995,2.0
151929,26,technician/engineer,M,beverly+hills+cop+iii+1994,2.0
151929,26,technician/engineer,M,quiz+show+1994,3.64
126145,27,technician/engineer,M,nell+1994,3.0
126145,27,technician/engineer,M,pretty+woman+1990,3.0
126145,27,technician/engineer,M,twelve+monkeys+1995,5.0
126145,27,technician/engineer,M,clueless+1995,3.64
50055,34,technician/engineer,F,bed+of+roses+1996,3.0
50055,34,technician/engineer,F,notting+hill+1999,5.0
185037,32,technician/engineer,M,dances+with+wolves+1990,3.0
185037,32,technician/engineer,M,junior+1994,3.0
185037,32,technician/engineer,M,dave+1993,3.0
185037,32,technician/engineer,M,natural+born+killers+1994,3.64
156574,29,technician/engineer,M,the+madness+of+king+george+1994,3.64
156574,29,technician/engineer,M,i.q.+1994,3.64
156574,29,technician/engineer,M,dolores+claiborne+1995,5.0
156574,29,technician/engineer,M,congo+1995,3.64
167261,20,technician/engineer,M,rear+window+1954,3.64
167261,20,technician/engineer,M,jurassic+park+1993,4.0
167261,20,technician/engineer,M,a+bugs+life+1998,4.0
167261,20,technician/engineer,M,wall+street+1987,3.0
71094,30,technician/engineer,M,faceoff+1997,3.0
71094,30,technician/engineer,M,gattaca+1997,2.0
44401,30,technician/engineer,M,terminator+2+judgment+day+1991,4.0
44401,30,technician/engineer,M,close+encounters+of+the+third+kind+1977,4.0
116573,27,technician/engineer,M,mr.++mrs.+smith+2005,2.0
116573,27,technician/engineer,M,the+island+of+dr.+moreau+1996,1.0
116573,27,technician/engineer,M,the+mummy+1999,4.0
116573,27,technician/engineer,M,2012+2009,5.0
161122,21,technician/engineer,M,the+matrix+1999,4.0
161122,21,technician/engineer,M,faceoff+1997,3.64
161122,21,technician/engineer,M,star+wars+episode+i+-+the+phantom+menace+1999,4.0
113046,32,technician/engineer,M,crouching+tiger_+hidden+dragon+2000,4.0
113046,32,technician/engineer,M,dances+with+wolves+1990,3.64
113046,32,technician/engineer,M,arachnophobia+1990,3.64
113046,32,technician/engineer,M,m*a*s*h+1970,1.0
85702,27,technician/engineer,M,armageddon+1998,2.0
85702,27,technician/engineer,M,big+1988,3.64
134040,32,technician/engineer,M,outbreak+1995,3.0
134040,32,technician/engineer,M,clueless+1995,3.0
134040,32,technician/engineer,M,pulp+fiction+1994,3.64
130050,32,technician/engineer,M,pulp+fiction+1994,5.0
130050,32,technician/engineer,M,sneakers+1992,5.0
130050,32,technician/engineer,M,the+silence+of+the+lambs+1991,5.0
130050,32,technician/engineer,M,forrest+gump+1994,4.0
41806,27,technician/engineer,M,braveheart+1995,2.0
41806,27,technician/engineer,M,true+lies+1994,5.0
72503,33,technician/engineer,M,escape+from+new+york+1981,3.0
72503,33,technician/engineer,M,star+wars+1977,5.0
72503,33,technician/engineer,M,indiana+jones+and+the+last+crusade+1989,3.63
72503,33,technician/engineer,M,aliens+1986,3.63
26638,29,technician/engineer,M,muriels+wedding+1994,3.63
26638,29,technician/engineer,M,to+wong+foo_+thanks+for+everything+julie+newmar+1995,3.63
26638,29,technician/engineer,M,crimson+tide+1995,3.63
26638,29,technician/engineer,M,french+kiss+1995,3.63
7790,25,technician/engineer,M,the+shawshank+redemption+1994,3.63
111034,26,technician/engineer,M,dark+city+1998,3.0
111034,26,technician/engineer,M,the+third+man+1949,4.0
183319,34,technician/engineer,M,while+you+were+sleeping+1995,5.0
183319,34,technician/engineer,M,interview+with+the+vampire+1994,4.0
183319,34,technician/engineer,M,schindlers+list+1993,3.64
183319,34,technician/engineer,M,aladdin+1992,4.0
30658,34,technician/engineer,M,batman+1989,3.64
30658,34,technician/engineer,M,legends+of+the+fall+1994,3.0
30658,34,technician/engineer,M,i.q.+1994,3.64
92313,25,technician/engineer,M,in+the+name+of+the+father+1993,4.0
92313,25,technician/engineer,M,fx+1986,3.64
92313,25,technician/engineer,M,la+femme+nikita+1990,4.0
92313,25,technician/engineer,M,stigmata+1999,4.0
179527,32,technician/engineer,M,sneakers+1992,5.0
179527,32,technician/engineer,M,star+wars+episode+i+-+the+phantom+menace+1999,3.0
179527,32,technician/engineer,M,superman+iii+1983,1.0
199566,32,technician/engineer,M,star+trek+2009,3.64
199566,32,technician/engineer,M,there+will+be+blood+2007,3.0
199566,32,technician/engineer,M,toy+story+3+2010,3.64
199566,32,technician/engineer,M,city+slickers+1991,3.0
74143,38,technician/engineer,M,the+princess+bride+1987,3.64
74143,38,technician/engineer,M,city+slickers+ii+the+legend+of+curlys+gold+1994,3.0
74143,38,technician/engineer,M,a+fistful+of+dollars+1964,3.64
74143,38,technician/engineer,M,the+horse+soldiers+1959,4.0
116279,25,technician/engineer,M,star+wars+episode+i+-+the+phantom+menace+1999,3.0
147300,54,technician/engineer,M,scream+2+1997,4.0
147300,54,technician/engineer,M,20_000+leagues+under+the+sea+1954,4.0
147300,54,technician/engineer,M,10_000+bc+2008,3.64
147300,54,technician/engineer,M,tank+girl+1995,4.0
103231,29,technician/engineer,M,the+fly+ii+1989,4.0
103231,29,technician/engineer,M,apollo+13+1995,3.64
103231,29,technician/engineer,M,boogie+nights+1997,3.64
3153,40,technician/engineer,M,full+metal+jacket+1987,3.64
3153,40,technician/engineer,M,glory+1989,3.64
3153,40,technician/engineer,M,armageddon+1998,2.0
3153,40,technician/engineer,M,batman++robin+1997,1.0
25595,28,technician/engineer,M,happy_+texas+1999,4.0
25595,28,technician/engineer,M,lawrence+of+arabia+1962,3.0
25595,28,technician/engineer,M,honey+i+blew+up+the+kid+1992,1.0
25595,28,technician/engineer,M,this+is+spinal+tap+1984,4.0
87922,31,technician/engineer,M,splash+1984,3.0
87922,31,technician/engineer,M,lost+in+space+1998,3.64
87922,31,technician/engineer,M,the+nutty+professor+1996,3.64
87922,31,technician/engineer,M,north+by+northwest+1959,5.0
63404,31,technician/engineer,M,red+planet+2000,3.0
63404,31,technician/engineer,M,terminator+2+judgment+day+1991,4.0
63404,31,technician/engineer,M,star+trek+vi+the+undiscovered+country+1991,4.0
63404,31,technician/engineer,M,star+trek+generations+1994,4.0
12286,30,technician/engineer,M,k-19+the+widowmaker+2002,4.0
12286,30,technician/engineer,M,the+transporter+2002,4.0
204217,77,technician/engineer,M,tombstone+1993,3.64
204217,77,technician/engineer,M,hellraiser+1987,3.64
27718,29,technician/engineer,M,sabrina+1995,3.0
88349,25,technician/engineer,M,home+alone+1990,3.64
88349,25,technician/engineer,M,interview+with+the+vampire+1994,3.0
88349,25,technician/engineer,M,so+i+married+an+axe+murderer+1993,3.0
