user,age,occupation,gender,item,rating
202164,26,tradesman/craftsman,M,finding+nemo+2003,4.0
202164,26,tradesman/craftsman,M,the+rocky+horror+picture+show+1975,1.0
202164,26,tradesman/craftsman,M,monsters_+inc.+2001,4.0
202164,26,tradesman/craftsman,M,the+exorcist+1973,3.0
164466,25,tradesman/craftsman,M,ice+age+2002,4.0
164466,25,tradesman/craftsman,M,butch+cassidy+and+the+sundance+kid+1969,1.0
164466,25,tradesman/craftsman,M,austin+powers+international+man+of+mystery+1997,1.0
164466,25,tradesman/craftsman,M,lethal+weapon+1987,3.63
145262,34,tradesman/craftsman,M,arachnophobia+1990,3.0
145262,34,tradesman/craftsman,M,cinema+paradiso+1988,5.0
145262,34,tradesman/craftsman,M,the+naked+gun+33+the+final+insult+1994,3.65
145262,34,tradesman/craftsman,M,the+three+musketeers+1993,3.0
176097,25,tradesman/craftsman,M,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,3.0
176097,25,tradesman/craftsman,M,waterworld+1995,5.0
176097,25,tradesman/craftsman,M,last+action+hero+1993,2.0
176097,25,tradesman/craftsman,M,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,5.0
137455,26,tradesman/craftsman,M,primal+fear+1996,3.0
137455,26,tradesman/craftsman,M,up+close++personal+1996,2.0
137455,26,tradesman/craftsman,M,lawnmower+man+2+beyond+cyberspace+1996,1.0
137455,26,tradesman/craftsman,M,star+trek+first+contact+1996,3.64
172234,28,tradesman/craftsman,M,wag+the+dog+1997,1.0
172234,28,tradesman/craftsman,M,moonstruck+1987,3.64
172234,28,tradesman/craftsman,M,romeo+must+die+2000,3.64
166339,26,tradesman/craftsman,M,willy+wonka++the+chocolate+factory+1971,3.63
166339,26,tradesman/craftsman,M,bloodsport+ii+1996,2.0
166339,26,tradesman/craftsman,M,mission+impossible+1996,3.0
149379,33,tradesman/craftsman,M,candyman+1992,5.0
149379,33,tradesman/craftsman,M,mission+impossible+1996,3.63
36615,27,tradesman/craftsman,M,the+last+airbender+2010,4.0
36615,27,tradesman/craftsman,M,bruce+almighty+2003,3.64
36615,27,tradesman/craftsman,M,sherlock+holmes+2009,4.0
36615,27,tradesman/craftsman,M,the+three+musketeers+1993,3.64
175153,31,tradesman/craftsman,M,a+kid+in+king+arthurs+court+1995,3.0
175153,31,tradesman/craftsman,M,babe+1995,4.0
175153,31,tradesman/craftsman,M,homeward+bound+ii+lost+in+san+francisco+1996,3.0
175153,31,tradesman/craftsman,M,batman+1989,3.0
150608,32,tradesman/craftsman,M,harry+potter+and+the+philosophers+stone+2001,5.0
150608,32,tradesman/craftsman,M,the+lord+of+the+rings+the+return+of+the+king+2003,4.0
150608,32,tradesman/craftsman,M,shrek+2001,5.0
100153,33,tradesman/craftsman,M,the+naked+gun+2+the+smell+of+fear+1991,3.65
100153,33,tradesman/craftsman,M,black+sheep+1996,3.65
100153,33,tradesman/craftsman,M,10_000+bc+2008,2.0
56694,31,tradesman/craftsman,M,harry+potter+and+the+goblet+of+fire+2005,3.0
56694,31,tradesman/craftsman,M,chicken+run+2000,3.0
56694,31,tradesman/craftsman,M,monsters_+inc.+2001,5.0
56694,31,tradesman/craftsman,M,superman+1978,4.0
149362,29,tradesman/craftsman,M,sleepless+in+seattle+1993,3.0
149362,29,tradesman/craftsman,M,the+godfather+1972,3.65
149362,29,tradesman/craftsman,M,maverick+1994,3.65
149362,29,tradesman/craftsman,M,the+glimmer+man+1996,3.65
19254,32,tradesman/craftsman,M,contact+1997,4.0
19254,32,tradesman/craftsman,M,mimic+1997,3.0
137458,84,tradesman/craftsman,M,the+cable+guy+1996,3.0
137458,84,tradesman/craftsman,M,twelve+monkeys+1995,3.64
137458,84,tradesman/craftsman,M,down+periscope+1996,3.0
137458,84,tradesman/craftsman,M,father+of+the+bride+part+ii+1995,2.0
124865,26,tradesman/craftsman,M,the+game+1997,3.64
124865,26,tradesman/craftsman,M,donnie+darko+2001,4.0
124865,26,tradesman/craftsman,M,chinatown+1974,1.0
124865,26,tradesman/craftsman,M,the+naked+gun+33+the+final+insult+1994,1.0
