user,age,occupation,gender,item,rating
198871,34,writer,M,eternal+sunshine+of+the+spotless+mind+2004,5.0
198871,34,writer,M,sunset+boulevard+1950,3.65
198871,34,writer,M,citizen+kane+1941,5.0
198871,34,writer,M,point+break+1991,4.0
34479,28,writer,M,youve+got+mail+1998,3.0
34479,28,writer,M,mystery+science+theater+3000+the+movie+1996,4.0
34479,28,writer,M,legally+blonde+2001,3.0
23061,43,writer,M,frequency+2000,3.64
155645,73,writer,M,bullets+over+broadway+1994,3.65
155645,73,writer,M,to+kill+a+mockingbird+1962,4.0
96948,37,writer,M,bullets+over+broadway+1994,3.64
96948,37,writer,M,julius+caesar+1953,3.0
96948,37,writer,M,paranoid+park+2007,2.0
96948,37,writer,M,love+crazy+1941,3.0
12398,27,writer,M,big+daddy+1999,2.0
12398,27,writer,M,planes_+trains+and+automobiles+1987,5.0
12398,27,writer,M,never+been+kissed+1999,2.0
12398,27,writer,M,rain+man+1988,3.0
105580,53,writer,M,raining+stones+1993,2.0
105580,53,writer,M,the+bad+and+the+beautiful+1952,3.64
197614,45,writer,F,on+any+sunday+1971,5.0
197614,45,writer,F,beyond+the+mat+1999,5.0
197614,45,writer,F,american+movie+1999,5.0
197614,45,writer,F,koyaanisqatsi+1982,3.64
214226,29,writer,F,donnie+brasco+1997,3.0
214226,29,writer,F,secrets++lies+1996,4.0
214226,29,writer,F,three+colors+blue+1993,5.0
214226,29,writer,F,fargo+1996,5.0
94394,35,writer,M,the+big+sleep+1946,3.64
94394,35,writer,M,central+station+1998,5.0
157104,32,writer,M,bachelor+party+1984,1.0
63418,40,writer,F,american+movie+1999,3.0
63418,40,writer,F,up+2009,3.64
63418,40,writer,F,the+royal+tenenbaums+2001,5.0
63418,40,writer,F,clueless+1995,4.0
137651,27,writer,F,mickey+blue+eyes+1999,3.0
137651,27,writer,F,it+happened+one+night+1934,3.64
137651,27,writer,F,living+out+loud+1998,2.0
137651,27,writer,F,three+colors+red+1994,3.64
15467,46,writer,F,when+a+man+loves+a+woman+1994,3.64
15467,46,writer,F,striptease+1996,3.0
204946,23,writer,F,the+abyss+1989,4.0
